Año;Mes;Fecha;Convocatoria(Pdf)
2011;Enero;31-01-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20110131.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273766069098&ssbinary=true
2011;Enero;24-01-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20110124.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273766068768&ssbinary=true
2011;Enero;13-01-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20110113.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273766069031&ssbinary=true
2011;Enero;10-01-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20110110.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273766068909&ssbinary=true
2011;Febrero;24-02-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20110224.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273767674337&ssbinary=true
2011;Febrero;17-02-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100217.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273766997405&ssbinary=true
2011;Febrero;10-02-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100210.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273766997310&ssbinary=true
2011;Febrero;07-02-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20110207.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273766069186&ssbinary=true
2011;Febrero;03-02-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20110203.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273766068856&ssbinary=true
2011;Marzo;31-03-2011;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20110331.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273770274199&ssbinary=true
