cod_calle;nombre_calle;cod_tipovia;nombre_tipo_via;
4730;ITURRIBARRIA;CL;CALLE
4740;ITURRIBIDE;CL;CALLE
4480;IBARREKOLANDA;CL;CALLE
4482;IBARRURI DOLORES;CL;CALLE
4440;IBAÑEZ DE BILBAO;CL;CALLE
4340;HERNANI;CL;CALLE
4350;HEROS;CL;CALLE
4355;HIJAS DE LA CARIDAD;CL;CALLE
4360;HUERTAS DE LA VILLA;CL;CALLE
4380;HURTADO DE AMEZAGA;CL;CALLE
4410;IBAIALDE;CL;CALLE
4220;ALONSO BERNARDINO GUARDIA MPAL.;CL;CALLE
4120;AUTONOMIA;CL;CALLE
3995;GORLIZ;CL;CALLE
3997;GORTAZAR JUAN CARLOS DE;CL;CALLE
4000;GOYA;CL;CALLE
4260;GIPUZKOA;CL;CALLE
4270;GURTUBAY;CL;CALLE
4277;GUTIERREZ ABASCAL R.(JUAN DE LA ENCINA);CL;CALLE
4280;HENAO;CL;CALLE
4290;AGUIRRE HERMANOS;CL;CALLE
4300;ORIXE;CL;CALLE
4310;CAMPION ARTURO;CL;CALLE
4311;MAR MEDITERRANEO;CL;CALLE
4320;CLARA CAMPOAMOR;CL;CALLE
6430;ERETZA MONTE;CL;CALLE
6440;GABIKA MONTE;CL;CALLE
6450;GANEKOGORTA MONTE;CL;CALLE
6460;GANETA MONTE;CL;CALLE
6590;MORGAN;CL;CALLE
6470;INTXORTA MONTE;CL;CALLE
6480;IZARO MONTE;CL;CALLE
6490;JATA MONTE;CL;CALLE
6500;MANDOIA MONTE;CL;CALLE
6505;MAÑARICUA ANDRES ELISEO DE;CL;CALLE
6510;OIZ MONTE;CL;CALLE
6520;SAIBIGAIN MONTE;CL;CALLE
6545;MONTE ELORRIAGA;CL;CALLE
6270;MIRIBILLA;CL;CALLE
6277;MOGROBEJO NEMESIO;CL;CALLE
6290;MONASTERIO;CL;CALLE
6300;MONCADA;CL;CALLE
6315;GALLASTEGUI DON CLAUDIO;CL;CALLE
6340;ALDAMIZ MONTE;CL;CALLE
6360;ARNO MONTE;CL;CALLE
6110;MASUSTEGI;CL;CALLE
6020;MARTZANA;CL;CALLE
6065;ORNILLA DOCTOR;CL;CALLE
6070;MATIKO;CL;CALLE
6130;MENA;CL;CALLE
6180;MERCED;CL;CALLE
6190;MERIDA;CL;CALLE
6230;EGUREN ENRIQUE;CL;CALLE
6237;MIMBRES LOS;CL;CALLE
6242;MINA JULIA;CL;CALLE
6243;MINA SAN LUIS;CL;CALLE
5750;GARCIA RIVERO MAESTRO;CL;CALLE
5760;ICIAR MAESTRO;CL;CALLE
5770;MENDIRI MAESTRO;CL;CALLE
5000;ACEBAL IDIGORAS;CL;CALLE
5710;MACHIN;CL;CALLE
5795;MALMASIN;CL;CALLE
5800;MANDOBIDE;CL;CALLE
5810;ALLENDE MANUEL;CL;CALLE
5820;IZARRA;CL;CALLE
5840;MENENDEZ Y PELAYO MARCELINO;CL;CALLE
5860;OREJA MARCELINO;CL;CALLE
5870;DIAZ DE HARO MARIA;CL;CALLE
5890;MUÑOZ MARIA;CL;CALLE
5910;ARCHER MARINO;CL;CALLE
5920;BALDEZATE FILOMENA;CL;CALLE
5930;ALTXERRI CUEVA;CL;CALLE
5950;LAURENCIN MARQUES;CL;CALLE
5960;PUERTO MARQUES DEL;CL;CALLE
6005;BARUA PICAZA MARTIN;CL;CALLE
5410;LARRINAGA;CL;CALLE
5440;LEDESMA;CL;CALLE
5450;ARROSPIDE JON;CL;CALLE
5470;URUÑUELA LEON DE;CL;CALLE
5472;LEIZAOLA LEHENDAKARI;CL;CALLE
5475;LEKANDA;CL;CALLE
5480;LERSUNDI;CL;CALLE
5375;LANGARAN;CL;CALLE
5385;LARRAKOETXE;CL;CALLE
5387;LARRASKITU;CL;CALLE
5360;LANDAORLEGI;CL;CALLE
5393;LARRATUNDU;CL;CALLE
5740;GONZALEZ DAMIAN MAESTRO;CL;CALLE
5640;UNIVERSIDAD DE OÑATI;CL;CALLE
5660;POWER LUIS;CL;CALLE
5670;ALZAGA TORIBIO;CL;CALLE
5690;LUZARRA;CL;CALLE
5500;XENPELAR;CL;CALLE
5510;POZA LICENCIADO;CL;CALLE
5545;LEZEAGA;CL;CALLE
5547;LIDON JOSE MARIA;CL;CALLE
5550;LOGROÑO;CL;CALLE
5555;LOPEZ DE MATURANA BEATA MARGARITA;CL;CALLE
5560;LOTERIA;CL;CALLE
5565;LOZOÑO;CL;CALLE
5570;LUTXANA;CL;CALLE
5600;ALTUBE SEBER;CL;CALLE
5610;SATURRARAN;CL;CALLE
5620;BRIÑAS LUIS;CL;CALLE
5320;LAMANA;CL;CALLE
5280;LABAYRU;CL;CALLE
5300;LAGUNA LA;CL;CALLE
5250;URQUIJO JULIO;CL;CALLE
5270;MENDIPE;CL;CALLE
5135;BILINTX;CL;CALLE
5140;GARDEAZABAL JUAN;CL;CALLE
5150;GUISASOLA JUAN;CL;CALLE
5160;IRIGOYEN JUAN DE;CL;CALLE
5170;COSA JUAN DE LA;CL;CALLE
5180;OTERO BLAS DE;CL;CALLE
5200;URBIETA JUAN DE;CL;CALLE
5210;BOLIVAR ELORDUY JULIAN;CL;CALLE
5100;UGARTEBURU JOSE MARIA;CL;CALLE
5105;BARANDIARAN AYERBE JOSE MIGUEL DE;CL;CALLE
5110;OLABARRIA JOSE;CL;CALLE
4980;BERASTEGUI;CL;CALLE
5120;GOIKOLAU CUEVA;CL;CALLE
5020;DURRIO FRANCISCO ESCULTOR;CL;CALLE
5030;ESCUZA JOSE MARIA;CL;CALLE
5040;OLITE;CL;CALLE
5050;ENCARTACIONES;CL;CALLE
5060;SANTIMAMIÑE CUEVA;CL;CALLE
5070;ERRONKARI;CL;CALLE
5080;OLAVARRI JOSE MARIA;CL;CALLE
1980;CAPUCHINOS DE BASURTU;CL;CALLE
2010;MACIA FRANCESC;CL;CALLE
2030;KARMELO;CL;CALLE
2040;FAGOAGA TENOR;CL;CALLE
2050;BONAPARTE LUIS LUCIANO;CL;CALLE
2080;CARNICERIA VIEJA;CL;CALLE
2083;CASERIO GARRO;CL;CALLE
2085;CASERIO LANDABURU;CL;CALLE
2090;CASTAÑOS;CL;CALLE
2095;CASTRESANA LUIS DE;CL;CALLE
2130;CATALUNYA;CL;CALLE
2170;CINTURERIA;CL;CALLE
2175;CIRCO AMATEUR DEL CLUB DEPORTIVO;CL;CALLE
2260;COCHERITO DE BILBAO;CL;CALLE
2270;COLON DE LARREATEGUI;CL;CALLE
2300;LABEGERIE MITXEL;CL;CALLE
