Codigo linea;Descripcion linea
01;ARANGOITI - PLAZA BIRIBILA                                            
03;PLAZA BIRIBILA - OTXARKOAGA                                           
10;ELORRIETA - PLAZA BIRIBILA                                            
11;DEUSTU - ATXURI                                                       
13;SAN IGNAZIO - TXURDINAGA                                              
18;SAN IGNAZIO - ZORROTZA                                                
22;SARRIKUE - ATXURI                                                     
27;ARABELLA - BETOLATZA                                                  
28;URIBARRI - ALTAMIRA                                                   
30;TXURDINAGA - MIRIBILLA                                                
34;OTXARKOAGA - SANTUTXU                                                 
38;OTXARKOAGA - BASURTU/TERMIBUS                                         
40;LA PEÑA - PLAZA BIRIBILA                                              
43;GARAIZAR - SANTUTXU                                                   
48;SANTUTXU - LEZEAGA                                                    
50;BUIA - LA PEÑA                                                        
56;LA PEÑA - JESUSEN BIHOTZA                                             
57;MIRIBILLA - OSPITALEA                                                 
58;MINTEGITXUETA - ATXURI                                                
62;SAN MAMES - ARABELLA                                                  
71;MIRIBILLA - SAN IGNAZIO                                               
72;LARRASKITU - CASTAÑOS/GAZTELEKU                                       
75;SAN ADRIAN - ATXURI                                                   
76;ARTATZU/XALBADOR - MOYUA                                              
77;PEÑASCAL - MINA DEL MORRO                                             
85;ZAZPILANDA - ATXURI                                                   
88;KASTREXANA - INDAUTXU                                                 
A1;ASUNCION - PLAZA BIRIBILA                                             
A2;SOLOKOETXE - PLAZA BIRIBILA                                           
A3;OLABEAGA - MOYUA                                                      
A4;ZORROTZAURRE - DEUSTU                                                 
A5;PRIM - PLAZA BIRIBILA                                                 
A6;ARANGOITI - DEUSTU                                                    
A7;ARTXANDA - ARENAL                                                     
A8;SAN JUSTO - AMETZOLA                                                  
E1;PLAZA BIRIBILA - BILBAO ARENA                                         
