CODIGO DISTRITO;NOMBRE DISTRITO;SECCIÓN;SEXO;TOTAL
2;URIBARRI                 ;31;HOMBRES;648
2;URIBARRI                 ;31;MUJERES;845
2;URIBARRI                 ;32;HOMBRES;621
2;URIBARRI                 ;32;MUJERES;754
2;URIBARRI                 ;33;HOMBRES;602
2;URIBARRI                 ;33;MUJERES;736
2;URIBARRI                 ;34;HOMBRES;538
2;URIBARRI                 ;34;MUJERES;631
2;URIBARRI                 ;35;HOMBRES;336
2;URIBARRI                 ;35;MUJERES;394
3;OTXARKOAGA-TXURDINAGA    ;01;HOMBRES;914
3;OTXARKOAGA-TXURDINAGA    ;01;MUJERES;1010
3;OTXARKOAGA-TXURDINAGA    ;02;HOMBRES;570
3;OTXARKOAGA-TXURDINAGA    ;02;MUJERES;587
3;OTXARKOAGA-TXURDINAGA    ;03;HOMBRES;533
3;OTXARKOAGA-TXURDINAGA    ;03;MUJERES;575
3;OTXARKOAGA-TXURDINAGA    ;05;HOMBRES;817
3;OTXARKOAGA-TXURDINAGA    ;05;MUJERES;829
3;OTXARKOAGA-TXURDINAGA    ;06;HOMBRES;387
3;OTXARKOAGA-TXURDINAGA    ;06;MUJERES;409
3;OTXARKOAGA-TXURDINAGA    ;07;HOMBRES;455
3;OTXARKOAGA-TXURDINAGA    ;07;MUJERES;490
3;OTXARKOAGA-TXURDINAGA    ;08;HOMBRES;373
3;OTXARKOAGA-TXURDINAGA    ;08;MUJERES;328
3;OTXARKOAGA-TXURDINAGA    ;09;HOMBRES;558
3;OTXARKOAGA-TXURDINAGA    ;09;MUJERES;579
3;OTXARKOAGA-TXURDINAGA    ;10;HOMBRES;327
3;OTXARKOAGA-TXURDINAGA    ;10;MUJERES;383
3;OTXARKOAGA-TXURDINAGA    ;11;HOMBRES;696
3;OTXARKOAGA-TXURDINAGA    ;11;MUJERES;721
3;OTXARKOAGA-TXURDINAGA    ;13;HOMBRES;567
3;OTXARKOAGA-TXURDINAGA    ;13;MUJERES;670
3;OTXARKOAGA-TXURDINAGA    ;14;HOMBRES;358
3;OTXARKOAGA-TXURDINAGA    ;14;MUJERES;409
3;OTXARKOAGA-TXURDINAGA    ;15;HOMBRES;526
3;OTXARKOAGA-TXURDINAGA    ;15;MUJERES;554
3;OTXARKOAGA-TXURDINAGA    ;16;HOMBRES;563
3;OTXARKOAGA-TXURDINAGA    ;16;MUJERES;643
3;OTXARKOAGA-TXURDINAGA    ;17;HOMBRES;749
3;OTXARKOAGA-TXURDINAGA    ;17;MUJERES;731
3;OTXARKOAGA-TXURDINAGA    ;18;HOMBRES;576
3;OTXARKOAGA-TXURDINAGA    ;18;MUJERES;630
3;OTXARKOAGA-TXURDINAGA    ;19;HOMBRES;668
3;OTXARKOAGA-TXURDINAGA    ;19;MUJERES;738
3;OTXARKOAGA-TXURDINAGA    ;20;HOMBRES;973
3;OTXARKOAGA-TXURDINAGA    ;20;MUJERES;1075
