DISTRITO;SECCIÓN;HOMBRES;MUJERES;TOTAL
1;2;566;643;1209
1;3;329;444;773
1;5;581;646;1227
1;6;689;752;1441
1;7;392;467;859
1;8;317;334;651
1;9;569;622;1191
1;10;752;835;1587
1;11;421;510;931
1;12;324;424;748
1;13;533;640;1173
1;15;323;373;696
1;16;670;803;1473
1;17;489;621;1110
1;18;624;691;1315
1;19;492;516;1008
1;20;633;644;1277
1;21;422;529;951
1;22;703;834;1537
1;23;748;857;1605
1;25;712;735;1447
1;26;772;899;1671
1;27;671;674;1345
1;28;653;671;1324
1;29;772;805;1577
1;30;728;806;1534
1;31;561;666;1227
1;32;657;796;1453
1;33;367;449;816
1;34;284;359;643
1;35;320;385;705
1;36;299;408;707
1;37;347;410;757
1;38;799;915;1714
1;39;370;428;798
1;40;306;417;723
1;41;530;608;1138
1;42;849;946;1795
1;43;379;457;836
1;44;617;700;1317
1;45;718;792;1510
1;46;623;689;1312
2;1;573;674;1247
2;2;358;344;702
2;3;749;776;1525
2;5;518;533;1051
2;6;359;412;771
2;7;358;418;776
2;8;374;493;867
2;9;404;454;858
2;10;351;421;772
2;11;633;685;1318
2;12;660;779;1439
2;13;641;725;1366
2;14;450;483;933
2;15;451;532;983
2;16;485;564;1049
2;18;439;522;961
2;19;629;719;1348
2;20;650;670;1320
2;21;474;552;1026
2;22;524;612;1136
2;23;362;443;805
2;24;432;503;935
2;25;627;787;1414
2;26;689;761;1450
2;27;485;544;1029
2;28;367;401;768
2;29;499;603;1102
2;30;461;536;997
2;31;662;852;1514
2;32;626;749;1375
2;33;612;731;1343
2;34;559;641;1200
2;35;324;376;700
3;1;947;1012;1959
3;2;567;579;1146
3;3;522;565;1087
3;5;818;825;1643
3;6;381;414;795
3;7;458;473;931
3;8;347;313;660
3;9;573;600;1173
3;10;309;383;692
3;11;687;699;1386
3;13;563;669;1232
3;14;347;411;758
3;15;531;563;1094
3;16;547;615;1162
3;17;734;730;1464
3;18;559;612;1171
3;19;661;734;1395
3;20;942;1053;1995
3;21;720;810;1530
3;22;492;530;1022
3;23;800;892;1692
4;2;543;678;1221
4;3;725;770;1495
4;5;454;483;937
4;6;544;600;1144
4;8;832;968;1800
4;9;548;666;1214
4;10;752;952;1704
4;12;672;798;1470
4;13;520;585;1105
4;14;730;833;1563
4;15;500;558;1058
4;16;363;410;773
4;17;344;380;724
4;18;374;430;804
4;19;425;480;905
4;20;358;400;758
4;21;618;684;1302
4;22;635;764;1399
4;24;712;829;1541
4;25;514;531;1045
4;26;510;588;1098
4;27;396;523;919
4;28;571;639;1210
4;29;845;974;1819
4;30;781;838;1619
4;31;331;348;679
4;32;492;562;1054
4;33;647;736;1383
4;35;446;466;912
4;36;632;689;1321
4;37;708;775;1483
4;38;427;441;868
4;39;1132;1151;2283
5;1;878;975;1853
5;2;343;459;802
5;3;847;930;1777
5;4;962;994;1956
5;5;588;712;1300
5;6;567;636;1203
5;7;498;509;1007
5;8;711;856;1567
5;9;1006;1058;2064
5;10;519;551;1070
5;11;491;573;1064
5;12;695;774;1469
5;13;296;354;650
5;14;430;411;841
5;15;774;925;1699
5;16;599;693;1292
5;17;603;618;1221
5;18;638;632;1270
5;19;638;538;1176
5;20;392;389;781
5;21;796;771;1567
5;22;704;664;1368
5;24;948;991;1939
5;25;980;1068;2048
5;26;755;560;1315
5;28;496;593;1089
5;29;807;799;1606
5;30;1144;1095;2239
5;31;629;645;1274
5;32;1034;1125;2159
5;34;561;653;1214
5;35;976;1027;2003
5;36;1104;1124;2228
5;37;610;644;1254
5;38;587;635;1222
5;39;369;434;803
5;40;1058;1074;2132
5;41;677;728;1405
5;42;675;667;1342
5;43;1072;998;2070
5;44;582;530;1112
5;45;674;626;1300
5;46;588;590;1178
6;1;824;910;1734
6;2;985;1108;2093
6;3;543;695;1238
6;4;392;521;913
6;5;476;540;1016
6;6;340;451;791
6;7;621;773;1394
6;8;332;428;760
6;9;644;868;1512
6;10;831;863;1694
6;11;376;481;857
6;12;393;469;862
6;13;906;1080;1986
6;15;706;881;1587
6;16;496;610;1106
6;17;708;936;1644
6;18;330;408;738
6;19;313;345;658
6;20;538;699;1237
6;21;553;709;1262
6;22;411;491;902
6;23;348;433;781
6;24;398;465;863
6;25;448;628;1076
6;26;548;671;1219
6;27;298;346;644
6;28;404;497;901
6;29;584;725;1309
6;30;826;881;1707
