Año;Mes;Fecha;Convocatoria(Pdf)
2010;Junio;21-06-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100621.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761604317&ssbinary=true
2010;Junio;17-06-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100617.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761606327&ssbinary=true
2010;Junio;14-06-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100614.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761603150&ssbinary=true
2010;Junio;10-06-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100610.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761605312&ssbinary=true
2010;Junio;03-06-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100603.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761605399&ssbinary=true
2010;Julio;29-07-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100729.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761649907&ssbinary=true
2010;Julio;27-07-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100727.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761650754&ssbinary=true
2010;Julio;22-07-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100722.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761649622&ssbinary=true
2010;Julio;20-07-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100720.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761602311&ssbinary=true
2010;Julio;15-07-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100715.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761604862&ssbinary=true
