Codigo linea;Descripcion linea
G1;ARABELLA - MOYUA                                                      
G2;OTXARKOAGA - PLAZA BIRIBILA                                           
G3;LARRASKITU - PLAZA BIRIBILA                                           
G4;LA PEÑA - PLAZA BIRIBILA                                              
G5;SAN ADRIAN / MIRIBILLA - PLAZA BIRIBILA                               
G6;ALTAMIRA/ZORROTZA - PLAZA BIRIBILA                                    
G7;MINA DEL MORRO - PLAZA BIRIBILA                                       
G8;ARANGOITI - PLAZA BIRIBILA                                            
