Codigo parada;Parada;Zona;Correspondencias
3104;Langaran (3) / Merkatua;Pl. Langaran-Fte. Mercado;34
3105;Langaran 44;Langaran 44;34
3106;Larratundu 21;Larratundu-Otxarkoaga;03,34
3107;Pau Casals (21) / C.Cívico;Julian Gaiarre-Centro Civico;34
3108;Pau Casals / Jesús Galíndez;Jesus Galindez-Dr. Ornilla;03
3109;Pau Casals 16;Pl. Kepa Enbeita-Iglesia;34,38,43
3110;Txotena / Langaran;Txotena 20;34
3111;Txotena 62;Txotena 62;34
3112;Txotena 8;Txotena-Colg. Azkarai;34
3113;Ugarte (7);Garaizar;43
3114;Ugarte 2;Larratundu-Otxarkoaga;43
3115;Zizeruena / Eliza;Pl. Kepa Enbeita-Iglesia;03,43
3116;Zizeruena 22;Zizeruene;03
3117;Larratundu 1;;G2
3201;Artalandio 3 / Dr.Ornilla;Txomin Garat-Residencia;13,30,38
3202;Dr. Ornilla (12);Dr. Ornilla-Comisaria Ertzaintza;34,43
3203;Dr. Ornilla / Artalandio;Jesus Galindez-Dr. Ornilla;34,43
3204;Dr. Ornilla / Pau Casals;Jesus Galindez-Dr. Ornilla;03,34,38,43
3205;Fernando Jiménez 12;F. Jimenez Miembro DYA;30
3206;Gabriel Aresti / (Anbulatorioa);Txomin Garat-Ambulatorio;38
3208;Garaizar (16);Garaizar;43
3209;Garaizar / Ikastola;Garaizar;43
3210;Jesús Galíndez / Adoratrices;Jesus Galindez-Gabriel Aresti;03
3211;Jesús Galíndez / Txomin Garat;Txomin Garat-La Tortilla;03
3213;Jesús Galíndez 26;Jesus Galindez-Gabriel Aresti;03,38,43
3214;Jesús Galíndez 3 / Colegio Alemán;Jesus Galindez-Colegio Aleman;03
3215;Julián Gaiarre (39) / Artalandio;Julian Gaiarre-Artalandio;43
3216;Julián Gaiarre (6);Julian Gaiarre-DYA;34,43
3217;Julián Gaiarre 10;Julian Gaiarre-DYA;13
3218;Julián Gaiarre 23;Julian Gaiarre-Ondarroa;34,43
3219;Julián Gaiarre 33 / Artalandio;Julian Gaiarre-Artalandio;30
3220;Julián Gaiarre 36;Julian Gaiarre-Ondarroa;13,30
3221;Julián Gaiarre 39 / Artalandio;Julian Gaiarre-Artalandio;34,38,43
3222;Julián Gaiarre 61;Julian Gaiarre-Centro Civico;34,38,43
3223;Julián Gaiarre 82;Julian Gaiarre-Artalandio;13,30
3224;Ondarroa / Parkea;Julian Gaiarre-Ondarroa;30
3225;Txomin Garat 12 / (Anbulatorioa);Txomin Garat-Ambulatorio;30
3226;Txomin Garat 4;Txomin Garat-La Tortilla;30,38
3227;Txomin Garat 40 / Residencia;Txomin Garat-Residencia;30
3228;Txomin Garat 9 / Anbulatorioa;Txomin Garat-Ambulatorio;13,30,38
3229;Zabalbide (61);Txomin Garat-La Tortilla;13,30,38
3230;Zumalacárregui / (Makua);Zumalacarregui-Hotel Avenida;03
4002;Santa Lucia 2;;G7
4101;Amadeo Deprit / Dolaretxe;Bº Dolaretxe;48,A5
4102;Amadeo Deprit / P.Cortés;Amadeo Deprit-Cementerio Begoña;40,48
4103;Amadeo Deprit 8;Amadeo Deprit-Cementerio Begoña;48,A5
4104;Begoñako Basilika;Basilica de Begoña;03,30,38
4105;Makua;Zumalacarregui-Hotel Avenida;13
4106;Masustegi (21);Mazustegi-Begoña;48
4107;Masustegi 21;Mazustegi-Begoña;40,48
4108;Masustegi 3;Mazustegi-Zabalbide;40,48
4109;Zumalacárregui 38;Zumalacarregui-Parque;03,13,30,38
4201;Antonio Eguiluz 19;Iturriaga-Campa Basarrate;40
4202;Circo Amateur / Kiroldegia;Club Deportivo;13,34,43
4203;Enrique Ibarreta 2;Mazustegi-Zabalbide;34,43
4204;Indalecio Prieto (12);Indalecio Prieto;40,77
4205;Indalecio Prieto 1;Indalecio Prieto;40,77
4206;Indalecio Prieto 16;Mina del Morro;77
4207;Iturriaga / Basarrate;Pintor Losada-Campa Basarrate;13
4208;Iturriaga 58 / L. Briñas Eskola;Iturriaga-Colg. Luis Briñas;34,43,48
4209;Santa Klara (12);;48
4210;Santutxu (45);;40
4211;Santutxu 18;Santutxu-Carmelo;40,48
4212;Santutxu 2;Santutxu-Zabalbide;40,48
4213;Santutxu 48;Santutxu-Juan de la Cosa;40,48
4214;Zumalacárregui 56;Zumalacarregui-Hotel Avenida;13
4302;Circo Amateur (Kiroldegia);Polideportivo Txurdinaga;13
4303;Circo Amateur / Bolueta;Polideportivo Txurdinaga;13
4304;Cocherito de Bilbao 14;Cocherito Bilbao-Parvulario;13
4305;Sagarmínaga 32 / Eskola;Sagarminaga-Mina del Morro;40
4306;Camino del Pontón/(Ikastola);Zamacola-La Peña;40
4307;Camino del Pontón/Ikastola;;40
4308;Camino del Ponton;Zamacola-La Peña;40
4309;Camino del Ponton/ Avda. Miraflores;Zamacola-La Peña;40
4310;Avda. Miraflores/(Gasolindegia);Zamacola-La Peña;40
4311;Avda.Miraflores/Gasolindegia;Zamacola-La Peña;40
4312;Pintor Losada 26;Zabalbide-Zumalakarregi;40
5101;Arenal / (San Nicolás);Vda. Epalza-San Nicolas;11,22,72
5102;Arenal / Arriaga;Puente de el Arenal;56,75,77,85
5103;Ernesto Erkoreka 8;Pl. Ernesto Erkoreka;03,A1,30,40,62
5104;Párroco Ugaz / Rotonda;Zumalacarregui-Parque;27,A1,40,48,62
