Codigo parada;Parada;Zona;Correspondencias
7602;Iturrigorribidea 37;Cº Iturrigorri;27,72,77
7603;Peñascal (16) / Eliza;Cº Iturrigorri-Iglesia;77,72
7604;Peñascal (29);Bº El Peñascal;77,72
7605;Peñascal 16 / (Eliza);Cº Iturrigorri-Iglesia;77,72
7606;Peñascal 29;Bº El Peñascal;77,72
7701;Peñascal (146) / Rotonda;El Peñascal-Cantera;77,72
7702;San Justo;Cº Larraskitu-Iberdrola;A8
7703;San Justo (5);Cº Larraskitu-Iberdrola;A8
7704;San Justo 12;Cº Larraskitu-Iberdrola;A8
8103;Basurtubekoa / (Iparralde);Basurtu-Kastrexana-Bentazarra;48,58
8104;Basurtubekoa / Iparralde;Basurtu-Kastrexana-Bentazarra;48,58
8105;Basurtu-Kastrexana (65);Basurtu-Kastrexana-Bentazarra;28,58,80
8106;Basurtu-Kastrexana 63;Basurtu-Kastrexana-Bentazarra;28,58,80
8107;Gurtubay / Ospitalea;Av. Montevideo-Hospital;28,38,80
8110;Montevideo / (Gurtubay);;48,58
8111;Montevideo / (Ospitalea);Av. Montevideo-Frente Hospital;18,85,88
8112;Montevideo / Ospitalea;Av. Montevideo-Hospital;18,85,88
8113;Montevideo / Santa Ana;Av. Montevideo-Bº Santa Ana;18,85,88
8114;Ospitalea;Av. Montevideo-Hospital;28,48,57,58,80
8117;Trenbideko Etorbidea / Autonomía;Autonomia-Av. Ferrocarril;57
8118;Urkiola 1;Jaen;57
8122;Basurto / Briñas;Basurtu-Kastrexana;18,28,38,48,57,58,80,85,88
8123;Basurto / Aita Donostia;Autonomia-Pl. Aita Donosti;18,38,48,57,58,85,88
8124;Urquijo 100;Autonomia-Pl. Aita Donosti;62
8128;Luis Briñas 27;Autonomia-Escuelas;28
8129;Sabino Arana 32;Autonomia-Escuelas;28
8132;Perez Galdos/Termibus;Termibus;38
8203;Cº Ventosa 46;Olabeaga;A3
8204;Montevideo / (Santa Ana);Av. Montevideo-Bº Santa Ana;18,85,88
8205;Montevideo / Olabeaga;Av. Montevideo-Bº Santa Ana;18,85,88
8206;Olabeaga / (Dikea);Olabeaga;A3
8207;Olabeaga / Dikea;Olabeaga;A3
8208;Olabeaga 22A;Olabeaga;A3
8209;Olabeaga 30;Olabeaga;A3
8210;San Nikolas Olabeaga (27);Olabeaga;A3
8211;San Nikolas Olabeaga 22;Olabeaga;A3
8212;San Nikolas Olabeaga 58;Olabeaga;A3
8213;Sirgueras 3;Olabeaga;A3
8301;Auntzetxeta (18);Basurtu-Kastrexana-Bentazarra;48,58
8302;Auntzetxeta 18;Basurtu-Kastrexana-Bentazarra;48,58
8303;Auntzetxeta 4;Basurtu-Kastrexana-Bentazarra;48,58
8304;Auntzetxeta 7;Basurtu-Kastrexana-Bentazarra;48,58
8305;Basurtugorta 1;Basurtu-Kastrexana-Bentazarra;48,58
8306;Kobeta Mendia (41) / Mirador;Cº Monte Kobeta-Cervecera;58
8307;Kobeta Mendia / Acc.Barrio;Masustegui-Caserio;58
8308;Lezeaga 14;Basurtu-Kastrexana-Bentazarra;58
8309;Lezeaga 9;Basurtu-Kastrexana-Bentazarra;58
8310;Masustegi Estrata / Eskailerak;Masustegui-Caserio;58
8311;Masustegi Estrata / Eskola;Cº Kobeta-Escuelas;58
8312;Masustegi Estrata / Mintegitxueta;Monte Caramelo;58
8313;Masustegi Estrata 3 Bis;Basurtu-Kastrexana-Bentazarra;48,58
8314;Minteguitxueta;Monte Caramelo;58
8315;Masustegi Estrata / (Mintegitxueta);Cº Monte Kobeta-Cervecera;58
8316;Lezeaga 25;Basurtu-Kastrexana-Bentazarra;48
8317;Montevideo / (Olabeaga);Av. Montevideo-Frente Hospital;18,85,88
8401;Basurtu-Kastrexana (123) / Albergue;Basurtu-Kastrexana;28,58,80
8402;Basurtu-Kastrexana / Altamira;Bº Altamira;28,58,80
8403;Basurtu-Kastrexana 123;Basurtu-Kastrexana;28,58,80
8404;Kobetabidea / Altamira;Cº Kobeta-Cruce;58
8501;Fray Juan 35;Zorrotza-Antiguo Matadero;18,85
8502;Fray Juan 11;Zorrotza-Ambulatorio;18,85
8503;Zazpilanda / Bidegain;Grupo Zazpi-Landa;18,85
8504;Zazpilanda / Mendigain;Mendigain-Siete Campas;18,85
8505;Zazpilanda / Pinadia;Mendigain-Siete Campas;18,85
