CODIGO DISTRITO;NOMBRE DISTRITO;HOMBRES;MUJERES;TOTAL;;;;;
1;DEUSTU;22893;26084;48977;;;;;
2;URIBARRI;16929;19365;36294;;;;;
3;OTXARKOAGA-TXURDINAGA;12631;13623;26254;;;;;
4;BEGOÑA;19243;21598;40841;;;;;
5;IBAIONDO;30300;31631;61931;;;;;
6;ABANDO;22915;28239;51154;;;;;
7;ERREKALDE;22627;24957;47584;;;;;
8;BASURTU-ZORROTZA;15407;17200;32607;;;;;
