Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
100/9120A/10000;Retribucions bàsiques;520.909,90;0,00;520.909,90;528.368,70;528.368,70;0,00;-7.458,80
100/9120A/16000;Seguretat social;87.348,59;0,00;87.348,59;100.170,77;100.170,77;0,00;-12.822,18
100/9120A/16009;Altres quotes;1.093,80;0,00;1.093,80;820,35;820,35;0,00;273,45
100/9120A/23000;Indemnitzacions assistència òrgans col.·legiats ;332.380,00;0,00;332.380,00;329.760,00;329.760,00;0,00;2.620,00
100/9120A/48700;Transferències grups municipals;290.455,42;0,00;290.455,42;283.724,14;283.724,14;0,00;6.731,28
120/9220A/12000;Salaris del Grup A1;29.779,33;0,00;29.779,33;24.604,36;24.604,36;0,00;5.174,97
120/9220A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;13.871,37;13.871,37;0,00;-3.986,53
120/9220A/12004;Salaris del Grup C2;41.593,28;0,00;41.593,28;37.814,01;37.814,01;0,00;3.779,27
120/9220A/12005;Salaris del Grup E;7.678,58;0,00;7.678,58;7.880,63;7.880,63;0,00;-202,05
120/9220A/12006;Triennis;12.110,99;0,00;12.110,99;11.495,20;11.495,20;0,00;615,79
120/9220A/12100;Complement de destí;41.612,63;0,00;41.612,63;37.161,60;37.161,60;0,00;4.451,03
120/9220A/12101;Complement  específic;78.624,60;0,00;78.624,60;71.592,46;71.592,46;0,00;7.032,14
120/9220A/12103;Altres complements;58.724,97;0,00;58.724,97;55.512,63;55.512,63;0,00;3.212,34
120/9220A/15000;Productivitat;586,29;0,00;586,29;1.426,19;1.426,19;0,00;-839,90
120/9220A/16000;Seguretat social;68.171,58;0,00;68.171,58;64.896,84;64.896,84;0,00;3.274,74
120/9220A/22199;Altres subministraments;500,00;0,00;500,00;1.009,68;1.009,68;0,00;-509,68
120/9220A/22201;Comunicacions postals;4.000,00;0,00;4.000,00;757,63;734,10;23,53;3.242,37
120/9220A/22699;Altres despeses diverses;2.000,00;0,00;2.000,00;1.560,78;795,49;765,29;439,22
120/9220A/22706;Estudis i treballs tècnics;500,00;0,00;500,00;0,00;0,00;0,00;500,00
120/9220A/22799;Altres treballs realitzats per altres empreses i prof.;10,00;0,00;10,00;0,00;0,00;0,00;10,00
120/9220A/23020;Dietes personal no directiu;3.000,00;0,00;3.000,00;681,05;615,03;66,02;2.318,95
120/9220A/48300;Subvencions i aportacions institucionals;81.139,00;0,00;81.139,00;81.139,52;81.139,52;0,00;-0,52
130/9202A/12000;Salaris del Grup A1;29.354,64;0,00;29.354,64;30.143,94;30.143,94;0,00;-789,30
130/9202A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.203,08;10.203,08;0,00;-318,24
130/9202A/12004;Salaris del Grup C2;25.135,74;0,00;25.135,74;25.915,86;25.915,86;0,00;-780,12
130/9202A/12006;Triennis;16.168,02;0,00;16.168,02;14.363,71;14.363,71;0,00;1.804,31
130/9202A/12100;Complement de destí;37.970,04;0,00;37.970,04;37.970,04;37.970,04;0,00;0,00
130/9202A/12101;Complement  específic;87.816,72;0,00;87.816,72;87.816,72;87.816,72;0,00;0,00
130/9202A/12103;Altres complements;44.989,86;0,00;44.989,86;51.136,48;51.136,48;0,00;-6.146,62
130/9202A/15000;Productivitat;6.507,64;0,00;6.507,64;5.600,88;5.600,88;0,00;906,76
130/9202A/16000;Seguretat social;53.804,68;0,00;53.804,68;54.505,10;54.505,10;0,00;-700,42
130/9202A/22001;Premsa, revistes, llibres i altres publicacions;22,00;0,00;22,00;0,00;0,00;0,00;22,00
130/9202A/22201;Comunicacions postals;1.200,00;0,00;1.200,00;473,90;454,44;19,46;726,10
210/9221A/11000;Retribucions bàsiques;37.261,14;0,00;37.261,14;28.580,40;28.580,40;0,00;8.680,74
210/9221A/11001;Retribucions complementàries;76.586,58;0,00;76.586,58;49.420,70;49.420,70;0,00;27.165,88
210/9221A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;37.581,24;37.581,24;0,00;-22.903,92
210/9221A/12003;Salaris del Grup C1;19.769,68;0,00;19.769,68;26.500,48;26.500,48;0,00;-6.730,80
210/9221A/12004;Salaris del Grup C2;25.035,87;16.000,00;41.035,87;58.085,19;58.085,19;0,00;-17.049,32
210/9221A/12006;Triennis;12.314,62;0,00;12.314,62;25.531,39;25.531,39;0,00;-13.216,77
210/9221A/12100;Complement de destí;30.223,84;17.000,00;47.223,84;65.067,58;65.067,58;0,00;-17.843,74
210/9221A/12101;Complement  específic;68.352,17;31.000,00;99.352,17;131.613,59;131.613,59;0,00;-32.261,42
210/9221A/12103;Altres complements;40.744,92;21.000,00;61.744,92;82.641,10;82.641,10;0,00;-20.896,18
210/9221A/15000;Productivitat;439,81;0,00;439,81;2.266,88;2.266,88;0,00;-1.827,07
210/9221A/15300;Complement de dedicació especial;608,76;0,00;608,76;416,64;416,64;0,00;192,12
210/9221A/16000;Seguretat social;83.946,88;31.000,00;114.946,88;149.441,69;149.441,69;0,00;-34.494,81
210/9221A/22000;Material d’oficina no inventariable;1.500,00;0,00;1.500,00;0,00;0,00;0,00;1.500,00
210/9221A/22001;Premsa, revistes, llibres i altres publicacions;3.652,00;0,00;3.652,00;4.444,75;4.213,75;231,00;-792,75
210/9221A/22199;Altres subministraments;10,00;0,00;10,00;14,77;0,00;14,77;-4,77
210/9221A/22601;Atencions protocol·làries i representatives;1.400,00;0,00;1.400,00;2.151,27;2.151,27;0,00;-751,27
210/9221A/22602;Publicitat;5.600,00;0,00;5.600,00;5.620,00;5.620,00;0,00;-20,00
210/9221A/2260200;Difusió d´activitats;2.300,00;0,00;2.300,00;2.300,00;1.372,14;927,86;0,00
210/9221A/2260201;Informació municipal i comunicació;0,00;0,00;0,00;0,00;0,00;0,00;0,00
210/9221A/2260202;Publicacions;14.000,00;0,00;14.000,00;9.784,56;7.705,58;2.078,98;4.215,44
210/9221A/22699;Altres despeses diverses;2.010,00;0,00;2.010,00;817,49;754,71;62,78;1.192,51
210/9221A/22706;Estudis i treballs tècnics;500,00;0,00;500,00;95,70;95,70;0,00;404,30
210/9221A/22799;Altres treballs realitzats per altres empreses i prof.;20,00;0,00;20,00;0,00;0,00;0,00;20,00
210/9221A/23020;Dietes personal no directiu;1.676,00;0,00;1.676,00;88,57;0,00;88,57;1.587,43
210/9221A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221A/48200;Transf. corrents institucions sense ànim de lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221B/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;9.953,03;9.953,03;0,00;-68,19
210/9221B/12004;Salaris del Grup C2;16.757,16;0,00;16.757,16;17.324,52;17.324,52;0,00;-567,36
210/9221B/12006;Triennis;5.154,12;0,00;5.154,12;3.884,31;3.884,31;0,00;1.269,81
210/9221B/12100;Complement de destí;12.596,04;0,00;12.596,04;12.596,04;12.596,04;0,00;0,00
210/9221B/12101;Complement  específic;22.384,56;0,00;22.384,56;22.384,56;22.384,56;0,00;0,00
210/9221B/12103;Altres complements;10.543,92;0,00;10.543,92;11.845,42;11.845,42;0,00;-1.301,50
210/9221B/15000;Productivitat;3.859,44;0,00;3.859,44;3.859,44;3.859,44;0,00;0,00
210/9221B/16000;Seguretat social;21.492,90;0,00;21.492,90;22.403,80;22.403,80;0,00;-910,90
210/9221B/22199;Altres subministraments;500,00;0,00;500,00;500,00;500,00;0,00;0,00
210/9221B/22201;Comunicacions postals;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221B/22601;Atencions protocol·làries i representatives;12.000,00;-5.450,00;6.550,00;5.858,20;4.041,35;1.816,85;691,80
210/9221B/2260200;Difusió d'activitats;1.000,00;0,00;1.000,00;104,94;0,00;104,94;895,06
210/9221B/22699;Altres despeses diverses;3.000,00;0,00;3.000,00;255,94;255,94;0,00;2.744,06
210/9221B/22706;Estudis i treballs tècnics;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221B/22799;Altres treballs realitzats per altres empreses i prof.;1.000,00;0,00;1.000,00;1.127,12;1.127,12;0,00;-127,12
210/9222A/22201;Comunicacions postals;10,00;0,00;10,00;4,03;0,00;4,03;5,97
210/9222A/22601;Atencions protocol·làries i representatives;1.700,00;0,00;1.700,00;1.968,51;1.968,51;0,00;-268,51
210/9222A/2260200;Difusió d´activitats;1.000,00;0,00;1.000,00;1.000,00;0,00;1.000,00;0,00
210/9222A/22606;Reunions, conferències i cursos;500,00;0,00;500,00;0,00;0,00;0,00;500,00
210/9222A/22699;Altres despeses diverses;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9222A/22706;Estudis i treballs tècnics;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9222A/22799;Altres treballs realitzats per altres empreses i prof.;12.422,20;0,00;12.422,20;0,00;0,00;0,00;12.422,20
210/9222A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9223A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;14.756,25;14.756,25;0,00;-78,93
210/9223A/12004;Salaris del Grup C2;16.757,16;0,00;16.757,16;12.780,63;12.780,63;0,00;3.976,53
210/9223A/12006;Triennis;3.183,81;0,00;3.183,81;1.967,06;1.967,06;0,00;1.216,75
210/9223A/12100;Complement de destí;13.976,64;0,00;13.976,64;12.012,00;12.012,00;0,00;1.964,64
210/9223A/12101;Complement  específic;23.342,76;0,00;23.342,76;19.893,18;19.893,18;0,00;3.449,58
210/9223A/12103;Altres complements;13.057,90;0,00;13.057,90;12.932,05;12.932,05;0,00;125,85
210/9223A/15000;Productivitat;33,36;0,00;33,36;33,36;33,36;0,00;0,00
210/9223A/16000;Seguretat social;20.721,10;0,00;20.721,10;18.422,32;18.422,32;0,00;2.298,78
210/9223A/22000;Material d’oficina no inventariable;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9223A/22001;Premsa, revistes, llibres i altres publicacions;269,00;0,00;269,00;268,21;268,21;0,00;0,79
210/9223A/22201;Comunicacions postals;100,00;0,00;100,00;11,98;11,66;0,32;88,02
210/9223A/22602;Publicitat;500,00;0,00;500,00;484,00;0,00;484,00;16,00
210/9223A/22699;Altres despeses diverses;2.500,00;0,00;2.500,00;1.956,18;910,79;1.045,39;543,82
210/9223A/22706;Estudis i treballs tècnics;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9223A/22799;Altres treballs realitzats per altres empreses i prof.;240,00;0,00;240,00;242,00;242,00;0,00;-2,00
210/9223A/23100;Locomoció ;500,00;0,00;500,00;162,20;70,49;91,71;337,80
210/9223A/23300;Altres indemnitzacions;10.200,00;0,00;10.200,00;10.200,00;10.200,00;0,00;0,00
210/9223A/48300;Subvencions i aportacions institucionals;1.300,00;0,00;1.300,00;1.263,00;1.263,00;0,00;37,00
212/4910A/44900;Altres subv. a ens públics i societats mercantils locals;665.040,00;0,00;665.040,00;665.040,00;665.040,00;0,00;0,00
212/9251A/12000;Salaris del Grup A1;58.709,28;0,00;58.709,28;56.883,69;56.883,69;0,00;1.825,59
212/9251A/12001;Salaris del Grup A2;12.778,65;0,00;12.778,65;13.133,55;13.133,55;0,00;-354,90
212/9251A/12003;Salaris del Grup C1;29.654,52;0,00;29.654,52;25.610,02;25.610,02;0,00;4.044,50
212/9251A/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;8.520,42;8.520,42;0,00;-141,84
212/9251A/12006;Triennis;11.768,62;0,00;11.768,62;9.677,47;9.677,47;0,00;2.091,15
212/9251A/12100;Complement de destí;50.728,36;0,00;50.728,36;47.826,25;47.826,25;0,00;2.902,11
212/9251A/12101;Complement  específic;86.674,27;0,00;86.674,27;82.002,74;82.002,74;0,00;4.671,53
212/9251A/12103;Altres complements;47.862,54;0,00;47.862,54;58.303,04;58.303,04;0,00;-10.440,50
212/9251A/15000;Productivitat;5.246,28;0,00;5.246,28;3.840,18;3.840,18;0,00;1.406,10
212/9251A/16000;Seguretat social;78.207,16;0,00;78.207,16;76.718,12;76.718,12;0,00;1.489,04
212/9251A/22001;Premsa, revistes, llibres i altres publicacions;3.217,00;0,00;3.217,00;1.775,61;1.775,61;0,00;1.441,39
212/9251A/22199;Altres subministraments;1.500,00;0,00;1.500,00;497,17;401,52;95,65;1.002,83
212/9251A/22201;Comunicacions postals;10,00;0,00;10,00;0,00;0,00;0,00;10,00
212/9251A/22400;Primes d’assegurances;10,00;0,00;10,00;0,00;0,00;0,00;10,00
212/9251A/22601;Atencions protocol·làries i representatives;2.400,00;0,00;2.400,00;143,00;143,00;0,00;2.257,00
212/9251A/2260200;Difusió d'activitats;4.500,00;0,00;4.500,00;6.023,55;2.033,60;3.989,95;-1.523,55
212/9251A/2260202;Publicacions;53.520,00;0,00;53.520,00;21.668,40;14.445,60;7.222,80;31.851,60
212/9251A/22699;Altres despeses diverses;2.000,00;0,00;2.000,00;763,66;709,28;54,38;1.236,34
212/9251A/22706;Estudis i treballs tècnics;1.000,00;0,00;1.000,00;1.210,00;1.210,00;0,00;-210,00
212/9251A/22799;Altres treballs realitzats per altres empreses i prof.;2.989,80;0,00;2.989,80;3.206,50;3.206,50;0,00;-216,70
212/9251A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300A/12000;Salaris del Grup A1;29.354,64;0,00;29.354,64;29.808,84;29.808,84;0,00;-454,20
253/3300A/12001;Salaris del Grup A2;25.813,04;0,00;25.813,04;26.497,49;26.497,49;0,00;-684,45
253/3300A/12003;Salaris del Grup C1;27.024,77;0,00;27.024,77;24.477,44;24.477,44;0,00;2.547,33
253/3300A/12004;Salaris del Grup C2;41.440,59;0,00;41.440,59;40.153,73;40.153,73;0,00;1.286,86
253/3300A/12006;Triennis;26.964,55;0,00;26.964,55;21.883,95;21.883,95;0,00;5.080,60
253/3300A/12100;Complement de destí;58.571,71;0,00;58.571,71;56.205,28;56.205,28;0,00;2.366,43
253/3300A/12101;Complement  específic;110.405,48;0,00;110.405,48;109.820,85;109.820,85;0,00;584,63
253/3300A/12103;Altres complements;52.487,78;0,00;52.487,78;75.493,55;75.493,55;0,00;-23.005,77
253/3300A/13000;Retribucions bàsiques;33.786,98;0,00;33.786,98;34.580,51;34.580,51;0,00;-793,53
253/3300A/15000;Productivitat;0,00;0,00;0,00;0,00;0,00;0,00;0,00
253/3300A/16000;Seguretat social;111.364,25;0,00;111.364,25;104.950,68;104.950,68;0,00;6.413,57
253/3300A/20600;Lloguer immobilitzat immaterial;37.000,00;-28.700,00;8.300,00;5.935,05;5.935,05;0,00;2.364,95
253/3300A/21900;Manteniment béns artístics;275,00;0,00;275,00;0,00;0,00;0,00;275,00
253/3300A/22104;Vestuari;1.500,00;0,00;1.500,00;37,13;37,13;0,00;1.462,87
253/3300A/22199;Altres subministraments;15.270,00;0,00;15.270,00;15.193,81;9.974,24;5.219,57;76,19
253/3300A/22201;Comunicacions postals;500,00;0,00;500,00;496,06;490,43;5,63;3,94
253/3300A/22601;Atencions protocol·làries i representatives;2.400,00;0,00;2.400,00;3.025,28;3.025,28;0,00;-625,28
253/3300A/22602;Publicitat i propaganda;18.700,00;-18.000,00;700,00;5.567,63;1.920,51;3.647,12;-4.867,63
253/3300A/2260200;Difusió d´activitats;60.000,00;0,00;60.000,00;60.504,17;49.926,35;10.577,82;-504,17
253/3300A/22609;Activitats culturals;7.875,00;0,00;7.875,00;5.805,00;5.805,00;0,00;2.070,00
253/3300A/22620;El Sud Suma + Nou Pla de Barris;10,00;8.526,68;8.536,68;0,00;0,00;0,00;8.536,68
253/3300A/22699;Altres despeses diverses;2.490,00;0,00;2.490,00;21.992,93;21.973,11;19,82;-19.502,93
253/3300A/2270001;Contractes de neteja;13.015,85;0,00;13.015,85;6.362,53;3.360,37;3.002,16;6.653,32
253/3300A/22706;Pla estratègic i altres  estudis;9.000,00;-9.000,00;0,00;0,00;0,00;0,00;0,00
253/3300A/23020;Dietes personal no directiu;800,00;0,00;800,00;758,48;159,72;598,76;41,52
253/3300A/45000;A l'Administració General de les Comunitats Autònomes;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300A/46100;A Diputacions, Consells o Cabildos Insulars;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300C/2270001;Contractes de neteja;56.731,56;0,00;56.731,56;14.641,62;14.641,62;0,00;42.089,94
253/3300C/41000;A Organismes Autònoms de l'Entitat Local;1.115.285,00;0,00;1.115.285,00;1.115.285,00;950.641,68;164.643,32;0,00
253/3300D/2270001;Contractes de neteja;0,00;0,00;0,00;0,00;0,00;0,00;0,00
253/3320B/12001;Salaris del Grup A2;12.906,52;0,00;12.906,52;13.261,42;13.261,42;0,00;-354,90
253/3320B/12003;Salaris del Grup C1;320.844,23;0,00;320.844,23;317.919,10;317.919,10;0,00;2.925,13
253/3320B/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;8.449,50;8.449,50;0,00;-70,92
253/3320B/12005;Salaris del Grup E;46.071,48;0,00;46.071,48;47.675,47;47.675,47;0,00;-1.603,99
253/3320B/12006;Triennis;45.406,08;0,00;45.406,08;37.803,80;37.803,80;0,00;7.602,28
253/3320B/12100;Complement de destí;160.768,36;0,00;160.768,36;157.128,67;157.128,67;0,00;3.639,69
253/3320B/12101;Complement  específic;294.537,40;0,00;294.537,40;289.619,20;289.619,20;0,00;4.918,20
253/3320B/12103;Altres complements;179.533,88;30.000,00;209.533,88;208.682,30;208.682,30;0,00;851,58
253/3320B/14300;Altre personal;0,00;0,00;0,00;0,00;0,00;0,00;0,00
253/3320B/15000;Productivitat;920,01;0,00;920,01;721,49;721,49;0,00;198,52
253/3320B/16000;Seguretat social;303.474,22;0,00;303.474,22;305.245,54;305.245,54;0,00;-1.771,32
253/3320B/21300;Manteniment de maquinària, instal·lacions i utillatge;2.100,00;0,00;2.100,00;5.808,69;5.294,06;514,63;-3.708,69
253/3320B/21900;Altre immobilitzat material;3.400,00;0,00;3.400,00;1.957,76;1.768,13;189,63;1.442,24
253/3320B/22000;Material d’oficina no inventariable;1.940,00;0,00;1.940,00;0,00;0,00;0,00;1.940,00
253/3320B/22001;Premsa, revistes, llibres i altres publicacions;3.289,00;0,00;3.289,00;3.887,47;3.887,47;0,00;-598,47
253/3320B/22101;Aigua;288,55;0,00;288,55;0,00;0,00;0,00;288,55
253/3320B/22199;Altres subministraments;12.760,00;0,00;12.760,00;9.547,15;6.597,07;2.950,08;3.212,85
253/3320B/22606;Reunions, conferències i cursos;8.340,00;23.860,00;32.200,00;27.235,87;25.995,21;1.240,66;4.964,13
253/3320B/22699;Altres despeses diverses;1.550,00;0,00;1.550,00;1.710,06;252,01;1.458,05;-160,06
253/3320B/2270001;Contractes de neteja;250.088,14;0,00;250.088,14;222.675,63;222.490,96;184,67;27.412,51
253/3320B/22799;Altres treballs realitzats per altres empreses i prof.;47.885,00;0,00;47.885,00;33.005,45;19.816,89;13.188,56;14.879,55
253/3320B/26000;Treballs realitzats Entitats sense ànim lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3320B/48100;Premis, beques i pensions d’estudi i investigació;440,00;0,00;440,00;0,00;0,00;0,00;440,00
253/3320B/48200;Transf. corrents institucions sense ànim de lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3320B/62901;Altres inv. noves assoc. al funcionament op. dels serveis;40.000,00;0,00;40.000,00;39.689,78;0,00;39.689,78;310,22
253/3340A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;14.823,85;14.823,85;0,00;-146,53
253/3340A/12001;Salaris del Grup A2;25.813,04;0,00;25.813,04;22.005,27;22.005,27;0,00;3.807,77
253/3340A/12003;Salaris del Grup C1;98.032,20;0,00;98.032,20;101.200,37;101.200,37;0,00;-3.168,17
253/3340A/12004;Salaris del Grup C2;23.460,02;0,00;23.460,02;24.696,26;24.696,26;0,00;-1.236,24
253/3340A/12005;Salaris del Grup E;46.071,48;0,00;46.071,48;46.429,39;46.429,39;0,00;-357,91
253/3340A/12006;Triennis;33.757,38;0,00;33.757,38;29.633,69;29.633,69;0,00;4.123,69
253/3340A/12100;Complement de destí;92.111,58;0,00;92.111,58;90.862,50;90.862,50;0,00;1.249,08
253/3340A/12101;Complement  específic;174.515,02;0,00;174.515,02;172.481,94;172.481,94;0,00;2.033,08
253/3340A/12103;Altres complements;141.626,45;18.000,00;159.626,45;158.477,27;158.477,27;0,00;1.149,18
253/3340A/13000;Retribucions bàsiques;1.995,27;0,00;1.995,27;0,00;0,00;0,00;1.995,27
253/3340A/13100;Laboral temporal;55.830,90;0,00;55.830,90;63.173,60;63.173,60;0,00;-7.342,70
253/3340A/15000;Productivitat;2.210,78;0,00;2.210,78;2.122,12;2.122,12;0,00;88,66
253/3340A/16000;Seguretat social;190.949,95;0,00;190.949,95;194.822,21;194.822,21;0,00;-3.872,26
253/3340A/20500;Lloguer de mobiliari i estris;20,00;0,00;20,00;1.129,05;1.129,05;0,00;-1.109,05
253/3340A/20800;Arrendaments d'altre immobilitzat material;12.400,00;-9.002,00;3.398,00;1.925,12;1.861,59;63,53;1.472,88
253/3340A/21300;Manteniment de maquinària, instal·lacions i utillatge;7.095,00;0,00;7.095,00;8.803,37;8.803,37;0,00;-1.708,37
253/3340A/21600;Equips per a processos d'informació;1.850,00;0,00;1.850,00;771,36;257,12;514,24;1.078,64
253/3340A/21900;Altre immobilitzat material;14.910,00;-3.500,00;11.410,00;5.711,96;4.396,35;1.315,61;5.698,04
253/3340A/22100;Energia elèctrica;405.276,36;0,00;405.276,36;170.557,04;97.199,14;73.357,90;234.719,32
253/3340A/22101;Aigua;5.296,77;4.479,23;9.776,00;10.568,00;6.088,77;4.479,23;-792,00
253/3340A/22102;Gas;43.353,01;0,00;43.353,01;46.260,81;46.260,81;0,00;-2.907,80
253/3340A/22199;Altres subministraments;9.110,00;-7.500,00;1.610,00;1.732,08;1.732,08;0,00;-122,08
253/3340A/22400;Primes d’assegurances;900,00;0,00;900,00;0,00;0,00;0,00;900,00
253/3340A/22602;Publicitat i propaganda;2.010,00;0,00;2.010,00;0,00;0,00;0,00;2.010,00
253/3340A/22609;Activitats creació i difusió arts;13.125,00;0,00;13.125,00;4.984,07;0,00;4.984,07;8.140,93
253/3340A/22699;Altres despeses diverses;152.105,00;28.297,80;180.402,80;174.348,40;159.086,10;15.262,30;6.054,40
253/3340A/2270001;Contractes de neteja;175.863,06;0,00;175.863,06;232.149,76;231.894,06;255,70;-56.286,70
253/3340A/22799;Altres treballs realitzats per altres empreses i prof.;507.993,00;56.885,79;564.878,79;441.212,49;321.951,20;119.261,29;123.666,30
253/3340A/47900;Transferències corrents a empreses privades;0,00;3.475,00;3.475,00;0,00;0,00;0,00;3.475,00
253/3340A/48100;Premis, beques i pensions d’estudi i investigació;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3340A/48200;Transf. corrents institucions sense ànim de lucre;96.865,00;31.195,00;128.060,00;125.137,00;93.371,25;31.765,75;2.923,00
253/3360A/22100;Energia elèctrica;33.723,35;0,00;33.723,35;6.378,38;3.847,00;2.531,38;27.344,97
253/3360A/22101;Aigua;2.516,21;2.055,92;4.572,13;3.101,83;1.045,91;2.055,92;1.470,30
253/3360A/22102;Gas;15.639,75;0,00;15.639,75;8.395,54;8.395,54;0,00;7.244,21
253/3360A/22699;Altres despeses diverses;40,00;0,00;40,00;0,00;0,00;0,00;40,00
253/3360A/2270001;Contractes de neteja;32.084,65;0,00;32.084,65;94.570,76;94.570,76;0,00;-62.486,11
253/3360A/22799;Altres treballs realitzats per altres empreses i prof.;40,00;0,00;40,00;0,00;0,00;0,00;40,00
253/3360A/48100;Premis, beques i pensions d’estudi i investigació;40,00;2.404,00;2.444,00;2.404,00;2.404,00;0,00;40,00
253/3360A/48200;Transf. corrents institucions sense ànim de lucre;40,00;12.300,00;12.340,00;0,00;0,00;0,00;12.340,00
253/3360A/78000;A famílies i institucions sense ànim de lucre;0,00;60.000,00;60.000,00;0,00;0,00;0,00;60.000,00
253/3380A/12003;Salaris del Grup C1;29.654,52;0,00;29.654,52;30.336,46;30.336,46;0,00;-681,94
253/3380A/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;8.449,50;8.449,50;0,00;-70,92
253/3380A/12006;Triennis;5.875,68;0,00;5.875,68;5.165,40;5.165,40;0,00;710,28
253/3380A/12100;Complement de destí;18.411,60;0,00;18.411,60;18.411,60;18.411,60;0,00;0,00
253/3380A/12101;Complement  específic;31.327,56;0,00;31.327,56;31.327,56;31.327,56;0,00;0,00
253/3380A/12103;Altres complements;21.496,51;0,00;21.496,51;24.921,19;24.921,19;0,00;-3.424,68
253/3380A/13000;Retribucions bàsiques;45.694,87;0,00;45.694,87;46.454,97;46.454,97;0,00;-760,10
253/3380A/15000;Productivitat;55,68;0,00;55,68;56,06;56,06;0,00;-0,38
253/3380A/16000;Seguretat social;46.421,19;0,00;46.421,19;46.833,05;46.833,05;0,00;-411,86
253/3380A/20800;Arrendaments d'altre immobilitzat material;14.400,00;-3.000,00;11.400,00;9.883,26;9.306,09;577,17;1.516,74
253/3380A/22199;Altres subministraments;7.800,00;0,00;7.800,00;7.385,84;6.834,00;551,84;414,16
253/3380A/22400;Primes d’assegurances;1.500,00;0,00;1.500,00;1.791,52;1.791,52;0,00;-291,52
253/3380A/22602;Programa de Festa Major;8.662,50;-8.567,42;95,08;95,08;95,08;0,00;0,00
253/3380A/22609;Activitats culturals;43.020,00;30.000,00;73.020,00;97.038,64;96.358,64;680,00;-24.018,64
253/3380A/22699;Altres despeses diverses;6.110,00;0,00;6.110,00;3.263,72;2.841,83;421,89;2.846,28
253/3380A/22799;Altres treballs realitzats per altres empreses i prof.;211.920,00;11.680,67;223.600,67;210.841,04;179.973,34;30.867,70;12.759,63
253/3380A/48100;Premis, beques i pensions d’estudi i investigació;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3380A/48200;Transf. corrents institucions sense ànim de lucre;107.910,00;26.328,00;134.238,00;128.239,23;99.097,93;29.141,30;5.998,77
253/3380B/12003;Salaris del Grup C1;29.654,52;0,00;29.654,52;30.700,16;30.700,16;0,00;-1.045,64
253/3380B/12006;Triennis;8.209,65;0,00;8.209,65;7.235,25;7.235,25;0,00;974,40
253/3380B/12100;Complement de destí;15.021,00;0,00;15.021,00;15.021,00;15.021,00;0,00;0,00
253/3380B/12101;Complement  específic;24.428,40;0,00;24.428,40;24.428,40;24.428,40;0,00;0,00
253/3380B/12103;Altres complements;16.268,83;0,00;16.268,83;19.341,99;19.341,99;0,00;-3.073,16
253/3380B/15000;Productivitat;34,28;0,00;34,28;31,37;31,37;0,00;2,91
253/3380B/16000;Seguretat social;30.113,23;0,00;30.113,23;30.455,20;30.455,20;0,00;-341,97
253/3380B/20800;Arrendaments d'altre immobilitzat material;100,00;0,00;100,00;0,00;0,00;0,00;100,00
253/3380B/22199;Altres subministraments;1.000,00;0,00;1.000,00;1.218,12;1.191,17;26,95;-218,12
253/3380B/22400;Primes d’assegurances;600,00;0,00;600,00;0,00;0,00;0,00;600,00
253/3380B/22606;Reunions, conferències i cursos;1.000,00;0,00;1.000,00;2.700,00;1.950,00;750,00;-1.700,00
253/3380B/22699;Altres despeses diverses;900,00;0,00;900,00;460,60;460,60;0,00;439,40
253/3380B/22799;Altres treballs realitzats per altres empreses i prof.;10.900,00;0,00;10.900,00;5.640,42;5.134,66;505,76;5.259,58
253/3380b/48100;Premis, beques i pensions d’estudi i investigació;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3380b/48200;Transferències corrents instit. sense ànim lucre;5.860,00;-5.860,00;0,00;0,00;0,00;0,00;0,00
253/3380C/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.225,81;10.225,81;0,00;-340,97
