Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
322/9230A/12000;Salaris del Grup A1;29.169,80;0,00;29.169,80;29.726,01;29.726,01;0,00;-556,21
322/9230A/12003;Salaris del Grup C1;9.884,84;27.000,00;36.884,84;37.003,43;37.003,43;0,00;-118,59
322/9230A/12006;Triennis;10.669,01;0,00;10.669,01;14.768,82;14.768,82;0,00;-4.099,81
322/9230A/12100;Complement de destí;20.606,15;0,00;20.606,15;30.871,99;30.871,99;0,00;-10.265,84
322/9230A/12101;Complement  específic;36.426,06;17.000,00;53.426,06;53.937,43;53.937,43;0,00;-511,37
322/9230A/12103;Altres complements;20.606,47;13.000,00;33.606,47;34.301,22;34.301,22;0,00;-694,75
322/9230A/15000;Productivitat;48,60;0,00;48,60;502,11;502,11;0,00;-453,51
322/9230A/16000;Seguretat social;34.638,70;18.000,00;52.638,70;52.623,71;52.623,71;0,00;14,99
322/9230A/22699;Altres despeses diverses;10,00;0,00;10,00;14,85;14,85;0,00;-4,85
322/9231A/12001;Salaris del Grup A2;0,00;0,00;0,00;0,00;0,00;0,00;0,00
322/9231A/12003;Salaris del Grup C1;39.539,36;0,00;39.539,36;16.728,72;16.728,72;0,00;22.810,64
322/9231A/12004;Salaris del Grup C2;40.137,28;0,00;40.137,28;40.882,16;40.882,16;0,00;-744,88
322/9231A/12006;Triennis;14.952,79;0,00;14.952,79;8.719,67;8.719,67;0,00;6.233,12
322/9231A/12100;Complement de destí;36.997,09;0,00;36.997,09;27.522,79;27.522,79;0,00;9.474,30
322/9231A/12101;Complement  específic;71.226,02;0,00;71.226,02;55.026,38;55.026,38;0,00;16.199,64
322/9231A/12103;Altres complements;31.266,55;0,00;31.266,55;24.593,24;24.593,24;0,00;6.673,31
322/9231A/15000;Productivitat;0,00;0,00;0,00;0,00;0,00;0,00;0,00
322/9231A/16000;Seguretat social;65.143,18;0,00;65.143,18;49.276,66;49.276,66;0,00;15.866,52
322/9231a/20300;Lloguers de maquinària, instal·lacions i utillatge;2.541,00;0,00;2.541,00;2.541,00;2.329,25;211,75;0,00
322/9231A/22201;Comunicacions postals;1.550,00;0,00;1.550,00;1.254,53;1.134,86;119,67;295,47
322/9231B/12001;Salaris del Grup A2;25.621,24;0,00;25.621,24;26.385,30;26.385,30;0,00;-764,06
322/9231B/12003;Salaris del Grup C1;39.539,36;0,00;39.539,36;40.903,24;40.903,24;0,00;-1.363,88
322/9231B/12004;Salaris del Grup C2;56.674,75;0,00;56.674,75;58.236,25;58.236,25;0,00;-1.561,50
322/9231B/12006;Triennis;27.795,42;0,00;27.795,42;24.229,23;24.229,23;0,00;3.566,19
322/9231B/12100;Complement de destí;55.544,83;0,00;55.544,83;55.544,83;55.544,83;0,00;0,00
322/9231B/12101;Complement  específic;100.010,82;0,00;100.010,82;100.010,82;100.010,82;0,00;0,00
322/9231B/12103;Altres complements;41.621,58;0,00;41.621,58;47.007,12;47.007,12;0,00;-5.385,54
322/9231B/15000;Productivitat;1,18;0,00;1,18;1,18;1,18;0,00;0,00
322/9231B/16000;Seguretat social;92.904,52;0,00;92.904,52;94.017,54;94.017,54;0,00;-1.113,02
322/9231B/22604;Jurídics, contenciosos;159,00;0,00;159,00;123,66;123,66;0,00;35,34
322/9231B/22706;Estudis i treballs tècnics;2.500,00;0,00;2.500,00;0,00;0,00;0,00;2.500,00
322/9232A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;15.098,28;15.098,28;0,00;-420,96
322/9232A/12001;Salaris del Grup A2;12.906,52;0,00;12.906,52;13.007,92;13.007,92;0,00;-101,40
322/9232A/12003;Salaris del Grup C1;28.574,49;0,00;28.574,49;26.282,10;26.282,10;0,00;2.292,39
322/9232A/12005;Salaris del Grup E;7.678,58;0,00;7.678,58;7.813,28;7.813,28;0,00;-134,70
322/9232A/12006;Triennis;14.657,42;0,00;14.657,42;12.257,89;12.257,89;0,00;2.399,53
322/9232A/12100;Complement de destí;29.283,46;0,00;29.283,46;28.023,71;28.023,71;0,00;1.259,75
322/9232A/12101;Complement  específic;56.274,54;0,00;56.274,54;54.120,74;54.120,74;0,00;2.153,80
322/9232A/12103;Altres complements;27.070,15;0,00;27.070,15;30.045,96;30.045,96;0,00;-2.975,81
322/9232A/15000;Productivitat;3.511,06;0,00;3.511,06;2.453,43;2.453,43;0,00;1.057,63
322/9232A/16000;Seguretat social;51.087,86;0,00;51.087,86;46.780,94;46.780,94;0,00;4.306,92
322/9232a/20300;Lloguers de maquinària, instal·lacions i utillatge;1.500,00;0,00;1.500,00;801,69;801,69;0,00;698,31
322/9232A/21300;Manteniment de maquinària, instal·lacions i utillatge;720,00;0,00;720,00;629,20;629,20;0,00;90,80
322/9232A/22199;Altres subministraments;1.100,00;0,00;1.100,00;1.381,95;143,61;1.238,34;-281,95
322/9232A/22706;Estudis i treballs tècnics;4.000,00;0,00;4.000,00;0,00;0,00;0,00;4.000,00
323/4920A/22001;Premsa, revistes, llibres i altres publicacions;1.001,40;0,00;1.001,40;842,38;448,31;394,07;159,02
323/4920A/22200;Serveis de Telecomunicacions;111.565,11;0,00;111.565,11;81.984,65;50.545,84;31.438,81;29.580,46
323/4920A/2260200; Difusió d´activitats;1.000,00;0,00;1.000,00;0,00;0,00;0,00;1.000,00
323/4920A/22620;El Sud Suma + Nou Pla de Barris;0,00;4.915,47;4.915,47;0,00;0,00;0,00;4.915,47
323/4920B/12001;Salaris del Grup A2;38.719,56;0,00;38.719,56;34.842,58;34.842,58;0,00;3.876,98
323/4920B/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;8.555,88;8.555,88;0,00;-177,30
323/4920B/12006;Triennis;5.901,32;0,00;5.901,32;5.027,13;5.027,13;0,00;874,19
323/4920B/12100;Complement de destí;17.954,23;0,00;17.954,23;17.066,89;17.066,89;0,00;887,34
323/4920B/12101;Complement  específic;30.063,06;0,00;30.063,06;28.544,11;28.544,11;0,00;1.518,95
323/4920B/12103;Altres complements;10.197,44;0,00;10.197,44;11.092,79;11.092,79;0,00;-895,35
323/4920B/15000;Productivitat;1,20;0,00;1,20;1,20;1,20;0,00;0,00
323/4920B/16000;Seguretat social;29.961,01;0,00;29.961,01;28.642,52;28.642,52;0,00;1.318,49
323/4920B/21600;Equips per a processos d'informació;12.500,00;-867,68;11.632,32;1.020,74;1.020,74;0,00;10.611,58
323/4920B/22699;Altres despeses diverses;0,00;0,00;0,00;0,00;0,00;0,00;0,00
323/4920B/22799;Altres treballs realitzats per altres empreses i prof.;27.200,00;0,00;27.200,00;23.234,38;17.703,48;5.530,90;3.965,62
323/9260A/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;8.733,18;8.733,18;0,00;-354,60
323/9260A/12006;Triennis;2.470,77;0,00;2.470,77;2.148,12;2.148,12;0,00;322,65
323/9260A/12100;Complement de destí;3.660,12;0,00;3.660,12;3.660,12;3.660,12;0,00;0,00
323/9260A/12101;Complement  específic;6.899,16;0,00;6.899,16;6.899,16;6.899,16;0,00;0,00
323/9260A/12103;Altres complements;5.579,41;0,00;5.579,41;5.883,55;5.883,55;0,00;-304,14
323/9260A/15000;Productivitat;33,36;0,00;33,36;33,36;33,36;0,00;0,00
323/9260A/16000;Seguretat social;8.707,93;0,00;8.707,93;8.663,87;8.663,87;0,00;44,06
323/9260A/21600;Manteniment de l'equipament per a processos informàtics;282.400,28;3.925,23;286.325,51;254.877,76;221.651,09;33.226,67;31.447,75
323/9260A/21900;Compra de material per a reparacions i manteniments;500,00;0,00;500,00;7.885,48;5.684,53;2.200,95;-7.385,48
323/9260A/22002;Material informàtic no inventariable;500,00;0,00;500,00;400,99;400,99;0,00;99,01
323/9260a/22201;Comunicacions postals;50,00;0,00;50,00;0,00;0,00;0,00;50,00
323/9260A/41000;A Organismes Autònoms de l'Entitat Local;1.287.000,00;0,00;1.287.000,00;1.287.000,00;1.126.500,00;160.500,00;0,00
323/9260A/62600;Equips per a processos d'informació;30.000,00;0,00;30.000,00;36.736,11;25.977,93;10.758,18;-6.736,11
323/9260A/64000;Despeses en inversions de caràcter immaterial;30.000,00;1.699,75;31.699,75;31.647,25;31.647,25;0,00;52,50
323/9260A/64100;Despeses en aplicacions informàtiques;125.000,00;900,00;125.900,00;118.302,80;101.854,68;16.448,12;7.597,20
324/9204A/12000;Salaris del Grup A1;9.556,76;0,00;9.556,76;4.274,61;4.274,61;0,00;5.282,15
324/9204A/12003;Salaris del Grup C1;9.764,84;0,00;9.764,84;9.761,22;9.761,22;0,00;3,62
324/9204A/12006;Triennis;842,29;0,00;842,29;2.004,15;2.004,15;0,00;-1.161,86
324/9204A/12100;Complement de destí;11.037,36;0,00;11.037,36;6.317,34;6.317,34;0,00;4.720,02
324/9204A/12101;Complement  específic;22.064,47;0,00;22.064,47;14.636,54;14.636,54;0,00;7.427,93
324/9204A/12103;Altres complements;11.617,06;0,00;11.617,06;10.508,57;10.508,57;0,00;1.108,49
324/9204A/16000;Seguretat social;16.203,87;0,00;16.203,87;10.650,05;10.650,05;0,00;5.553,82
324/9204A/20200;Lloguers d’edificis i altres construccions;10,00;0,00;10,00;0,00;0,00;0,00;10,00
324/9204A/21200;Manteniment d’edificis i altres construccions;10,00;0,00;10,00;0,00;0,00;0,00;10,00
324/9204A/21900;Altre immobilitzat material;10,00;0,00;10,00;0,00;0,00;0,00;10,00
324/9204A/22104;Vestuari;4.690,00;0,00;4.690,00;7.181,11;5.878,11;1.303,00;-2.491,11
324/9204A/22199;Altres subministraments;10.000,00;0,00;10.000,00;10.000,00;10.000,00;0,00;0,00
324/9204A/22201;Comunicacions postals;4.419,40;0,00;4.419,40;846,96;843,39;3,57;3.572,44
324/9204A/22701;Seguretat;63.500,00;0,00;63.500,00;58.503,91;48.584,39;9.919,52;4.996,09
324/9204A/22706;Estudis i treballs tècnics;10.000,00;-450,00;9.550,00;0,00;0,00;0,00;9.550,00
