parada_punt_id;linia_id;trajecte_id;direccio_id;sequencia_id;
"38";"1791";"4";"2";"5";
"39";"1791";"4";"2";"6";
"40";"1791";"4";"2";"7";
"41";"1791";"4";"2";"8";
"42";"1791";"4";"2";"9";
"43";"1791";"4";"2";"10";
"44";"1791";"4";"2";"11";
"45";"1791";"4";"2";"12";
"46";"1791";"4";"2";"13";
"47";"1791";"4";"2";"14";
"48";"1791";"4";"2";"15";
"49";"1791";"4";"2";"16";
"50";"1791";"4";"2";"17";
"51";"1791";"4";"2";"18";
"52";"1791";"4";"2";"19";
"53";"1791";"4";"2";"20";
"54";"1791";"4";"2";"21";
"55";"1791";"4";"2";"22";
"87";"1791";"4";"2";"23";
"407";"1791";"4";"2";"24";
"89";"1791";"4";"2";"25";
"90";"1791";"4";"2";"26";
"91";"1791";"4";"2";"27";
"1";"1791";"4";"2";"28";
"30";"1791";"12";"2";"1";
"35";"1791";"12";"2";"2";
"36";"1791";"12";"2";"3";
"37";"1791";"12";"2";"4";
"374";"1791";"12";"2";"5";
"82";"1791";"12";"2";"6";
"83";"1791";"12";"2";"7";
"40";"1791";"12";"2";"8";
"41";"1791";"12";"2";"9";
"42";"1791";"12";"2";"10";
"43";"1791";"12";"2";"11";
"45";"1791";"12";"2";"13";
"46";"1791";"12";"2";"14";
"47";"1791";"12";"2";"15";
"48";"1791";"12";"2";"16";
"49";"1791";"12";"2";"17";
"50";"1791";"12";"2";"18";
"51";"1791";"12";"2";"19";
"52";"1791";"12";"2";"20";
"53";"1791";"12";"2";"21";
"54";"1791";"12";"2";"22";
"55";"1791";"12";"2";"23";
"56";"1791";"12";"2";"24";
"57";"1791";"12";"2";"25";
"58";"1791";"12";"2";"26";
"59";"1791";"12";"2";"27";
"1";"1791";"12";"2";"28";
"1";"1792";"1";"1";"1";
"2";"1792";"1";"1";"2";
"64";"1792";"1";"1";"3";
"65";"1792";"1";"1";"4";
"66";"1792";"1";"1";"5";
"67";"1792";"1";"1";"6";
"7";"1792";"1";"1";"7";
"8";"1792";"1";"1";"8";
"9";"1792";"1";"1";"9";
"68";"1792";"1";"1";"10";
"12";"1792";"1";"1";"11";
"69";"1792";"1";"1";"12";
"632";"1792";"1";"1";"13";
"14";"1792";"1";"1";"14";
"15";"1792";"1";"1";"15";
"16";"1792";"1";"1";"16";
"17";"1792";"1";"1";"17";
"18";"1792";"1";"1";"18";
"19";"1792";"1";"1";"19";
"20";"1792";"1";"1";"20";
"21";"1792";"1";"1";"21";
"22";"1792";"1";"1";"22";
"23";"1792";"1";"1";"23";
"24";"1792";"1";"1";"24";
"25";"1792";"1";"1";"25";
"71";"1792";"1";"1";"26";
"72";"1792";"1";"1";"27";
"73";"1792";"1";"1";"28";
"74";"1792";"1";"1";"29";
"658";"1792";"1";"1";"30";
"657";"1792";"1";"1";"31";
"657";"1792";"2";"2";"1";
"77";"1792";"2";"2";"2";
"78";"1792";"2";"2";"3";
"79";"1792";"2";"2";"4";
"80";"1792";"2";"2";"5";
"81";"1792";"2";"2";"6";
"82";"1792";"2";"2";"7";
"83";"1792";"2";"2";"8";
"40";"1792";"2";"2";"9";
"41";"1792";"2";"2";"10";
"42";"1792";"2";"2";"11";
"43";"1792";"2";"2";"12";
"44";"1792";"2";"2";"13";
"45";"1792";"2";"2";"14";
"46";"1792";"2";"2";"15";
"47";"1792";"2";"2";"16";
"48";"1792";"2";"2";"17";
"631";"1792";"2";"2";"18";
"84";"1792";"2";"2";"19";
"85";"1792";"2";"2";"20";
"86";"1792";"2";"2";"21";
"654";"1792";"2";"2";"22";
"53";"1792";"2";"2";"23";
"54";"1792";"2";"2";"24";
"55";"1792";"2";"2";"25";
"87";"1792";"2";"2";"26";
"407";"1792";"2";"2";"27";
"89";"1792";"2";"2";"28";
"90";"1792";"2";"2";"29";
"91";"1792";"2";"2";"30";
"1";"1792";"2";"2";"31";
"657";"1792";"6";"2";"1";
"77";"1792";"6";"2";"2";
"78";"1792";"6";"2";"3";
"79";"1792";"6";"2";"4";
"80";"1792";"6";"2";"5";
"105";"1792";"6";"2";"6";
"106";"1792";"6";"2";"7";
"107";"1792";"6";"2";"8";
"82";"1792";"6";"2";"9";
"83";"1792";"6";"2";"10";
"40";"1792";"6";"2";"11";
"41";"1792";"6";"2";"12";
"42";"1792";"6";"2";"13";
"43";"1792";"6";"2";"14";
"44";"1792";"6";"2";"15";
"45";"1792";"6";"2";"16";
"46";"1792";"6";"2";"17";
"47";"1792";"6";"2";"18";
"48";"1792";"6";"2";"19";
"631";"1792";"6";"2";"20";
"84";"1792";"6";"2";"21";
"85";"1792";"6";"2";"22";
"86";"1792";"6";"2";"23";
"654";"1792";"6";"2";"24";
"53";"1792";"6";"2";"25";
"54";"1792";"6";"2";"26";
"55";"1792";"6";"2";"27";
"87";"1792";"6";"2";"28";
"407";"1792";"6";"2";"29";
"89";"1792";"6";"2";"30";
"90";"1792";"6";"2";"31";
"91";"1792";"6";"2";"32";
"1";"1792";"6";"2";"33";
"1";"1793";"1";"1";"1";
"2";"1793";"1";"1";"2";
"64";"1793";"1";"1";"3";
"65";"1793";"1";"1";"4";
"66";"1793";"1";"1";"5";
"67";"1793";"1";"1";"6";
"7";"1793";"1";"1";"7";
"8";"1793";"1";"1";"8";
"9";"1793";"1";"1";"9";
"68";"1793";"1";"1";"10";
"12";"1793";"1";"1";"11";
"69";"1793";"1";"1";"12";
"632";"1793";"1";"1";"13";
"14";"1793";"1";"1";"14";
"15";"1793";"1";"1";"15";
"16";"1793";"1";"1";"16";
"17";"1793";"1";"1";"17";
"18";"1793";"1";"1";"18";
"19";"1793";"1";"1";"19";
"20";"1793";"1";"1";"20";
"21";"1793";"1";"1";"21";
"22";"1793";"1";"1";"22";
"23";"1793";"1";"1";"23";
"24";"1793";"1";"1";"24";
"25";"1793";"1";"1";"25";
"96";"1793";"1";"1";"26";
"97";"1793";"1";"1";"27";
"98";"1793";"1";"1";"28";
"99";"1793";"1";"1";"29";
"99";"1793";"2";"2";"1";
"104";"1793";"2";"2";"2";
"105";"1793";"2";"2";"3";
"106";"1793";"2";"2";"4";
"107";"1793";"2";"2";"5";
"82";"1793";"2";"2";"6";
"83";"1793";"2";"2";"7";
"40";"1793";"2";"2";"8";
"41";"1793";"2";"2";"9";
"42";"1793";"2";"2";"10";
"43";"1793";"2";"2";"11";
"44";"1793";"2";"2";"12";
"45";"1793";"2";"2";"13";
"46";"1793";"2";"2";"14";
"47";"1793";"2";"2";"15";
"48";"1793";"2";"2";"16";
"631";"1793";"2";"2";"17";
"84";"1793";"2";"2";"18";
"85";"1793";"2";"2";"19";
"86";"1793";"2";"2";"20";
"654";"1793";"2";"2";"21";
"53";"1793";"2";"2";"22";
"54";"1793";"2";"2";"23";
"55";"1793";"2";"2";"24";
"56";"1793";"2";"2";"25";
"57";"1793";"2";"2";"26";
"58";"1793";"2";"2";"27";
"59";"1793";"2";"2";"28";
"1";"1793";"2";"2";"29";
"1";"1793";"11";"1";"1";
"2";"1793";"11";"1";"2";
"64";"1793";"11";"1";"3";
"65";"1793";"11";"1";"4";
"66";"1793";"11";"1";"5";
"67";"1793";"11";"1";"6";
"7";"1793";"11";"1";"7";
"8";"1793";"11";"1";"8";
"9";"1793";"11";"1";"9";
"68";"1793";"11";"1";"10";
"12";"1793";"11";"1";"11";
"13";"1793";"11";"1";"12";
"14";"1793";"11";"1";"13";
"15";"1793";"11";"1";"14";
"16";"1793";"11";"1";"15";
"17";"1793";"11";"1";"16";
"18";"1793";"11";"1";"17";
"19";"1793";"11";"1";"18";
"20";"1793";"11";"1";"19";
"21";"1793";"11";"1";"20";
"22";"1793";"11";"1";"21";
"23";"1793";"11";"1";"22";
"24";"1793";"11";"1";"23";
"25";"1793";"11";"1";"24";
"96";"1793";"11";"1";"25";
"97";"1793";"11";"1";"26";
"98";"1793";"11";"1";"27";
"99";"1793";"11";"1";"28";
"99";"1793";"12";"2";"1";
"104";"1793";"12";"2";"2";
"105";"1793";"12";"2";"3";
"106";"1793";"12";"2";"4";
"107";"1793";"12";"2";"5";
"82";"1793";"12";"2";"6";
"83";"1793";"12";"2";"7";
"40";"1793";"12";"2";"8";
"41";"1793";"12";"2";"9";
"42";"1793";"12";"2";"10";
"43";"1793";"12";"2";"11";
"44";"1793";"12";"2";"12";
"45";"1793";"12";"2";"13";
"46";"1793";"12";"2";"14";
"47";"1793";"12";"2";"15";
"48";"1793";"12";"2";"16";
"49";"1793";"12";"2";"17";
"50";"1793";"12";"2";"18";
"86";"1793";"12";"2";"19";
"654";"1793";"12";"2";"20";
"53";"1793";"12";"2";"21";
"54";"1793";"12";"2";"22";
"55";"1793";"12";"2";"23";
"56";"1793";"12";"2";"24";
"57";"1793";"12";"2";"25";
