linia_id;linia_nom_curt;linia_desc;operador_id;
"1512";"12";"Estació Centre - Sant Quirze Parc";"35";
"1791";"1";"Can Deu - Estació Sud";"35";
"1792";"2";"Can Deu -  La Creu de Barberà";"35";
"1793";"3";"Can Deu - La Romànica";"35";
"1794";"4";"La Roureda- Can Roqueta - El Poblenou";"35";
"1795";"5";"Can Rull - Les Termes";"35";
"1797";"7";"Castellarnau - Can Puiggener";"35";
"1798";"8";"La Roureda - Estació Sud";"35";
"1800";"80";"La Plana del Pintor - Plaça de Picasso";"35";
"1801";"F1";"Can Deu - Estació Sud";"35";
"1802";"F2";"Sant Julià -  La Creu de Barberà";"35";
"1803";"F3";"Can Deu - La Romànica";"35";
"1804";"F4";"Can Rull - El Poblenou";"35";
"1805";"F5";"Castellarnau - Les Termes";"35";
"1810";"10";"Sant Julià - Plaça de Picasso";"35";
"1811";"11";"Castellarnau -  Sant Pau de Riu-sec";"35";
"1812";"23";"Sant Bernat - Taulí - Can Roqueta";"35";
"1814";"44";"Cifuentes - El Poblenou";"35";
"1815";"55";"Can Llong - Les Termes";"35";
