Districte;Sexe;Nacionalitat;Total;
"1";"D";"ALEMANYA";"17";
"1";"D";"ALGÈRIA";"3";
"1";"D";"ANDORRA";"4";
"1";"D";"ARGENTINA";"71";
"1";"D";"ARMÈNIA";"6";
"1";"D";"AUSTRÀLIA";"2";
"1";"D";"ÀUSTRIA";"1";
"1";"D";"BANGLA DESH";"1";
"1";"D";"BÈLGICA";"4";
"1";"D";"BENÍN";"1";
"1";"D";"BIELORÚSSIA";"3";
"1";"D";"BOLÍVIA";"227";
"1";"D";"BÒSNIA I HERCEGOVINA";"1";
"1";"D";"BRASIL";"60";
"1";"D";"BULGÀRIA";"13";
"1";"D";"BURKINA FASO";"2";
"1";"D";"CAMERUN";"3";
"1";"D";"COLÒMBIA";"82";
"1";"D";"COREA";"1";
"1";"D";"COSTA RICA";"2";
"1";"D";"CROÀCIA";"1";
"1";"D";"CUBA";"29";
"1";"D";"DINAMARCA";"2";
"1";"D";"EL SALVADOR";"3";
"1";"D";"EQUADOR";"138";
"1";"D";"ESLOVÀQUIA";"1";
"1";"D";"ESPANYA";"25628";
"1";"D";"ESTATS UNITS D'AMÈRICA";"11";
"1";"D";"ESTÒNIA";"1";
"1";"D";"FILIPINES";"5";
"1";"D";"FINLÀNDIA";"4";
"1";"D";"FRANÇA";"36";
"1";"D";"GÀMBIA";"25";
"1";"D";"GEÒRGIA";"9";
"1";"D";"GHANA";"6";
"1";"D";"GRÈCIA";"3";
"1";"D";"GUINEA";"9";
"1";"D";"GUINEA EQUATORIAL";"2";
"1";"D";"HONDURES";"54";
"1";"D";"HONGRIA";"2";
"1";"D";"ÍNDIA";"3";
"1";"D";"IRAN";"4";
"1";"D";"IRAQ";"3";
"1";"D";"IRLANDA";"3";
"1";"D";"ITÀLIA";"59";
"1";"D";"JAPÓ";"4";
"1";"D";"LITUÀNIA";"2";
"1";"D";"MALI";"3";
"1";"D";"MARROC";"157";
"1";"D";"MAURITÀNIA";"1";
"1";"D";"MÈXIC";"29";
"1";"D";"MOLDÀVIA";"5";
"1";"D";"NICARAGUA";"5";
"1";"D";"NIGÈRIA";"6";
"1";"D";"PAÏSOS BAIXOS";"3";
"1";"D";"PAKISTAN";"5";
"1";"D";"PANAMÀ";"2";
"1";"D";"PARAGUAI";"167";
"1";"D";"PERÚ";"66";
"1";"D";"POLÒNIA";"17";
"1";"D";"PORTUGAL";"27";
"1";"D";"REGNE UNIT";"13";
"1";"D";"REPÚBLICA DOMINICANA";"49";
"1";"D";"REPÚBLICA TXECA";"2";
"1";"D";"ROMANIA";"157";
"1";"D";"RÚSSIA";"61";
"1";"D";"SENEGAL";"9";
"1";"D";"SÈRBIA";"1";
"1";"D";"SIERRA LEONE";"1";
"1";"D";"SÍRIA";"1";
"1";"D";"SUÈCIA";"4";
"1";"D";"SUÏSSA";"1";
"1";"D";"TAILÀNDIA";"2";
"1";"D";"TAIWAN";"1";
"1";"D";"TRINITAT I TOBAGO";"1";
"1";"D";"TURQUIA";"2";
