Districte;Sexe;Nivell_Estudis;Total;
"3";"H";"Títols d'estudis superiors no universitaris";"1";
"4";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"11";
"4";"D";"Arquitecte, Enginyer Tècnic";"49";
"4";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"3851";
"4";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1897";
"4";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"1020";
"4";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"114";
"4";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"859";
"4";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"1200";
"4";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"1066";
"4";"D";"No sap llegir ni escriure";"397";
"4";"D";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"4087";
"4";"D";"Sense estudis";"5036";
"4";"D";"Títols d'estudis superiors no universitaris";"4";
"4";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"5";
"4";"H";"Arquitecte, Enginyer Tècnic";"205";
"4";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"4339";
"4";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"1666";
"4";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"432";
"4";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"105";
"4";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"994";
"4";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"1322";
"4";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"918";
"4";"H";"No sap llegir ni escriure";"128";
"4";"H";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"4011";
"4";"H";"Sense estudis";"4737";
"4";"H";"Títols d'estudis superiors no universitaris";"4";
