IdNp;IdNom;Numero;Bis;Districte;Seccio;IdSector;CoordenadaX;CoordenadaY;
"8543";"992";"0102";" ";"4";"429";"56";"422375.903545000010";"4601662.315398000200";
"8547";"1092";"0007";" ";"4";"429";"56";"422345.561814000020";"4601583.389278000200";
"8550";"1092";"0011";" ";"4";"429";"56";"422349.976359999970";"4601576.305089999900";
"8554";"1558";"0038";" ";"4";"428";"56";"422737.263717000020";"4600944.277511999900";
"8557";"1332";"0021";" ";"4";"428";"56";"422756.791149000000";"4601028.384447000000";
"8558";"1332";"0017";" ";"4";"428";"56";"422772.166093999990";"4601015.714619999800";
"8561";"1332";"0005";" ";"4";"428";"56";"422821.321288999980";"4600975.211756000300";
"8565";"1558";"0034";" ";"4";"428";"56";"422751.801999000020";"4600946.250918000000";
"8569";"1332";"0012";" ";"4";"428";"56";"422816.708864999990";"4600992.006353000200";
"8577";"825";"0069";" ";"4";"428";"56";"422775.347685999990";"4601085.947618000200";
"8580";"1210";"0027";" ";"4";"428";"56";"422840.485816999980";"4601050.597056999800";
"8584";"1210";"0028";" ";"4";"428";"56";"422852.469457000030";"4601053.882109999700";
"8592";"1111";"0045";" ";"4";"428";"56";"422874.492732000010";"4601115.364415000200";
"8599";"1111";"0036";" ";"4";"428";"56";"422834.945253000010";"4601155.938037999900";
"8607";"532";"0019";" ";"4";"428";"56";"422878.404408000000";"4601131.586244000100";
"8610";"825";"0041";" ";"4";"428";"56";"422849.734348999980";"4601235.887974999800";
"8614";"825";"0033";" ";"4";"428";"56";"422855.062442000020";"4601271.836860000200";
"8621";"1558";"0035";" ";"4";"428";"56";"422821.052688999970";"4600945.459522999800";
"8622";"1558";"0031";" ";"4";"428";"56";"422839.131881000010";"4600947.840556000400";
"8625";"1558";"0019";" ";"4";"428";"56";"422897.397944999980";"4600955.518313000000";
"8626";"992";"0006";" ";"4";"429";"56";"422791.305472999990";"4601242.449439999600";
"8629";"825";"0038";" ";"4";"429";"56";"422831.671807000010";"4601266.265244999900";
"8633";"1332";"0041";" ";"4";"429";"56";"422668.779352999990";"4601117.521487000400";
"8640";"825";"0052";" ";"4";"429";"56";"422737.846933000020";"4601091.094487999600";
"8641";"1332";"0031";" ";"4";"429";"56";"422713.105579000020";"4601083.187622999800";
"8648";"1092";"0067";" ";"4";"429";"56";"422439.590494000000";"4600953.947328999600";
"8652";"1000";"0035";" ";"4";"429";"56";"422425.131213999990";"4601226.389162999600";
"8655";"1000";"0023";" ";"4";"429";"56";"422494.075770000000";"4601111.354933000200";
"8656";"1000";"0019";" ";"4";"429";"56";"422505.261639999980";"4601062.338209999700";
"8659";"1000";"0007";" ";"4";"429";"56";"422555.425164000010";"4600952.581859000000";
"8663";"1092";"0068";" ";"4";"429";"56";"422435.487566999970";"4600917.698570000000";
"8667";"1030";"0004";" ";"4";"429";"56";"422845.553636999980";"4601557.606158000400";
"8670";"992";"0024";" ";"4";"429";"56";"422748.716430999980";"4601372.543917000300";
"8671";"992";"0030";" ";"4";"429";"56";"422725.016334999990";"4601414.243525000300";
"8674";"992";"0048";" ";"4";"429";"56";"422646.203917999980";"4601498.018415999600";
"8678";"992";"0072";" ";"4";"429";"56";"422530.439925000010";"4601580.071100000300";
"8682";"825";"0012";" ";"4";"429";"56";"422800.282012999990";"4601473.116926000500";
"8686";"825";"0006";" ";"4";"429";"56";"422779.336241999990";"4601663.014108000300";
"8689";"1023";"0027";" ";"4";"429";"56";"422559.405705999990";"4601418.593054999600";
"8693";"1023";"0043";" ";"4";"429";"56";"422483.619271999980";"4601484.688609000300";
"8697";"1023";"0048";" ";"4";"429";"56";"422471.042732000000";"4601509.091029999800";
"8700";"1023";"0040";" ";"4";"429";"56";"422505.703954999980";"4601478.847574000200";
"8701";"992";"0065";" ";"4";"429";"56";"422542.549848000000";"4601554.439574000400";
"8704";"992";"0071";" ";"4";"429";"56";"422501.254093000030";"4601582.671108000000";
"8708";"992";"0083";" ";"4";"429";"56";"422436.313155999990";"4601621.708898999700";
"8712";"1092";"0027";" ";"4";"429";"56";"422410.934224999980";"4601417.669297999700";
"8715";"869";"0054";" ";"4";"429";"56";"422520.599598000000";"4601364.596342000200";
"8719";"904";"0008";" ";"4";"429";"56";"422567.739722999980";"4601341.872999999700";
"8723";"1023";"0010";" ";"4";"429";"56";"422658.410978000030";"4601311.728126999900";
"8731";"992";"0059";" ";"4";"429";"56";"422596.280793000010";"4601517.928988000400";
"8734";"992";"0029";" ";"4";"429";"56";"422727.000990999980";"4601384.607169999700";
"8735";"1688";"0018";" ";"4";"419";"55";"423366.218372999980";"4600237.691786999800";
"8738";"457";"0039";" ";"4";"419";"55";"423399.031175000010";"4600224.560972999800";
"8742";"1123";"0009";" ";"4";"419";"55";"423397.526598999980";"4600190.008341000400";
"8745";"542";"0430";" ";"4";"419";"55";"423370.506866000010";"4600180.287105999900";
"8746";"1688";"0002";" ";"4";"419";"55";"423342.584975000010";"4600196.820148999800";
"8749";"542";"0440";" ";"4";"419";"55";"423345.721962000010";"4600189.341981999600";
"8750";"1688";"0008";" ";"4";"419";"55";"423347.637005000030";"4600208.548061000200";
