IdSector;NomSector;
"41";"SECTOR SANT JULIÀ";
"42";"SECTOR NORD";
"43";"SECTOR CA N'ORIAC";
"44";"SECTOR CAN PUIGGENER";
"45";"SECTOR TOGORES";
"46";"SECTOR EST";
"47";"SECTOR LA SERRA";
"48";"SECTOR CENTRE";
"49";"SECTOR SANT OLEGUER";
"50";"SECTOR CREU DE BARBERÀ";
"51";"SECTOR SUD";
"52";"SECTOR GRÀCIA";
"53";"SECTOR CAN FEU";
"54";"SECTOR OEST";
"55";"SECTOR CAN RULL";
"56";"SECTOR BERARDO";
"57";"SECTOR CONCÒRDIA";
"58";"SECTOR CREU ALTA";
"59";"SECTOR SANT PAU";
