Districte;Sexe;Nivell_Estudis;Total;
"1";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"41";
"1";"D";"Arquitecte, Enginyer Tècnic";"99";
"1";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"4377";
"1";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"3637";
"1";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"2442";
"1";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"639";
"1";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"1225";
"1";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"1439";
"1";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"3637";
"1";"D";"No sap llegir ni escriure";"131";
"1";"D";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"4692";
"1";"D";"Sense estudis";"5385";
"1";"D";"Títols d'estudis superiors no universitaris";"18";
"1";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"19";
"1";"H";"Arquitecte, Enginyer Tècnic";"455";
"1";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"4289";
"1";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"3615";
"1";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"1413";
"1";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"485";
"1";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"1556";
"1";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"1523";
"1";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"3320";
"1";"H";"No sap llegir ni escriure";"52";
"1";"H";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"3133";
"1";"H";"Sense estudis";"5179";
"1";"H";"Títols d'estudis superiors no universitaris";"11";
"2";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"14";
"2";"D";"Arquitecte, Enginyer Tècnic";"25";
