IdNp;IdNom;Numero;Bis;Districte;Seccio;IdSector;CoordenadaX;CoordenadaY;
"8543";"992";"0102";" ";"4";"429";"56";"422469.880999999990";"4601866.572999999900";
"8547";"1092";"0007";" ";"4";"429";"56";"422439.539914999970";"4601787.646772000000";
"8550";"1092";"0011";" ";"4";"429";"56";"422443.954508000000";"4601780.562629000300";
"8554";"1558";"0038";" ";"4";"428";"56";"422831.246059999980";"4601148.538968999900";
"8557";"1332";"0021";" ";"4";"428";"56";"422850.772822999980";"4601232.645921999600";
"8558";"1332";"0017";" ";"4";"428";"56";"422866.147841000000";"4601219.976231000400";
"8561";"1332";"0005";" ";"4";"428";"56";"422915.303267000010";"4601179.473802999600";
"8565";"1558";"0034";" ";"4";"428";"56";"422845.784303999970";"4601150.512481999600";
"8569";"1332";"0012";" ";"4";"428";"56";"422910.690722999980";"4601196.268338999700";
"8577";"825";"0069";" ";"4";"428";"56";"422869.328894999980";"4601290.209144000000";
"8580";"1210";"0027";" ";"4";"428";"56";"422934.467193000020";"4601254.859132000200";
"8584";"1210";"0028";" ";"4";"428";"56";"422946.450790000030";"4601258.144271000300";
"8592";"1111";"0045";" ";"4";"428";"56";"422968.473563999990";"4601319.626648000400";
"8599";"1111";"0036";" ";"4";"428";"56";"422928.925839000030";"4601360.199908000400";
"8607";"532";"0019";" ";"4";"428";"56";"422972.385110999980";"4601335.848481000400";
"8610";"825";"0041";" ";"4";"428";"56";"422943.714305000030";"4601440.149833000300";
"8614";"825";"0033";" ";"4";"428";"56";"422949.042116999980";"4601476.098702999800";
"8621";"1558";"0035";" ";"4";"428";"56";"422915.034892999970";"4601149.721614000400";
"8622";"1558";"0031";" ";"4";"428";"56";"422933.114039000010";"4601152.102780000300";
"8625";"1558";"0019";" ";"4";"428";"56";"422991.379954000000";"4601159.780966999900";
"8626";"992";"0006";" ";"4";"429";"56";"422885.285470000000";"4601446.710845000100";
"8629";"825";"0038";" ";"4";"429";"56";"422925.651560999980";"4601470.526918999900";
"8633";"1332";"0041";" ";"4";"429";"56";"422762.760488000000";"4601321.782155999900";
"8640";"825";"0052";" ";"4";"429";"56";"422831.828160999980";"4601295.355721999900";
"8641";"1332";"0031";" ";"4";"429";"56";"422807.086904999970";"4601287.448680999700";
"8648";"1092";"0067";" ";"4";"429";"56";"422533.573225000000";"4601158.206512000400";
"8652";"1000";"0035";" ";"4";"429";"56";"422519.111900000020";"4601430.647814000000";
"8655";"1000";"0023";" ";"4";"429";"56";"422588.057221999970";"4601315.614285999900";
"8656";"1000";"0019";" ";"4";"429";"56";"422599.243446999990";"4601266.597724000000";
"8659";"1000";"0007";" ";"4";"429";"56";"422649.407726000000";"4601156.841923000300";
"8663";"1092";"0068";" ";"4";"429";"56";"422529.470579000020";"4601121.957778000300";
"8667";"1030";"0004";" ";"4";"429";"56";"422939.531158000000";"4601761.867486000100";
"8670";"992";"0024";" ";"4";"429";"56";"422842.695506999970";"4601576.804797000300";
"8671";"992";"0030";" ";"4";"429";"56";"422818.995131000000";"4601618.504160000000";
"8674";"992";"0048";" ";"4";"429";"56";"422740.182200999990";"4601702.278323999600";
"8678";"992";"0072";" ";"4";"429";"56";"422624.417764000010";"4601784.330001999600";
"8682";"825";"0012";" ";"4";"429";"56";"422894.260246000020";"4601677.378041000100";
"8686";"825";"0006";" ";"4";"429";"56";"422873.313066000000";"4601867.274770000000";
"8689";"1023";"0027";" ";"4";"429";"56";"422653.384726000020";"4601622.852427000200";
"8693";"1023";"0043";" ";"4";"429";"56";"422577.597908000000";"4601688.947304000100";
"8697";"1023";"0048";" ";"4";"429";"56";"422565.021201999970";"4601713.349591000000";
"8700";"1023";"0040";" ";"4";"429";"56";"422599.682601000010";"4601683.106444999600";
"8701";"992";"0065";" ";"4";"429";"56";"422636.527863000000";"4601758.698607999800";
"8704";"992";"0071";" ";"4";"429";"56";"422595.231957999990";"4601786.929785000200";
"8708";"992";"0083";" ";"4";"429";"56";"422530.290824999970";"4601825.967021999900";
"8712";"1092";"0027";" ";"4";"429";"56";"422504.913482000000";"4601621.927544999900";
"8715";"869";"0054";" ";"4";"429";"56";"422614.579088000000";"4601568.855503000300";
"8719";"904";"0008";" ";"4";"429";"56";"422661.719311999970";"4601546.132554000200";
"8723";"1023";"0010";" ";"4";"429";"56";"422752.390655000000";"4601515.988416000300";
"8731";"992";"0059";" ";"4";"429";"56";"422690.259001999980";"4601722.188485999600";
"8734";"992";"0029";" ";"4";"429";"56";"422820.980008999990";"4601588.867866000200";
"8735";"1688";"0018";" ";"4";"419";"55";"423460.205101999980";"4600441.959111000400";
"8738";"457";"0039";" ";"4";"419";"55";"423493.017953000030";"4600428.828567000100";
"8742";"1123";"0009";" ";"4";"419";"55";"423491.513641000030";"4600394.275976999700";
"8745";"542";"0430";" ";"4";"419";"55";"423464.494024000010";"4600384.554552000000";
"8746";"1688";"0002";" ";"4";"419";"55";"423436.572051000020";"4600401.087357000400";
"8749";"542";"0440";" ";"4";"419";"55";"423439.709090000020";"4600393.609225999600";
"8750";"1688";"0008";" ";"4";"419";"55";"423441.623984000010";"4600412.815289000000";
"8753";"1688";"0014";" ";"4";"419";"55";"423454.218837999970";"4600432.255521999700";
"8757";"1310";"0004";" ";"4";"419";"55";"423427.644900000010";"4600459.062040999500";
"8761";"1688";"0001";" ";"4";"419";"55";"423423.083587999980";"4600411.238490999700";
"8764";"542";"0446";" ";"4";"419";"55";"423402.488851999980";"4600407.584599999700";
"8765";"542";"0450";" ";"4";"419";"55";"423378.935304999990";"4600428.232417000500";
"8768";"1688";"0011";" ";"4";"419";"55";"423475.506256000020";"4600494.402301000400";
"8772";"1310";"0005";" ";"4";"419";"55";"423418.808155999980";"4600476.192320999700";
"8776";"457";"0044";" ";"4";"419";"55";"423490.130103999980";"4600445.073473000000";
"8779";"1688";"0020";" ";"4";"419";"55";"423469.740121999990";"4600457.412757000000";
"8780";"457";"0050";" ";"4";"419";"55";"423470.341965000030";"4600455.732324000400";
"8783";"1688";"0026";" ";"4";"419";"55";"423479.748726999970";"4600473.231181999700";
"8787";"1548";"0009";" ";"5";"513";"53";"423496.653937999970";"4600305.165190000100";
"8791";"1548";"0017";" ";"5";"513";"53";"423480.761363999980";"4600296.264662999700";
"8796";"1548";"0029";" ";"5";"513";"53";"423439.912308000030";"4600273.570860000300";
"8799";"1548";"0035";" ";"5";"513";"53";"423420.888591000000";"4600262.936057999700";
"8800";"1548";"0037";" ";"5";"513";"53";"423416.510658000010";"4600260.490993999900";
"8803";"1548";"0002";" ";"5";"513";"53";"423490.706864000010";"4600316.792096000200";
"8807";"1548";"0010";" ";"5";"513";"53";"423470.435892999990";"4600305.350873000000";
"8811";"1548";"0018";" ";"5";"513";"53";"423453.128624000000";"4600295.584735999800";
"8814";"1548";"0024";" ";"5";"513";"53";"423440.662743999970";"4600288.587415999700";
"8815";"1548";"0026";" ";"5";"513";"53";"423437.033500000020";"4600286.423169000100";
"8818";"1548";"0032";" ";"5";"513";"53";"423418.978830999990";"4600276.292235000100";
"8822";"1548";"0040";" ";"5";"513";"53";"423398.765009000020";"4600264.802516999700";
"8826";"878";"0006";" ";"5";"513";"53";"423169.469109000000";"4600420.475917000300";
"8829";"892";"0014";" ";"5";"513";"53";"423136.450576000030";"4600411.076262000000";
"8833";"878";"0007";" ";"5";"513";"53";"423174.288521000010";"4600408.112347999600";
"8837";"892";"0002";" ";"5";"513";"53";"423156.165805000000";"4600381.071930999900";
"8841";"878";"0042";" ";"5";"513";"53";"423070.803704999970";"4600355.499010999700";
"8844";"878";"0036";" ";"5";"513";"53";"423086.946088999980";"4600366.160402000000";
"8845";"878";"0034";" ";"5";"513";"53";"423090.965305999970";"4600368.812869999600";
"8848";"878";"0028";" ";"5";"513";"53";"423103.661197000010";"4600377.190334999900";
