PRESSUPOST 2016 - DESPESA;;;;;

Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Descripció;Pressupost Inicial
130;9202A;12101;130/9202A/12101;Complement  específic;100.158,30
130;9202A;12103;130/9202A/12103;Altres complements;15.159,46
130;9202A;15000;130/9202A/15000;Productivitat;29.427,86
130;9202A;15200;130/9202A/15200;Altres incentius;5.000,00
130;9202A;16000;130/9202A/16000;Seguretat social;49.798,28
130;9202A;22001;130/9202A/22001;Premsa, revistes, llibres i altres publicacions;2.030,00
160;1300A;12000;160/1300A/12000;Salaris del Grup A1;18.586,58
160;1300A;12003;160/1300A/12003;Salaris del Grup C1;7.755,44
160;1300A;12004;160/1300A/12004;Salaris del Grup C2;82.932,11
160;1300A;12006;160/1300A/12006;Triennis;13.465,75
160;1300A;12100;160/1300A/12100;Complement de destí;60.645,66
160;1300A;12101;160/1300A/12101;Complement  específic;135.065,32
160;1300A;12103;160/1300A/12103;Altres complements;6.105,88
160;1300A;15000;160/1300A/15000;Productivitat;942,48
160;1300A;15200;160/1300A/15200;Altres incentius;11.800,00
160;1300A;16000;160/1300A/16000;Seguretat social;83.804,36
160;1300A;20302;160/1300A/20302;Arrendament sistema de comunicació;48.316,00
160;1300A;20400;160/1300A/20400;Arrendament grues i vehicles policials;64.509,72
160;1300A;21400;160/1300A/21400;Manteniment, neteja i adaptació vehicles policials;5.000,00
160;1300A;21900;160/1300A/21900;Material per manteniment i conservació equips i instal·lacions;4.000,00
160;1300A;22001;160/1300A/22001;Premsa, revistes, llibres i altres publicacions;272,01
160;1300A;22100;160/1300A/22100;Energia elèctrica;104.220,49
160;1300A;22101;160/1300A/22101;Aigua;1.375,42
160;1300A;22102;160/1300A/22102;Gas   ;34.266,24
160;1300A;22104;160/1300A/22104;Vestuari;97.500,00
160;1300A;22199;160/1300A/22199;Material no inventariable per la Policia;71.232,00
160;1300A;22200;160/1300A/22200;Serveis de Telecomunicacions;45.473,46
160;1300A;22201;160/1300A/22201;Comunicacions postals;4.000,00
160;1300A;22604;160/1300A/22604;Defensa i assistència jurídica Policia Municipal;28.711,33
160;1300A;22699;160/1300A/22699;Despeses diverses;15.000,00
