PRESSUPOST 2016 - DESPESA;;;;;

Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Descripció;Pressupost Inicial
205;9205D;12004;205/9205D/12004;Salaris del Grup C2;8.462,46
205;9205D;12006;205/9205D/12006;Triennis;5.136,78
205;9205D;12100;205/9205D/12100;Complement de destí;22.841,56
205;9205D;12101;205/9205D/12101;Complement  específic;43.959,86
205;9205D;12103;205/9205D/12103;Altres complements;1.473,12
205;9205D;15200;205/9205D/15200;Altres incentius;3.785,70
205;9205D;16000;205/9205D/16000;Seguretat social;31.622,14
205;9205D;20202;205/9205D/20202;Altres lloguers d’edificis departaments;4.000,00
205;9205D;22607;205/9205D/22607;Oposicions i proves selectives;10.000,00
205;9205D;22799;205/9205D/22799;Selecció de personal;10,00
206;9201A;12001;206/9201A/12001;Salaris del Grup A2;26.071,20
206;9201A;12003;206/9201A/12003;Salaris del Grup C1;9.983,82
206;9201A;12004;206/9201A/12004;Salaris del Grup C2;8.462,46
206;9201A;12006;206/9201A/12006;Triennis;9.288,32
206;9201A;12100;206/9201A/12100;Complement de destí;25.665,64
206;9201A;12101;206/9201A/12101;Complement  específic;44.443,14
206;9201A;12103;206/9201A/12103;Altres complements;1.490,52
206;9201A;15200;206/9201A/15200;Altres incentius;4.000,00
206;9201A;16000;206/9201A/16000;Seguretat social;33.231,70
206;9201A;21202;206/9201A/21202;Reparació i manteniment d'edificis Departaments;5.132,72
206;9201A;21301;206/9201A/21301;Adaptació d'instal·lacions i maquinària;2.000,00
206;9201A;21900;206/9201A/21900;Altre immobilitzat material;10,00
206;9201A;22199;206/9201A/22199;Altres subministraments;15.000,00
206;9201A;22706;206/9201A/22706;Estudis i treballs tècnics;8.000,00
206;9201A;22799;206/9201A/22799;Altres treballs realitzats per altres empreses i prof.;10,00
206;9201A;62200;206/9201A/62200;Inversió nova en edifici;68.436,10
207;9320A;12000;207/9320A/12000;Salaris del Grup A1;51.884,77
207;9320A;12001;207/9320A/12001;Salaris del Grup A2;39.106,80
207;9320A;12003;207/9320A/12003;Salaris del Grup C1;54.911,01
207;9320A;12004;207/9320A/12004;Salaris del Grup C2;67.699,68
207;9320A;12006;207/9320A/12006;Triennis;45.587,88
207;9320A;12100;207/9320A/12100;Complement de destí;120.325,80
207;9320A;12101;207/9320A/12101;Complement  específic;230.647,62
207;9320A;12103;207/9320A/12103;Altres complements;30.265,44
207;9320A;15000;207/9320A/15000;Productivitat;1.244,60
207;9320A;15200;207/9320A/15200;Altres incentius;19.000,00
207;9320A;16000;207/9320A/16000;Seguretat social;162.294,79
207;9320B;21200;207/9320B/21200;Manteniment d’edificis i altres construccions;977,20
207;9320B;21300;207/9320B/21300;Manteniment de maquinària, instal·lacions i utillatge;2.107,37
207;9320B;62300;207/9320B/62300;Inversió nova en maquinària, instal. i utillatge;6.000,00
207;9320C;12000;207/9320C/12000;Salaris del Grup A1;14.824,22
207;9320C;12004;207/9320C/12004;Salaris del Grup C2;33.849,84
207;9320C;12005;207/9320C/12005;Salaris del Grup E;7.755,44
207;9320C;12006;207/9320C/12006;Triennis;7.672,62
207;9320C;12100;207/9320C/12100;Complement de destí;29.489,04
207;9320C;12101;207/9320C/12101;Complement  específic;60.348,82
207;9320C;12103;207/9320C/12103;Altres complements;6,96
207;9320C;15200;207/9320C/15200;Altres incentius;6.000,00
207;9320C;16000;207/9320C/16000;Seguretat social;43.872,46
208;9203A;12000;208/9203A/12000;Salaris del Grup A1;71.156,26
208;9203A;12004;208/9203A/12004;Salaris del Grup C2;16.924,92
208;9203A;12006;208/9203A/12006;Triennis;20.095,42
208;9203A;12100;208/9203A/12100;Complement de destí;54.066,60
208;9203A;12101;208/9203A/12101;Complement  específic;92.402,10
208;9203A;12103;208/9203A/12103;Altres complements;26.965,70
208;9203A;15000;208/9203A/15000;Productivitat;458,08
208;9203A;15200;208/9203A/15200;Altres incentius;6.800,00
208;9203A;16000;208/9203A/16000;Seguretat social;64.384,61
208;9203A;22001;208/9203A/22001;Premsa, revistes, llibres i altres publicacions;6.608,53
208;9203A;22604;208/9203A/22604;Jurídics, contenciosos;112.408,38
208;9203A;22699;208/9203A/22699;Altres despeses diverses;10,00
209;4331A;12000;209/4331A/12000;Salaris del Grup A1;44.472,66
209;4331A;12001;209/4331A/12001;Salaris del Grup A2;58.660,20
209;4331A;12004;209/4331A/12004;Salaris del Grup C2;49.082,27
209;4331A;12006;209/4331A/12006;Triennis;16.180,71
209;4331A;12100;209/4331A/12100;Complement de destí;77.997,64
209;4331A;12101;209/4331A/12101;Complement  específic;142.949,10
209;4331A;12103;209/4331A/12103;Altres complements;9.071,18
209;4331A;13000;209/4331A/13000;Retribucions bàsiques;13.523,72
209;4331A;13002;209/4331A/13002;Altres remuneracions;18.481,56
209;4331A;15200;209/4331A/15200;Altres incentius;13.800,00
209;4331A;15300;209/4331A/15300;Complement de dedicació especial;2.730,20
209;4331A;16000;209/4331A/16000;Seguretat social;123.350,04
209;4331A;21302;209/4331A/21302;Manteniment d'instal·lacions i maquinària Departaments;300,00
209;4331A;22199;209/4331A/22199;Altres subministraments;10,00
209;4331A;22699;209/4331A/22699;Altres despeses diverses;1.170,00
209;4331A;22706;209/4331A/22706;Estudis i treballs tècnics;10,00
209;4331A;22799;209/4331A/22799;Altres treballs realitzats per altres empreses i prof.;10,00
209;4331A;62302;209/4331A/62302;Inversió nova en maquinària, instal. i utillatge;7.570,00
210;9206A;12000;210/9206A/12000;Salaris del Grup A1;29.648,44
210;9206A;12001;210/9206A/12001;Salaris del Grup A2;32.589,00
210;9206A;12004;210/9206A/12004;Salaris del Grup C2;8.462,46
210;9206A;12006;210/9206A/12006;Triennis;19.678,94
210;9206A;12100;210/9206A/12100;Complement de destí;46.516,26
210;9206A;12101;210/9206A/12101;Complement  específic;79.210,74
210;9206A;12103;210/9206A/12103;Altres complements;12.484,32
210;9206A;15200;210/9206A/15200;Altres incentius;5.000,00
210;9206A;16000;210/9206A/16000;Seguretat social;51.229,09
210;9206A;22706;210/9206A/22706;Estudis i treballs tècnics;20.000,00
211;9260A;12001;211/9260A/12001;Salaris del Grup A2;13.035,60
211;9260A;12006;211/9260A/12006;Triennis;945,32
211;9260A;12100;211/9260A/12100;Complement de destí;5.582,36
211;9260A;12101;211/9260A/12101;Complement  específic;9.588,32
211;9260A;15200;211/9260A/15200;Altres incentius;1.000,00
211;9260A;16000;211/9260A/16000;Seguretat social;7.838,20
211;9260A;21600;211/9260A/21600;Equips per a processos d'informació;277.556,00
211;9260A;21900;211/9260A/21900;Altre immobilitzat material;500,00
211;9260A;22002;211/9260A/22002;Material informàtic no inventariable;1.500,00
211;9260A;22200;211/9260A/22200;Serveis de Telecomunicacions;95.080,37
211;9260A;22799;211/9260A/22799;Altres treballs realitzats per altres empreses i prof.;10.000,00
211;9260A;41000;211/9260A/41000;A Organismes Autònoms de l'Entitat Local;1.391.165,12
211;9260A;62600;211/9260A/62600;Equips per a processos d'informació;156.723,84
211;9260A;64000;211/9260A/64000;Inversions de caràcter immaterial;10.000,00
211;9260A;64100;211/9260A/64100;Aplicacions informàtiques;287.500,00
212;3340C;22699;212/3340C/22699;Altres despeses diverses;20.000,00
212;4920A;22199;212/4920A/22199;Altres subministraments;2.000,00
212;4920A;22699;212/4920A/22699;Altres despeses diverses;7.508,33
212;4920A;22702;212/4920A/22702;Valoracions i peritatges;3.333,34
212;4920A;22706;212/4920A/22706;Estudis i treballs tècnics;1.000,00
212;4920A;22799;212/4920A/22799;Altres treballs realitzats per altres empreses i prof.;1.000,00
212;4920A;23020;212/4920A/23020;Dietes personal no directiu;2.700,00
212;4920A;23120;212/4920A/23120;Del personal no directiu;2.640,00
212;4920B;12004;212/4920B/12004;Salaris del Grup C2;6.769,97
212;4920B;12006;212/4920B/12006;Triennis;629,28
212;4920B;12100;212/4920B/12100;Complement de destí;3.450,44
212;4920B;12101;212/4920B/12101;Complement  específic;6.503,56
212;4920B;15200;212/4920B/15200;Altres incentius;800,00
212;4920B;16000;212/4920B/16000;Seguretat social;4.766,62
212;9208A;12001;212/9208A/12001;Salaris del Grup A2;13.035,60
212;9208A;12003;212/9208A/12003;Salaris del Grup C1;9.983,82
212;9208A;12006;212/9208A/12006;Triennis;729,76
212;9208A;12100;212/9208A/12100;Complement de destí;10.212,44
212;9208A;12101;212/9208A/12101;Complement  específic;18.047,96
212;9208A;12103;212/9208A/12103;Altres complements;1.861,72
212;9208A;15200;212/9208A/15200;Altres incentius;2.000,00
212;9208A;16000;212/9208A/16000;Seguretat social;16.170,92
212;9208A;22001;212/9208A/22001;Premsa, revistes, llibres i altres publicacions;509,01
212;9208A;22603;212/9208A/22603;Publicació en Diaris Oficials;55.550,50
212;9208A;22699;212/9208A/22699;Altres despeses diverses;7.000,00
212;9208A;22706;212/9208A/22706;Estudis i treballs tècnics;19.000,00
212;9208A;22799;212/9208A/22799;Altres treballs realitzats per altres empreses i prof.;6.000,00
212;9208A;48300;212/9208A/48300;Subvencions i aportacions institucionals;2.000,00
213;4910A;44900;213/4910A/44900;Altres subv. a ens públics i societats mercantils locals;665.040,00
300;9200B;12000;300/9200B/12000;Salaris del Grup A1;29.648,44
300;9200B;12001;300/9200B/12001;Salaris del Grup A2;13.035,60
300;9200B;12004;300/9200B/12004;Salaris del Grup C2;8.462,46
300;9200B;12006;300/9200B/12006;Triennis;8.696,56
300;9200B;12100;300/9200B/12100;Complement de destí;28.603,96
300;9200B;12101;300/9200B/12101;Complement  específic;66.094,98
300;9200B;12103;300/9200B/12103;Altres complements;9.424,87
300;9200B;15200;300/9200B/15200;Altres incentius;4.000,00
300;9200B;16000;300/9200B/16000;Seguretat social;36.664,89
300;9200B;22000;300/9200B/22000;Material d’oficina no inventariable;102,75
300;9200B;22001;300/9200B/22001;Premsa, revistes, llibres i altres publicacions;2.657,78
300;9200B;22199;300/9200B/22199;Altres subministraments;50,00
300;9200B;22601;300/9200B/22601;Atencions protocol·làries i representatives;4.500,00
300;9200B;22602;300/9200B/22602;Publicitat;1.250,00
300;9200B;2260200;300/9200B/2260200;Difusió d'activitats;48.400,00
300;9200B;2260202;300/9200B/2260202;Publicacions;7.000,00
300;9200B;22699;300/9200B/22699;Altres despeses diverses;500,00
300;9200B;22706;300/9200B/22706;Estudis i treballs tècnics;200,00
300;9200B;22799;300/9200B/22799;Altres treballs realitzats per altres empreses i prof.;55,00
300;9200B;23001;300/9200B/23001;Dietes membres corporació;1.002,00
300;9200B;23010;300/9200B/23010;Dietes del personal directiu;500,00
300;9200B;23020;300/9200B/23020;Dietes personal no directiu;3.000,00
300;9200B;23100;300/9200B/23100;Locomoció dels membres dels òrgans de govern;1.002,00
300;9200B;23110;300/9200B/23110;Del personal directiu;500,00
300;9200B;23120;300/9200B/23120;Del personal no directiu;3.000,00
300;9200E;11000;300/9200E/11000;Retribucions bàsiques;45.253,60
300;9200E;16000;300/9200E/16000;Seguretat social;13.504,54
310;3200A;12000;310/3200A/12000;Salaris del Grup A1;14.824,22
310;3200A;12001;310/3200A/12001;Salaris del Grup A2;26.071,20
310;3200A;12003;310/3200A/12003;Salaris del Grup C1;19.967,64
310;3200A;12004;310/3200A/12004;Salaris del Grup C2;16.924,92
310;3200A;12006;310/3200A/12006;Triennis;19.435,03
310;3200A;12100;310/3200A/12100;Complement de destí;43.805,44
310;3200A;12101;310/3200A/12101;Complement  específic;86.546,60
310;3200A;12103;310/3200A/12103;Altres complements;17.887,09
310;3200A;15000;310/3200A/15000;Productivitat;6.258,94
310;3200A;15200;310/3200A/15200;Altres incentius;7.000,00
310;3200A;16000;310/3200A/16000;Seguretat social;58.421,42
310;3200A;21900;310/3200A/21900;Compra de materials per reparacions i manteniments;90,00
310;3200A;22001;310/3200A/22001;Premsa, revistes, llibres i altres publicacions;9.537,51
310;3200A;22199;310/3200A/22199;Compra d'altres materials;100,00
310;3200A;22201;310/3200A/22201;Comunicacions postals;2.500,00
310;3200A;22699;310/3200A/22699;Despeses generals (participació comunitat educativa);2.500,00
310;3200A;2270001;310/3200A/2270001;Contractes de neteja;12.360,23
310;3200A;22799;310/3200A/22799;Altres treballs realitzats per altres empreses  i professionals ;10,00
310;3200A;48300;310/3200A/48300;Subvencions i aportacions institucionals;2.332,99
310;3230A;12000;310/3230A/12000;Salaris del Grup A1;14.824,22
310;3230A;12003;310/3230A/12003;Salaris del Grup C1;9.983,82
310;3230A;12004;310/3230A/12004;Salaris del Grup C2;16.924,92
310;3230A;12005;310/3230A/12005;Salaris del Grup E;470.422,88
310;3230A;12006;310/3230A/12006;Triennis;73.217,35
310;3230A;12100;310/3230A/12100;Complement de destí;232.408,40
310;3230A;12101;310/3230A/12101;Complement  específic;524.132,97
310;3230A;12103;310/3230A/12103;Altres complements;186.552,20
310;3230A;13000;310/3230A/13000;Retribucions bàsiques;17.720,20
310;3230A;13002;310/3230A/13002;Altres remuneracions;39.440,72
310;3230A;15000;310/3230A/15000;Productivitat;1.986,00
310;3230A;15200;310/3230A/15200;Altres incentius;65.000,00
310;3230A;16000;310/3230A/16000;Seguretat social;450.615,35
310;3230A;20300;310/3230A/20300;Lloguers de maquinària, instal·lacions i utillatge;1.500,00
310;3230A;21200;310/3230A/21200;Manteniment d’edificis i altres construccions;220.179,95
310;3230A;21202;310/3230A/21202;Reparació i manteniment d'edificis Departaments;45.000,00
310;3230A;21203;310/3230A/21203;Conservació i reparacions edificis Departaments;55.300,00
310;3230A;21300;310/3230A/21300;Manteniment de maquinària, instal·lacions i utillatge;277.350,15
310;3230A;21301;310/3230A/21301;Adaptació d'instal·lacions i maquinària;1.000,00
310;3230A;21900;310/3230A/21900;Compra de materials per reparacions i manteniments;6.500,00
310;3230A;22100;310/3230A/22100;Energia elèctrica;796.446,78
310;3230A;22101;310/3230A/22101;Aigua;100.294,48
310;3230A;22102;310/3230A/22102;Gas   ;569.500,85
310;3230A;22104;310/3230A/22104;Vestuari conserges;8.000,00
310;3230A;2270001;310/3230A/2270001;Contractes de neteja;2.465.155,97
310;3230A;62300;310/3230A/62300;Inversió nova en maquinària, instal. i utillatge;10.000,00
310;3230A;62500;310/3230A/62500;Mobiliari;85.000,00
310;3230A;63200;310/3230A/63200;Inversió de reposició en edifici;56.428,00
310;3230B;21200;310/3230B/21200;Manteniment d’edificis i altres construccions;17.642,01
310;3230B;21202;310/3230B/21202;Manteniment d'equipaments escoles bressol ;10,00
310;3230B;21300;310/3230B/21300;Manteniment de maquinària, instal·lacions i utillatge;25.408,29
310;3230B;21301;310/3230B/21301;Adaptació d'instal·lacions i maquinària;1.000,00
310;3230B;22606;310/3230B/22606;Reunions, conferències i cursos infància 0-3 ;10,00
310;3230B;22699;310/3230B/22699;Altres despeses diverses;6.000,00
310;3230B;22706;310/3230B/22706;Estudis i treballs tècnics;10,00
310;3230B;22799;310/3230B/22799;Altres treballs realitzats per altres empreses i professionals;10,00
310;3230B;47900;310/3230B/47900;Transferències Escoles bressol;2.150.109,00
310;3240A;12004;310/3240A/12004;Salaris del Grup C2;8.462,46
310;3240A;12005;310/3240A/12005;Salaris del Grup E;15.510,88
310;3240A;12006;310/3240A/12006;Triennis;3.122,11
310;3240A;12100;310/3240A/12100;Complement de destí;11.350,50
310;3240A;12101;310/3240A/12101;Complement  específic;24.555,72
310;3240A;12103;310/3240A/12103;Altres complements;1.680,24
310;3240A;13000;310/3240A/13000;Retribucions bàsiques;162.487,46
310;3240A;13002;310/3240A/13002;Altres remuneracions;162.128,05
310;3240A;13100;310/3240A/13100;Laboral temporal;119.375,53
310;3240A;13102;310/3240A/13102;Altres remuneracions personal laboral temporal;131.487,02
310;3240A;15000;310/3240A/15000;Productivitat;23.221,38
310;3240A;15200;310/3240A/15200;Altres incentius;18.941,70
310;3240A;16000;310/3240A/16000;Seguretat social;211.162,56
310;3240A;21000;310/3240A/21000;Manteniment d'infrastructura i béns naturals;10,00
310;3240A;21200;310/3240A/21200;Manteniment d’edificis i altres construccions;2.429,48
310;3240A;21300;310/3240A/21300;Manteniment de maquinària, instal·lacions i utillatge;3.498,97
310;3240A;21302;310/3240A/21302;Manteniment d'instal·lacions i maquinària Departaments;2.300,00
310;3240A;21600;310/3240A/21600;Equips per a processos d'informació;850,00
310;3240A;21900;310/3240A/21900;Altre immobilitzat material;1.300,00
310;3240A;22000;310/3240A/22000;Material d’oficina no inventariable;6.010,00
310;3240A;22101;310/3240A/22101;Aigua;669,06
310;3240A;22102;310/3240A/22102;Gas   ;5.380,96
310;3240A;22199;310/3240A/22199;Compra d'altres materials;20.130,00
310;3240A;22602;310/3240A/22602;Publicitat;850,00
310;3240A;22606;310/3240A/22606;Reunions, conferències i cursos;10.010,00
310;3240A;22699;310/3240A/22699;Altres despeses diverses;2.010,00
310;3240A;2270001;310/3240A/2270001;Contractes de neteja;28.408,61
310;3240A;22706;310/3240A/22706;Estudis i treballs tècnics;10,00
310;3240A;22799;310/3240A/22799;Altres treballs realitzats per altres empreses i prof.;39.010,00
310;3240B;12000;310/3240B/12000;Salaris del Grup A1;44.472,66
310;3240B;12001;310/3240B/12001;Salaris del Grup A2;13.035,60
310;3240B;12003;310/3240B/12003;Salaris del Grup C1;9.983,82
310;3240B;12005;310/3240B/12005;Salaris del Grup E;31.021,76
310;3240B;12006;310/3240B/12006;Triennis;28.827,85
310;3240B;12100;310/3240B/12100;Complement de destí;49.927,64
310;3240B;12101;310/3240B/12101;Complement  específic;83.196,12
310;3240B;12103;310/3240B/12103;Altres complements;3.958,36
310;3240B;13000;310/3240B/13000;Retribucions bàsiques;411.807,22
310;3240B;13002;310/3240B/13002;Altres remuneracions;402.931,16
310;3240B;13100;310/3240B/13100;Laboral temporal;208.245,81
310;3240B;13102;310/3240B/13102;Altres remuneracions personal laboral temporal;224.211,78
310;3240B;15000;310/3240B/15000;Productivitat;22.923,56
310;3240B;15200;310/3240B/15200;Altres incentius;41.654,20
310;3240B;16000;310/3240B/16000;Seguretat social;480.909,37
310;3240B;21200;310/3240B/21200;Manteniment d’edificis i altres construccions;6.061,91
310;3240B;21202;310/3240B/21202;Reparació i manteniment d'edificis Departaments;10,00
310;3240B;21300;310/3240B/21300;Manteniment de maquinària, instal·lacions i utillatge;8.730,45
310;3240B;21302;310/3240B/21302;Manteniment d'instal·lacions i maquinària Departaments;15.010,00
310;3240B;21600;310/3240B/21600;Equips per a processos d'informació;250,00
310;3240B;21900;310/3240B/21900;Compra de materials per reparacions i manteniments;1.300,00
310;3240B;22000;310/3240B/22000;Material d’oficina no inventariable;3.900,00
310;3240B;22100;310/3240B/22100;Energia elèctrica;24.392,90
310;3240B;22101;310/3240B/22101;Aigua;559,19
310;3240B;22102;310/3240B/22102;Gas  ;6.370,09
310;3240B;22199;310/3240B/22199;Altres subministraments;2.610,00
310;3240B;22400;310/3240B/22400;Primes d’assegurances;270,00
310;3240B;22606;310/3240B/22606;Reunions, conferències i cursos;2.900,00
310;3240B;22699;310/3240B/22699;Altres despeses diverses;4.049,90
310;3240B;2270001;310/3240B/2270001;Contractes de neteja;18.939,08
310;3240B;22799;310/3240B/22799;Altres treballs realitzats per altres empreses i prof.;15.010,00
310;3240B;48100;310/3240B/48100;Premis, beques i pensions d’estudi i investigació;10,00
310;3240D;21200;310/3240D/21200;Manteniment d’edificis i altres construccions;3.467,66
310;3240D;21300;310/3240D/21300;Manteniment de maquinària, instal·lacions i utillatge;4.994,18
310;3240D;22699;310/3240D/22699;Altres despeses diverses;10,00
310;3240D;22799;310/3240D/22799;Altres treballs realitzats per altres empreses i prof.;10,00
310;3260A;12000;310/3260A/12000;Salaris del Grup A1;14.824,22
310;3260A;12001;310/3260A/12001;Salaris del Grup A2;52.142,40
310;3260A;12003;310/3260A/12003;Salaris del Grup C1;19.967,64
310;3260A;12004;310/3260A/12004;Salaris del Grup C2;15.232,43
310;3260A;12006;310/3260A/12006;Triennis;19.896,68
310;3260A;12100;310/3260A/12100;Complement de destí;53.112,64
310;3260A;12101;310/3260A/12101;Complement  específic;100.791,60
310;3260A;12103;310/3260A/12103;Altres complements;13.436,24
310;3260A;13100;310/3260A/13100;Laboral temporal;19.263,02
310;3260A;13102;310/3260A/13102;Altres remuneracions personal laboral temporal;18.455,64
310;3260A;15000;310/3260A/15000;Productivitat;3.596,00
310;3260A;15200;310/3260A/15200;Altres incentius;9.800,00
310;3260A;16000;310/3260A/16000;Seguretat social;89.152,42
310;3260A;22706;310/3260A/22706;Estudis i treballs tècnics;6.000,00
310;3261A;22699;310/3261A/22699;Despeses per activ. socieducatives, menjadors escolars i patis oberts;82.165,00
310;3261A;2270001;310/3261A/2270001;Contractes de neteja;64.392,87
310;3261A;22799;310/3261A/22799;Altres treballs realitzats per altres empreses i professionals;10,00
310;3261A;48200;310/3261A/48200;Transf. corrents per Lleure, casals i extraescolars;141.500,00
310;3261A;48900;310/3261A/48900;Concessió menjadors escolars;50.000,00
310;3261A;62300;310/3261A/62300;Inversió nova en maquinària, instal. i utillatge;20.000,00
310;3261A;63200;310/3261A/63200;Inversió de reposició en edifici;80.000,00
310;3262A;12000;310/3262A/12000;Salaris del Grup A1;29.648,44
310;3262A;12001;310/3262A/12001;Salaris del Grup A2;39.106,80
310;3262A;12003;310/3262A/12003;Salaris del Grup C1;9.983,82
310;3262A;12004;310/3262A/12004;Salaris del Grup C2;16.924,92
310;3262A;12006;310/3262A/12006;Triennis;20.736,27
310;3262A;12100;310/3262A/12100;Complement de destí;47.358,92
310;3262A;12101;310/3262A/12101;Complement  específic;84.967,26
310;3262A;12103;310/3262A/12103;Altres complements;17.426,35
310;3262A;15000;310/3262A/15000;Productivitat;2.726,00
310;3262A;15200;310/3262A/15200;Altres incentius;8.000,00
310;3262A;16000;310/3262A/16000;Seguretat social;70.942,31
310;3262A;22300;310/3262A/22300;Transports;2.800,00
310;3262A;22606;310/3262A/22606;Reunions, conferències i cursos;11.000,00
310;3262A;22699;310/3262A/22699;Despeses Ciutat i escola, Éxit escolar i transició escola-treball i Educació i Família;141.360,00
310;3262A;22799;310/3262A/22799;Treballs per  Plans Educatius d'Entorn;18.000,00
310;3262A;48100;310/3262A/48100;Beques llibres text i material escolar i premis;403.300,00
310;3262A;48200;310/3262A/48200;Transf. corrents per  Ciutat i Escola i aniversaris centres;32.110,00
310;3262A;48900;310/3262A/48900;Transferència projecte Ítaca UAB;9.300,00
320;3264A;2270001;320/3264A/2270001;Contractes de neteja;18.160,59
320;3264A;46700;320/3264A/46700;A Consorcis;217.000,00
320;3300A;12000;320/3300A/12000;Salaris del Grup A1;29.648,44
320;3300A;12001;320/3300A/12001;Salaris del Grup A2;26.071,20
320;3300A;12003;320/3300A/12003;Salaris del Grup C1;29.951,46
320;3300A;12004;320/3300A/12004;Salaris del Grup C2;40.619,81
320;3300A;12006;320/3300A/12006;Triennis;30.898,93
320;3300A;12100;320/3300A/12100;Complement de destí;71.452,36
320;3300A;12101;320/3300A/12101;Complement  específic;137.424,00
320;3300A;12103;320/3300A/12103;Altres complements;20.958,32
320;3300A;13000;320/3300A/13000;Retribucions bàsiques;17.289,66
320;3300A;13002;320/3300A/13002;Altres remuneracions;17.469,20
320;3300A;15200;320/3300A/15200;Altres incentius;12.800,00
320;3300A;16000;320/3300A/16000;Seguretat social;112.308,97
320;3300A;21200;320/3300A/21200;Manteniment d’edificis i altres construccions;2.084,94
320;3300A;21300;320/3300A/21300;Manteniment de maquinària, instal·lacions i utillatge;3.002,77
320;3300A;21600;320/3300A/21600;Equips per a processos d'informació;13.105,00
320;3300A;21900;320/3300A/21900;Altre immobilitzat material;5.000,00
320;3300A;22104;320/3300A/22104;Vestuari;3.000,00
320;3300A;22199;320/3300A/22199;Altres subministraments;5.000,00
320;3300A;22201;320/3300A/22201;Comunicacions postals;1.000,00
320;3300A;22602;320/3300A/22602;Publicitat;7.000,00
320;3300A;22699;320/3300A/22699;Altres despeses diverses;22.446,00
320;3300A;2270001;320/3300A/2270001;Contractes de neteja;30.601,78
320;3300A;45000;320/3300A/45000;A l'Administració General de les Comunitats Autònomes;10,00
320;3300A;46100;320/3300A/46100;A Diputacions, Consells o Cabildos Insulars;10,00
320;3321A;12001;320/3321A/12001;Salaris del Grup A2;13.035,60
320;3321A;12003;320/3321A/12003;Salaris del Grup C1;334.304,08
320;3321A;12004;320/3321A/12004;Salaris del Grup C2;8.462,46
320;3321A;12005;320/3321A/12005;Salaris del Grup E;44.981,58
320;3321A;12006;320/3321A/12006;Triennis;52.572,08
320;3321A;12100;320/3321A/12100;Complement de destí;192.437,00
320;3321A;12101;320/3321A/12101;Complement  específic;355.883,64
320;3321A;12103;320/3321A/12103;Altres complements;73.713,21
320;3321A;15200;320/3321A/15200;Altres incentius;38.710,50
320;3321A;16000;320/3321A/16000;Seguretat social;317.525,29
320;3321A;21200;320/3321A/21200;Manteniment d’edificis i altres construccions;48.145,00
320;3321A;21300;320/3321A/21300;Manteniment de maquinària, instal·lacions i utillatge;69.339,14
320;3321A;21301;320/3321A/21301;Adaptació d'instal·lacions i maquinària;1.000,00
320;3321A;21302;320/3321A/21302;Manteniment d'instal·lacions i maquinària Departaments;6.600,00
320;3321A;21600;320/3321A/21600;Manteniment per a  equips informació;1.340,00
320;3321A;21900;320/3321A/21900;Altre immobilitzat material;7.000,00
320;3321A;22000;320/3321A/22000;Material d’oficina no inventariable;4.890,00
320;3321A;22001;320/3321A/22001;Premsa, revistes, llibres i altres publicacions;1.904,07
320;3321A;22101;320/3321A/22101;Aigua;330,73
320;3321A;22199;320/3321A/22199;Altres subministraments;7.325,00
320;3321A;22606;320/3321A/22606;Reunions, conferències i cursos;4.700,00
320;3321A;22609;320/3321A/22609;Activitats culturals;36.820,00
320;3321A;22699;320/3321A/22699;Altres despeses diverses;1.800,00
320;3321A;2270001;320/3321A/2270001;Contractes de neteja;183.700,69
320;3321A;22799;320/3321A/22799;Altres treballs realitzats per altres empreses i prof.;35.665,00
320;3321A;48100;320/3321A/48100;Premis, beques i pensions d’estudi i investigació;1.140,00
320;3321A;48200;320/3321A/48200;Transf. corrents institucions sense ànim de lucre;10,00
320;3321A;62200;320/3321A/62200;Inversió nova en edifici;75.000,00
320;3321A;62300;320/3321A/62300;Inversió nova en maquinària, instal. i utillatge;16.796,85
320;3321A;62901;320/3321A/62901;Inversió fons documental;36.882,04
320;3322A;21200;320/3322A/21200;Manteniment d’edificis i altres construccions;3.641,54
320;3322A;21300;320/3322A/21300;Manteniment de maquinària, instal·lacions i utillatge;5.244,60
320;3322A;41000;320/3322A/41000;A Organismes Autònoms de l'Entitat Local;505.557,72
320;3330A;12003;320/3330A/12003;Salaris del Grup C1;9.983,82
320;3330A;12004;320/3330A/12004;Salaris del Grup C2;8.462,46
320;3330A;12005;320/3330A/12005;Salaris del Grup E;31.021,76
320;3330A;12006;320/3330A/12006;Triennis;6.458,17
320;3330A;12100;320/3330A/12100;Complement de destí;24.288,04
320;3330A;12101;320/3330A/12101;Complement  específic;51.608,48
320;3330A;12103;320/3330A/12103;Altres complements;12.268,20
320;3330A;15200;320/3330A/15200;Altres incentius;6.000,00
320;3330A;16000;320/3330A/16000;Seguretat social;38.891,25
320;3330A;20300;320/3330A/20300;Lloguers de maquinària, instal·lacions i utillatge;1.000,00
320;3330A;21200;320/3330A/21200;Manteniment d’edificis i altres construccions;64.351,06
320;3330A;21300;320/3330A/21300;Manteniment de maquinària, instal·lacions i utillatge;94.119,56
320;3330A;21301;320/3330A/21301;Adaptació d'instal·lacions i maquinària;1.000,00
320;3330A;21302;320/3330A/21302;Manteniment d'instal·lacions i maquinària Departaments;14.440,00
320;3330A;21600;320/3330A/21600;Equips per a processos d'informació;1.300,00
320;3330A;21900;320/3330A/21900;Altre immobilitzat material;20.460,00
320;3330A;22100;320/3330A/22100;Energia elèctrica;415.217,89
