parada_punt_id;parada_punt_desc;parada_punt_desc_curta;coord_x;coord_y;latitud;longitud;
"1";"Can Deu";"Can Deu";"423950";"4603301";"41,5759";"2,08663";
"2";"La Prada";"La Prada";"423767";"4603166";"41,5747";"2,08445";
"3";"La Plana del Pintor";"La Plana del Pintor";"423947";"4603068";"41,5738";"2,08662";
"4";"Himàlaia";"Himàlaia";"424017";"4602995";"41,5732";"2,08747";
"5";"Alps";"Alps";"424183";"4602828";"41,5717";"2,08948";
"6";"La Bonaigua";"La Bonaigua";"424156";"4602666";"41,5702";"2,08918";
"7";"El Farell";"El Farell";"423999";"4602413";"41,5679";"2,08733";
"8";"Matadepera";"Matadepera";"424156";"4602191";"41,5659";"2,08924";
"9";"Ca n 'Oriac";"Ca n 'Oriac";"424262";"4601923";"41,5635";"2,09054";
"10";"Sant Bernat";"Sant Bernat";"424457";"4601748";"41,562";"2,0929";
"11";"Espanya";"Espanya";"424686";"4601721";"41,5618";"2,09565";
"12";"Pl. Concòrdia";"Pl. Concòrdia";"424763";"4601338";"41,5583";"2,09662";
"13";"Francesc Macià";"Francesc Macià";"424823";"4600897";"41,5544";"2,0974";
"14";"La Creu Alta";"La Creu Alta";"425212";"4601040";"41,5557";"2,10204";
"15";"Onze de Setembre";"Onze de Setembre";"425367";"4600807";"41,5536";"2,10393";
"16";"Massagué";"Massagué";"425592";"4600540";"41,5512";"2,10666";
"17";"Manresa";"Manresa";"425726";"4600221";"41,5484";"2,10831";
"18";"Dr. Robert";"Dr. Robert";"425774";"4600012";"41,5465";"2,10891";
"19";"Casal Pere Quart";"Casal Pere Quart";"425839";"4599813";"41,5447";"2,10971";
"20";"Rambla";"Rambla";"425961";"4599470";"41,5416";"2,11122";
"21";"Eixample";"Eixample";"426081";"4599146";"41,5387";"2,1127";
"22";"Mestre Planas";"Mestre Planas";"426184";"4598841";"41,536";"2,11397";
"23";"Sant Fèlix";"Sant Fèlix";"426287";"4598553";"41,5334";"2,11524";
"24";"Barcelona";"Barcelona";"426384";"4598278";"41,5309";"2,11644";
"25";"La Creu de Barberà";"La Creu de Barberà";"426451";"4598095";"41,5293";"2,11726";
"26";"Fontanella";"Fontanella";"426378";"4598058";"41,5289";"2,11638";
"27";"Espronceda";"Espronceda";"425995";"4597919";"41,5276";"2,11181";
"28";"Picasso";"Picasso";"425765";"4597842";"41,5269";"2,10906";
"29";"Campoamor";"Campoamor";"425672";"4598069";"41,529";"2,10792";
"30";"Estació Sud";"Estació Sud";"425513";"4598035";"41,5286";"2,10601";
"35";"Goya";"Goya";"425646";"4598054";"41,5288";"2,10761";
"36";"Picasso";"Picasso";"425804";"4597819";"41,5267";"2,10953";
"37";"Espronceda";"Espronceda";"426087";"4597927";"41,5277";"2,11291";
"38";"Fontanella";"Fontanella";"426194";"4598126";"41,5295";"2,11417";
"39";"Sant Fèlix";"Sant Fèlix";"426175";"4598462";"41,5326";"2,11391";
"40";"Mestre Planas";"Mestre Planas";"426245";"4598766";"41,5353";"2,11471";
"41";"Eixample";"Eixample";"426141";"4599073";"41,5381";"2,11343";
"42";"Rambla";"Rambla";"425991";"4599482";"41,5417";"2,11158";
"43";"Casal Pere Quart";"Casal Pere Quart";"425891";"4599781";"41,5444";"2,11034";
"44";"Dr. Robert";"Dr. Robert";"425806";"4600012";"41,5465";"2,10929";
"45";"Manresa";"Manresa";"425744";"4600249";"41,5486";"2,10852";
"46";"Massagué";"Massagué";"425620";"4600559";"41,5514";"2,107";
"47";"Onze de Setembre";"Onze de Setembre";"425395";"4600824";"41,5538";"2,10427";
"48";"La Creu Alta";"La Creu Alta";"425241";"4601060";"41,5559";"2,10239";
"49";"Francesc Macià";"Francesc Macià";"424855";"4600888";"41,5543";"2,09778";
"50";"Pl. Concòrdia";"Pl. Concòrdia";"424835";"4601340";"41,5583";"2,09749";
"51";"Espanya";"Espanya";"424684";"4601745";"41,562";"2,09563";
"52";"Sant Bernat";"Sant Bernat";"424389";"4601803";"41,5625";"2,09208";
"53";"Ca n'Oriac";"Ca n'Oriac";"424254";"4602015";"41,5644";"2,09043";
"54";"Matadepera";"Matadepera";"424154";"4602278";"41,5667";"2,0892";
"55";"Pi";"Pi";"424010";"4602447";"41,5682";"2,08745";
