linia_id;expedicio_id;periode_id;trajecte_id;direccio_id;sortida_hora;sortida_parada_punt_id;arribada_parada_punt_id;dia_atribut_id;
"1791";"456083";"1";"2";"2";"48360";"30";"1";"1";
"1791";"456084";"1";"2";"2";"53760";"30";"1";"1";
"1791";"456085";"1";"2";"2";"64680";"30";"1";"1";
"1791";"456086";"1";"2";"2";"18300";"30";"1";"1";
"1791";"456087";"1";"2";"2";"22620";"30";"1";"1";
"1791";"456088";"1";"2";"2";"26820";"30";"1";"1";
"1791";"456089";"1";"2";"2";"32100";"30";"1";"1";
"1791";"456090";"1";"2";"2";"37740";"30";"1";"1";
"1791";"456091";"1";"2";"2";"60000";"30";"1";"1";
"1791";"456092";"1";"2";"2";"70920";"30";"1";"1";
"1791";"456093";"1";"2";"2";"76320";"30";"1";"1";
"1791";"456094";"1";"2";"2";"81000";"30";"1";"1";
"1791";"456095";"1";"2";"2";"43860";"30";"1";"1";
"1791";"456096";"1";"2";"2";"49260";"30";"1";"1";
"1791";"456097";"1";"2";"2";"54720";"30";"1";"1";
"1791";"456098";"1";"2";"2";"65760";"30";"1";"1";
"1791";"456099";"1";"2";"2";"27600";"30";"1";"1";
"1791";"456100";"1";"2";"2";"33000";"30";"1";"1";
"1791";"456101";"1";"2";"2";"38820";"30";"1";"1";
"1791";"456102";"1";"2";"2";"60900";"30";"1";"1";
"1791";"456103";"1";"2";"2";"20400";"30";"1";"1";
"1791";"456104";"1";"2";"2";"24060";"30";"1";"1";
"1791";"456105";"1";"2";"2";"28500";"30";"1";"1";
"1791";"456106";"1";"2";"2";"33900";"30";"1";"1";
"1791";"456107";"1";"2";"2";"44760";"30";"1";"1";
"1791";"456108";"1";"2";"2";"50160";"30";"1";"1";
"1791";"456109";"1";"2";"2";"55680";"30";"1";"1";
"1791";"456110";"1";"2";"2";"66720";"30";"1";"1";
"1791";"456111";"1";"2";"2";"72000";"30";"1";"1";
"1791";"456112";"1";"2";"2";"77400";"30";"1";"1";
"1791";"456113";"1";"2";"2";"39900";"30";"1";"1";
"1791";"456114";"1";"2";"2";"82500";"30";"1";"1";
"1791";"456115";"1";"2";"2";"45660";"30";"1";"1";
"1791";"456116";"1";"2";"2";"51060";"30";"1";"1";
"1791";"456117";"1";"2";"2";"61800";"30";"1";"1";
"1791";"456118";"1";"3";"1";"15720";"407";"30";"1";
"1791";"456119";"1";"4";"2";"17100";"30";"1";"1";
"1792";"456120";"1";"1";"1";"37860";"1";"657";"1";
"1792";"456121";"1";"1";"1";"27480";"1";"657";"1";
"1792";"456122";"1";"1";"1";"32460";"1";"657";"1";
"1792";"456123";"1";"1";"1";"43560";"1";"657";"1";
"1792";"456124";"1";"1";"1";"48960";"1";"657";"1";
"1792";"456125";"1";"1";"1";"59760";"1";"657";"1";
"1792";"456126";"1";"1";"1";"81300";"1";"657";"1";
"1792";"456127";"1";"1";"1";"54780";"1";"657";"1";
"1792";"456128";"1";"1";"1";"65760";"1";"657";"1";
"1792";"456129";"1";"1";"1";"71100";"1";"657";"1";
"1792";"456130";"1";"1";"1";"76620";"1";"657";"1";
"1792";"456131";"1";"1";"1";"38940";"1";"657";"1";
"1792";"456132";"1";"1";"1";"44460";"1";"657";"1";
