Districte;Sexe;Nacionalitat;Total;
"1";"D";"ALEMANYA";"17";
"1";"D";"ALGÈRIA";"6";
"1";"D";"ANDORRA";"4";
"1";"D";"ANGOLA";"1";
"1";"D";"ARGENTINA";"52";
"1";"D";"ARMÈNIA";"5";
"1";"D";"AUSTRÀLIA";"2";
"1";"D";"ÀUSTRIA";"1";
"1";"D";"BANGLA DESH";"1";
"1";"D";"BÈLGICA";"3";
"1";"D";"BENÍN";"1";
"1";"D";"BIELORÚSSIA";"3";
"1";"D";"BOLÍVIA";"202";
"1";"D";"BÒSNIA I HERCEGOVINA";"1";
"1";"D";"BRASIL";"48";
"1";"D";"BULGÀRIA";"15";
"1";"D";"BURKINA FASO";"2";
"1";"D";"COLÒMBIA";"63";
"1";"D";"COREA";"1";
"1";"D";"COSTA RICA";"1";
"1";"D";"CROÀCIA";"1";
"1";"D";"CUBA";"27";
"1";"D";"DINAMARCA";"2";
"1";"D";"EL SALVADOR";"4";
"1";"D";"EQUADOR";"83";
"1";"D";"ESPANYA";"25894";
"1";"D";"ESTATS UNITS D'AMÈRICA";"12";
"1";"D";"ESTÒNIA";"1";
"1";"D";"FILIPINES";"6";
"1";"D";"FINLÀNDIA";"2";
"1";"D";"FRANÇA";"36";
"1";"D";"GÀMBIA";"18";
"1";"D";"GEÒRGIA";"14";
"1";"D";"GHANA";"2";
"1";"D";"GRÈCIA";"2";
"1";"D";"GUINEA";"13";
"1";"D";"GUINEA EQUATORIAL";"1";
"1";"D";"HONDURES";"59";
"1";"D";"HONGRIA";"1";
"1";"D";"ÍNDIA";"6";
"1";"D";"IRAN";"2";
"1";"D";"IRLANDA";"2";
"1";"D";"ITÀLIA";"56";
"1";"D";"JAPÓ";"5";
"1";"D";"KAZAKHSTAN";"1";
"1";"D";"KENYA";"1";
"1";"D";"LITUÀNIA";"2";
"1";"D";"MALI";"3";
"1";"D";"MARROC";"175";
"1";"D";"MAURITÀNIA";"1";
"1";"D";"MÈXIC";"26";
"1";"D";"MOLDÀVIA";"8";
"1";"D";"NICARAGUA";"5";
"1";"D";"NIGÈRIA";"7";
"1";"D";"PAÏSOS BAIXOS";"3";
"1";"D";"PAKISTAN";"5";
"1";"D";"PANAMÀ";"3";
"1";"D";"PARAGUAI";"152";
"1";"D";"PERÚ";"48";
"1";"D";"POLÒNIA";"21";
"1";"D";"PORTUGAL";"23";
"1";"D";"REGNE UNIT";"12";
"1";"D";"REPÚBLICA DOMINICANA";"40";
"1";"D";"REPÚBLICA TXECA";"2";
"1";"D";"ROMANIA";"169";
"1";"D";"RÚSSIA";"66";
"1";"D";"SENEGAL";"9";
"1";"D";"SÍRIA";"1";
"1";"D";"SUÈCIA";"7";
"1";"D";"SUÏSSA";"3";
"1";"D";"TAILÀNDIA";"2";
"1";"D";"TAIWAN";"1";
"1";"D";"TURQUIA";"1";
"1";"D";"UCRAÏNA";"38";
"1";"D";"URUGUAI";"32";
"1";"D";"UZBEKISTAN";"1";
"1";"D";"VENEÇUELA";"32";
"1";"D";"XILE";"33";
"1";"D";"XINA";"149";
"1";"D";"XIPRE";"1";
"1";"D";"ZIMBABWE";"1";
"1";"H";"ALBÀNIA";"1";
"1";"H";"ALEMANYA";"28";
"1";"H";"ALGÈRIA";"6";
"1";"H";"ANDORRA";"2";
"1";"H";"ARGENTINA";"53";
"1";"H";"ARMÈNIA";"3";
"1";"H";"AUSTRÀLIA";"1";
"1";"H";"ÀUSTRIA";"4";
"1";"H";"AZERBAIDJAN";"1";
"1";"H";"BANGLA DESH";"4";
"1";"H";"BÈLGICA";"4";
"1";"H";"BOLÍVIA";"140";
"1";"H";"BÒSNIA I HERCEGOVINA";"3";
"1";"H";"BRASIL";"27";
"1";"H";"BULGÀRIA";"10";
"1";"H";"BURKINA FASO";"6";
"1";"H";"CANADÀ";"3";
"1";"H";"COLÒMBIA";"42";
"1";"H";"COREA";"1";
"1";"H";"COSTA D'IVORI";"2";
"1";"H";"COSTA RICA";"2";
"1";"H";"CROÀCIA";"2";
"1";"H";"CUBA";"19";
"1";"H";"DOMINICA";"1";
"1";"H";"EGIPTE";"2";
"1";"H";"EL SALVADOR";"2";
"1";"H";"EQUADOR";"94";
"1";"H";"ESLOVÀQUIA";"1";
"1";"H";"ESLOVÈNIA";"3";
"1";"H";"ESPANYA";"23397";
"1";"H";"ESTATS UNITS D'AMÈRICA";"17";
"1";"H";"FILIPINES";"4";
"1";"H";"FINLÀNDIA";"4";
"1";"H";"FRANÇA";"42";
"1";"H";"GÀMBIA";"41";
"1";"H";"GEÒRGIA";"5";
"1";"H";"GHANA";"12";
"1";"H";"GRÈCIA";"2";
"1";"H";"GUATEMALA";"1";
"1";"H";"GUINEA";"17";
"1";"H";"GUINEA BISSAU";"2";
"1";"H";"GUINEA EQUATORIAL";"4";
"1";"H";"HONDURES";"16";
"1";"H";"HONGRIA";"2";
"1";"H";"ÍNDIA";"8";
"1";"H";"IRAN";"3";
"1";"H";"IRLANDA";"7";
"1";"H";"ISRAEL";"1";
"1";"H";"ITÀLIA";"69";
"1";"H";"JAPÓ";"2";
"1";"H";"MACEDÒNIA";"1";
"1";"H";"MALI";"6";
"1";"H";"MARROC";"206";
"1";"H";"MAURITÀNIA";"2";
"1";"H";"MÈXIC";"10";
"1";"H";"MOLDÀVIA";"8";
"1";"H";"NICARAGUA";"2";
"1";"H";"NIGÈRIA";"2";
"1";"H";"NOVA ZELANDA";"1";
"1";"H";"PAÏSOS BAIXOS";"15";
"1";"H";"PAKISTAN";"38";
