PRESSUPOST 2016 - INGRÉS;;;;


Orgànic ;Econòmic;Aplicació 2016;Descripció aplicació;Import inicial
207;11600;207/11600;Impost sobre increment valor dels terrenys de naturalesa urbana;9.075.000,00
207;11500;207/11500;Impost sobre vehicles de tracció mecànica;10.816.990,00
207;11400;207/11400;Impost de béns immobles de característiques especials;402.940,00
207;11300;207/11300;Impost sobre béns immobles de naturalesa urbana;45.767.185,00
207;11200;207/11200;Impost sobre béns immobles de naturalesa rústica;10.760,00
207;13000;207/13000;Impost sobre activitats econòmiques;4.971.385,00
204;10000;204/10000;Cessió impost sobre la renda;3.912.340,00
412;29000;412/29000;Impost sobre construccions, instal·lacions i obres;630.670,00
204;22006;204/22006;Cessió impost especial sobre productes intermedis;1.235,00
204;22003;204/22003;Cessió impost especial sobre les labors del tabac;405.715,00
204;22001;204/22001;Cessió impost especial sobre la cervesa;18.080,00
204;22000;204/22000;Cessió impost especial sobre l'alcohol i begudes derivades;53.235,00
204;22004;204/22004;Cessió impost especial sobre hidrocarburs;580.185,00
204;21000;204/21000;Cessió impost valor afegit;3.586.280,00
160;32600;160/32600;Retirada de vehicles i dipòsit;750.000,00
204;33200;204/33200;Ocupació subsòl;2.126.375,00
320;32500;320/32500;Expedició de documents;2.000,00
320;34900;320/34900;Publicacions;100,00
320;34901;320/34901;Ingressos formació cultural;100,00
160;36002;160/36002;Efectes inútils;80.000,00
204;31999;204/31999;Altres taxes per prestació de serveis preferents;100,00
204;32999;204/32999;Altres taxes;29.840,00
350;31907;350/31907;Serveis sanitaris;33.000,00
204;33800;204/33800;Telefònica;754.370,00
160;30900;160/30900;Vigilància especial;3.000,00
204;39909;204/39909;Indemnitzacions desperfectes;69.995,00
204;39999;204/39999;Altres ingressos;22.024,08
320;31903;320/31903;Utilització Biblioteques;100,00
320;31901;320/31901;Utilització equipaments culturals;2.690,00
320;31900;320/31900;Utilització equipaments artístics;45.400,00
204;32500;204/32500;Expedició de documents;144.960,00
201;38905;201/38905;Reintegrament despeses electorals G. Civil;5,00
310;31200;310/31200;Taxes Escola/Conservatori de Música;245.000,00
310;31201;310/31201;Taxes Escola Illa;164.000,00
310;31202;310/31202;Taxes utilització de centres docents;300,00
310;34200;310/34200;Tallers Escola Illa;67.000,00
310;34201;310/34201;Activitat Escola de Música;15.000,00
310;34202;310/34202;Escolarització Escola de Música;315.000,00
520;34300;520/34300;Instal·lacions esportives;138.000,00
520;34301;520/34301;Piscines;242.080,00
520;34302;520/34302;Bassa de Sant Oleguer;10,00
520;34303;520/34303;Programes d'activitats esportives;118.000,00
520;38999;520/38999;Altres reintegraments d'operacions corrents;600,00
110;32906;110/32906;Taxa per utilització d'espais municipals per casaments;6.000,00
212;39900;212/39900;Anuncis a càrrec de particulars;10.000,00
350;39190;350/39190;Altres multes i sancions;35.000,00
440;39999;440/39999;Altres ingressos;50.000,00
204;36099;204/36099;Altres vendes;100,00
320;34902;320/34902;Ingressos formació artística;100,00
320;38900;320/38900;Reintegraments Cultura;14.000,00
205;32900;205/32900;Inscripció convocatòries;1.000,00
320;39903;320/39903;Activitats, festes i cultura popular;6.000,00
411;38999;411/38999;Altres reintegraments d'operacions corrents;14.591,70
