"Código_del_Área","Denominación_del_Área","Código_de_la_Dirección_General","Denominación_de_la_Dirección_General","Clasificación_Orgánica","Denominación_de_la_Clasificación_Orgnánica","Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",20300,"De maquinaria",293.30,293.30,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",21200,"De  edificios y construcciones",500.00,500.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",21300,"De maquinaria, inst.técnicas y utillaje",1403.93,1403.93,842.16,842.16,174.24,174.24
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",21500,"De mobiliario urbano",2856.66,2856.66,3452.56,3452.56,1497.38,1497.38
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",21600,"De equipos informáticos",500.00,500.00,50003.25,50003.25,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22000,"Material de oficina no inventariable",5000.00,5000.00,5183.27,5183.27,670.86,615.20
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22002,"Material informático no inventariable",6500.00,6500.00,7090.18,7090.18,3926.65,2686.23
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22111,"Suministros de repuestos",500.00,500.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22199,"Otros suministros",200.00,200.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22200,"Telefonía móvil",14000.00,14000.00,17053.21,17053.21,6671.21,5535.62
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22201,"Servicio de mensajería/paquetería",15000.00,15000.00,15149.95,15149.95,4859.77,3059.14
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22400,"Primas de seguros",2000.00,2000.00,500.00,500.00,500.00,500.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22500,"Tributos estatales",25600.00,25600.00,12914.74,12914.74,12914.74,12914.74
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22601,"Atenciones protocolarias y representativas.",0.00,0.00,99.00,99.00,99.00,99.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22603,"Publicaciones diarios oficiales",500.00,500.00,260.00,260.00,260.00,260.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22700,"Limpieza y aseo",6000.00,6000.00,5911.71,5911.71,2392.14,2392.14
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22706,"Servicios de profesionales independientes",165045.74,165045.74,66618.36,66618.36,51209.02,50858.12
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22799,"Otros trabajos especializados",2960.00,2960.00,2662.00,2662.00,1210.00,484.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",35900,"Otros gastos financieros",1000.00,1000.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22606,"REUNIONES, CONFERENCIAS Y CURSOS",0.00,0.00,239.92,239.92,239.92,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22701,"TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES",0.00,0.00,56498.53,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",46200,"Ayuntamiento de Sevilla",0.00,0.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",65006,"IGOEP Centro Marqués del Contadero",600000.00,600000.00,92747.82,92747.82,92747.82,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",20800,"Arrendamientos de otro inmovilizado material.",0.00,0.00,259.91,259.91,259.91,259.91
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",10100,"Retribuciones básicas del personal directivo",61033.85,61033.85,31121.83,31121.83,31121.83,31121.83
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",13000,"Retribuciones básicas del personal laboral fijo",103011.26,103011.26,48538.69,48538.69,48538.69,48538.69
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",13002,"Otras remuneracxiones personal laboral fijo",13743.13,13743.13,7499.74,7499.74,7499.74,7499.74
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",22604,"Jurídicos y contenciosos",0.00,0.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",13100,"Retribuciones básicas personal laboral temporal",24279.70,24279.70,59438.39,59438.39,59438.39,59438.39
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",13102,"Otras remuneraciones personal laboral temporal",0.00,0.00,1238.84,1238.84,1238.84,1238.84
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",16000,"Seguridad Social",58332.00,58332.00,10322.09,10322.09,10322.09,10322.09
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",16008,"Asistencia médico-farmacéutica",2100.00,2100.00,2090.85,2090.85,929.10,929.10
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",16200,"Formación y perfeccionamiento del personal",1453.64,1453.64,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",16204,"Acción social",4575.96,4575.96,1180.14,1180.14,1180.14,1180.14
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",16205,"Seguros",4416.48,4416.48,4629.49,4629.49,4629.49,4629.49
"","","","",3300,"Consorcio Turismo de Sevilla",430,"Administración general de comercio, turismo y pequeñas y medianas empresas",20200,"De edficios y otras construcciones",7332.61,7332.61,7376.16,7376.16,3688.08,3073.40
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",22602,"Publicidad y propaganda",253563.37,253563.37,184509.68,112083.92,65016.13,65016.13
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",22606,"Reuniones, conferencias y cursos",561006.28,561006.28,245342.63,245342.63,224369.49,165498.03
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",22706,"Estudios y trabajos técnicos",81950.00,81950.00,73704.85,73704.85,43704.81,42833.61
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",23010,"Dietas personal directivo",31000.00,31000.00,16883.76,16883.76,7383.76,7383.76
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",23020,"Dietas personal no directivo",49800.00,49800.00,58660.71,58660.71,27875.32,23382.20
