"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales"
34900,"OTROS PRECIOS PÚBLICOS",0.00
39999,"OTROS INGRESOS DIVERSOS",0.00
40000,"DE LA ADMINISTRACIÓN GENERAL DE LA ENTIDAD LOCAL",19216700.00
52000,"INTERESES DE DEPOSITOS BANCARIOS",300.00
70000,"DE LA ADMINISTRACIÓN GENERAL DE LA ENTIDAD LOCAL",95000.00
83000,"REINTEGROS DE ANTICIPOS DE PERSONAL",70000.00
