"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Recaudación_Líquida","Column1"
38900,"Otros reintegros de operaciones corrientes",0.00,260.00,260.00,260.00,""
46200,"De Ayuntamientos",2749378.40,1100000.00,1110000.00,1110000.00,""
52000,"Intereses de depósitos",1500.00,0.00,0.00,0.00,""
76200,"De Ayuntamientos",600000.00,0.00,0.00,0.00,""
,"",,,,,""
