"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Recaudación_Líquida"
34300,"Rendimiento de Actividades del IMD",4506926.53,2213066.9,2212359.15,2211501.11
38900,"Otros ingreos de operaciones corrientes",0,1661.32,1661.32,1661.32
39300,"Intereses de demora",0,1574.88,1574.88,1574.88
39901,"Otros Ingresos diversos",125000,8543.46,8543.46,8264.46
40000,"Transferencias Corrientes del Ayuntamiento de Sevilla",21219737.32,9196053.05,9196053.05,9196053.05
52000,"Intereses en Cuentas Corrientes",400,50.36,50.36,50.36
55001,"Concesiones Administrativas por Instalaciones",461164.4,426613.44,426613.44,163524.72
55002,"Concesiones Administrativas por Publicidad",284642.28,457723.36,457723.36,185381.78
70000,"Transferencias Capital Ayuntamiento de Sevilla",3998991.91,0,0,0
83000,"Reint. Préstamos Concedidos Personal Laboral fijo del I.D.",36097,36000,36000,4499.88
