"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales"
34400,"ENTRADAS GENERALES",7497543.34
38900,"OTROS REINTEGROS DE OPERACIONES CORRIENTES. REINTEGRO DE ANUNCIOS",2000.00
39900,"OTROS INGRESOS DIVERSOS",262000.00
52000,"INTERESES DE DEPOSITOS. INTERESES EN CUENTAS CORRIENTES",20000.00
55000,"CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACION PERIODICA",596000.00
83000,"REINTEGROS DE PRÉSTAMOS Y ANTICIPOS A CORTO PLAZO",40000.00
