"Org.","Fun.","Eco.","Descripción","Créditos Iniciales"
70000,11,31000,"Devolucion intereses pago proveedores al Ayuntamiento de Sevilla",1641.45
70000,11,91100,"Amortización préstamos a largo plazo de entes del sector púb",15007.86
70000,340,10100,"Retribuciones básicas y otras remuneraciones",63961.93
70000,340,13000,"Retribuciones básicas laboral fijo",4266621.09
70000,340,13002,"Otras remuneraciones laboral fijo",3721126.08
70000,340,13100,"Retribuciones personal laboral eventual",284942.45
70000,340,15000,"Productividad",325219.00
70000,340,15100,"Gratificaciones",105040.00
70000,340,16000,"Cuotas Sociales de la Seguridad Social",2882150.04
70000,340,16200,"Formación y Perfeccionamiento del Personal",35508.71
70000,340,16204,"Acción social",125000.00
70000,340,20200,"Edificios y otras construcciones",45000.00
70000,340,20900,"Cánones",615.00
70000,340,21400,"Mantenimiento de elementos de transporte",30000.00
70000,340,21600,"Equipamiento para procesos de información",52600.00
70000,340,22000,"Ordinario, no inventariable",6000.00
70000,340,22001,"Prensa, revistas, libros y otras publicaciones",3500.00
70000,340,22002,"Material informático no inventariable",49580.00
70000,340,22200,"Telefónicas",136216.36
70000,340,22201,"Postales",4500.00
70000,340,22400,"Primas de Seguros",362578.02
70000,340,22502,"Tributos Locales",14325.00
70000,340,22601,"Atenciones  protocolarias y representativas",8000.00
70000,340,22708,"Servicios de recaudación",500.00
70000,340,23020,"Dietas de personal",20000.00
70000,340,23120,"Gastos de locomoción",6500.00
70000,340,23320,"Indemnizaciones extraordinarias personal laboral",1500.00
70000,340,35200,"Intereses de Demora",75000.00
70000,340,62500,"Mobiliario",55000.00
70000,340,62600,"Equipos para proceso de información",52012.04
70000,340,62900,"Otras inversiones nuevas",176487.83
70000,340,83000,"Préstamos al personal a corto plazo",36097.00
70000,341,22602,"Publicidad, propaganda y merchandising",253095.50
70000,341,22603,"Publicación en diarios oficiales",3000.00
70000,341,22609,"Gastos en actividades deportivas",314878.07
70000,341,22699,"Otros gastos diversos",5327523.60
70000,341,22799,"Servicios Generales Mantenimiento y Conservación",301500.00
70000,341,47900,"Otras subvenciones a empresas privadas",156232.60
70000,341,48100,"Premios, becas y PP Estudios e investigacion",50000.00
70000,341,48900,"Convenios",315700.00
70000,341,48902,"Subvenciones",1340490.00
70000,342,20300,"Arrendamiento maquin. instalac. y utill.",3000.00
70000,342,20400,"Arrendamiento material de transporte",15000.00
70000,342,20600,"Arrendamientos de equipos para procesos de información.",54297.00
70000,342,20800,"Arrendamiento de otro inmovilizado mater",34040.00
70000,342,21200,"Reparac. manteni. edificios y o.construc",741495.80
70000,342,21300,"Reparac. manten, maquin.,insta y utilla.",364761.59
70000,342,22100,"Energía eléctrica.",1178619.41
70000,342,22101,"Agua.",275000.00
70000,342,22102,"Gas.",504500.00
70000,342,22103,"Combustibles y carburantes.",30000.00
70000,342,22104,"Vestuario.",87919.41
70000,342,22110,"Productos de limpieza y aseo.",1000.00
70000,342,22700,"Limpieza y Aseos",1156378.12
70000,342,22701,"Seguridad",1277552.49
70000,342,22706,"Estudios trabajos técnicos",145503.83
70000,342,62200,"Edificios y otras construcciones",1079662.99
70000,342,62300,"Maquinaria, instalaciones y utillaje",203184.34
70000,342,63200,"Reparación de edificios y otras construcciones",1526396.48
70000,342,63300,"Reparación maquinaria, instalaciones y utillaje",346256.32
70000,342,63900,"Otras inv. reposición asoc. al funcionamiento op. serv.",1000.00
