"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Recaudación_Líquida"
34400,"ENTRADAS GENERALES",7497543.34,5404675.5,5404675.5,5404675.5
38900,"REINTEGRO DE ANUNCIOS",2000,0,0,0
39900,"OTROS INGRESOS DIVERSOS",262000,1161.4,1161.4,1161.4
52000,"INTERESES EN CUENTAS CORRIENTES",20000,2331.76,2331.76,2331.76
55000,"CONCESIONES ADMINISTRATIVAS",596000,292452.05,292452.05,292452.05
83000,"REINTEGRO DE PRESTAMOS Y ANTIC",40000,20700,20700,3358.3
