"ANY","KILOS","MES","residuo","Gestor"
2016,8185,"GENER","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,7411,"FEBRER","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,4897,"MARÇ","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,10589,"ABRIL","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,15014,"MAIG","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,14164,"JUNY","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,11631,"JULIOL","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,9729,"AGOST","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,10550,"SETEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,12285,"OCTUBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,11035,"NOVEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2016,8594,"DESEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
