,"Agua entrada EDAR(m3) ","Agua Pre-tratada EDAR(m3)","Agua Reutilizada EDAR Torrent(m3)","Fango deshidratado aplicado en agricultura"
"ene.-16",403.980,403.980,153.699,146.960
"feb.-16",397.656,397.656,145.767,189.260
"mar.-16",422.994,422.944,162.038,168.190
"abr.-16",416.403,416.403,146.054,168.310
"may.-16",408.645,408.645,154.384,188.850
"jun.-16",416.517,416.517,152.038,171.840
"jul.-16",426.714,426.714,160.022,168.600
"ago.-16",386.577,386.577,156.610,209.850
"set.-16",404.414,404.414,146.900,174.000
"oct.-16",421.097,421.097,151.943,188.800
"nov.-16",396.647,396.647,144.747,171.830
"dic.-16",399.159,399.159,154.596,234.180
