"METEO","TIMESTAMP","TEMPERATURA","HUMEDAD(%)","LLUVIA(MM)","VELOCIDAD DEL VIENTO(KM/H)","DIRECCION DEL VIENTO"
"TM1",01/01/2017 0:09,"7,6","88,34",0,0,12
"TM1",01/01/2017 0:19,"7,7","88,01",0,"3,84",8
"TM1",01/01/2017 0:29,"7,72","87,68",0,0,10
"TM1",01/01/2017 0:39,"7,68","87,54",0,0,12
"TM1",01/01/2017 0:49,"7,58","87,73",0,"0,48",12
"TM1",01/01/2017 0:59,"7,57","87,84",0,"1,92",1
"TM1",01/01/2017 1:09,"7,5","87,95",0,"1,44",7
"TM1",01/01/2017 1:19,"7,36","88,34",0,0,10
"TM1",01/01/2017 1:29,"7,25","88,57",0,0,8
"TM1",01/01/2017 1:39,"7,23","88,57",0,"2,4",8
"TM1",01/01/2017 1:49,"7,06","88,23",0,"1,92",10
"TM1",01/01/2017 1:59,"6,85","88,54",0,"1,92",7
"TM1",01/01/2017 2:09,"6,67","89,28",0,"1,92",8
"TM1",01/01/2017 2:19,"6,56","89,56",0,0,8
"TM1",01/01/2017 2:29,"6,46","90,39",0,"1,92",10
"TM1",01/01/2017 2:39,"6,36","90,72",0,0,10
"TM1",01/01/2017 2:49,"6,49","90,39",0,"2,88",10
"TM1",01/01/2017 2:59,"6,66","89,42",0,"1,44",10
"TM1",01/01/2017 3:09,"6,66","89,12",0,"1,92",10
"TM1",01/01/2017 3:19,"6,76","88,51",0,"1,92",5
"TM1",01/01/2017 3:29,"6,88","87,45",0,"1,92",10
"TM1",01/01/2017 3:39,"6,76","87,04",0,0,9
"TM1",01/01/2017 3:49,"6,75","87,37",0,"0,96",10
"TM1",01/01/2017 3:59,"6,65","87,29",0,"5,28",10
"TM1",01/01/2017 4:09,"6,53","88,37",0,"2,4",9
"TM1",01/01/2017 4:19,"6,52","88,79",0,"1,92",8
"TM1",01/01/2017 4:29,"6,4","88,54",0,"2,88",10
"TM1",01/01/2017 4:39,"6,32","89,56",0,"2,4",10
"TM1",01/01/2017 4:49,"6,44","89,34",0,"2,88",9
"TM1",01/01/2017 4:59,"6,38","89,56",0,"1,92",8
"TM1",01/01/2017 5:09,"6,42","89,86",0,"0,48",10
"TM1",01/01/2017 5:19,"6,32","89,64",0,0,8
"TM1",01/01/2017 5:29,"6,16","89,89",0,"0,48",10
"TM1",01/01/2017 5:39,"6,09","90,42",0,"4,8",10
"TM1",01/01/2017 5:49,"6,24","90,03",0,"0,96",12
"TM1",01/01/2017 5:59,"6,41","89,45",0,"4,32",8
"TM1",01/01/2017 6:09,"6,41","88,98",0,"3,36",9
"TM1",01/01/2017 6:19,"6,32","89,26",0,"3,84",10
"TM1",01/01/2017 6:29,"6,28","89,56",0,"6,24",9
"TM1",01/01/2017 6:39,"6,24","89,62",0,"3,36",12
"TM1",01/01/2017 6:49,"6,07",90,0,"4,32",10
"TM1",01/01/2017 6:59,6,"90,33",0,"5,28",8
"TM1",01/01/2017 7:09,"5,96","90,44",0,"6,72",10
"TM1",01/01/2017 7:19,6,"90,44",0,"1,92",8
"TM1",01/01/2017 7:29,"5,93","90,09",0,"5,28",4
"TM1",01/01/2017 7:39,"6,14","89,48",0,"2,4",10
"TM1",01/01/2017 7:49,"6,24","88,87",0,"2,4",10
"TM1",01/01/2017 7:59,"6,23","88,23",0,"8,64",10
"TM1",01/01/2017 8:09,"6,13","88,43",0,"3,36",10
"TM1",01/01/2017 8:19,"6,12","88,79",0,"5,76",8
"TM1",01/01/2017 8:29,"6,23","87,95",0,"5,28",8
"TM1",01/01/2017 8:39,"6,11","87,93",0,"3,36",10
"TM1",01/01/2017 8:49,"5,94","88,04",0,"4,32",8
"TM1",01/01/2017 8:59,"5,93","88,18",0,"2,4",9
"TM1",01/01/2017 9:09,"6,16","87,15",0,"3,36",6
"TM1",01/01/2017 9:19,"6,45","86,23",0,"4,32",8
"TM1",01/01/2017 9:29,"6,68","84,96",0,"0,96",0
"TM1",01/01/2017 9:39,"6,99","84,2",0,"0,96",6
"TM1",01/01/2017 9:49,"7,44","82,47",0,"8,64",8
"TM1",01/01/2017 9:59,"7,93","80,33",0,"1,92",7
"TM1",01/01/2017 10:09,"8,32","79,24",0,"1,44",8
"TM1",01/01/2017 10:19,"8,9","78,38",0,0,10
"TM1",01/01/2017 10:29,"9,56","76,52",0,"0,48",10
"TM1",01/01/2017 10:39,"10,46","73,54",0,"3,84",10
"TM1",01/01/2017 10:49,"11,34","70,5",0,"4,8",9
"TM1",01/01/2017 10:59,"11,59","70,11",0,"0,48",10
"TM1",01/01/2017 11:09,"12,43","68,71",0,0,11
"TM1",01/01/2017 11:19,"13,34","65,46",0,"2,88",9
"TM1",01/01/2017 11:29,"13,29","64,09",0,"2,4",8
"TM1",01/01/2017 11:39,"13,74","62,29",0,"1,92",8
"TM1",01/01/2017 11:49,"14,62","61,71",0,0,8
"TM1",01/01/2017 11:59,"14,6","60,2",0,0,10
"TM1",01/01/2017 12:09,15,"59,59",0,"2,4",12
"TM1",01/01/2017 12:19,"14,79","55,07",0,"3,36",7
"TM1",01/01/2017 12:29,"14,54","54,6",0,"2,4",4
"TM1",01/01/2017 12:39,"14,7","52,65",0,"10,08",9
"TM1",01/01/2017 12:49,"14,65","51,7",0,"8,64",9
"TM1",01/01/2017 12:59,"14,5","52,65",0,"3,84",10
"TM1",01/01/2017 13:09,"14,62","51,51",0,"2,4",9
"TM1",01/01/2017 13:19,"14,42","51,32",0,"0,96",12
"TM1",01/01/2017 13:29,"14,22","51,54",0,"3,36",0
"TM1",01/01/2017 13:39,"14,47","52,9",0,"3,36",10
"TM1",01/01/2017 13:49,"14,25","52,87",0,"1,92",10
"TM1",01/01/2017 13:59,"14,22","53,13",0,"4,8",10
"TM1",01/01/2017 14:09,"14,14","53,85",0,"1,92",9
"TM1",01/01/2017 14:19,"14,25","54,07",0,"1,44",10
"TM1",01/01/2017 14:29,"14,34","53,54",0,"3,84",3
"TM1",01/01/2017 14:39,"14,24","53,91",0,"2,88",14
"TM1",01/01/2017 14:49,"14,39","52,68",0,"4,8",8
"TM1",01/01/2017 14:59,"14,76","53,82",0,"2,88",2
"TM1",01/01/2017 15:09,"14,92","52,94",0,"1,44",11
"TM1",01/01/2017 15:19,"14,96","52,78",0,"4,8",7
"TM1",01/01/2017 15:29,"15,14","52,15",0,"2,4",11
"TM1",01/01/2017 15:39,"14,94","51,58",0,"2,88",5
"TM1",01/01/2017 15:49,"14,77","51,99",0,"3,36",2
"TM1",01/01/2017 15:59,"14,84","51,96",0,"6,24",6
"TM1",01/01/2017 16:09,"14,7","51,54",0,"7,2",7
"TM1",01/01/2017 16:19,"14,58","52,65",0,"1,92",15
"TM1",01/01/2017 16:29,"14,47","53,25",0,"9,6",8
"TM1",01/01/2017 16:39,"14,41","54,42",0,0,14
"TM1",01/01/2017 16:49,"14,24","53,98",0,"1,44",12
"TM1",01/01/2017 16:59,"14,04","54,98",0,"4,8",6
"TM1",01/01/2017 17:09,"13,75","55,54",0,"2,88",8
"TM1",01/01/2017 17:19,"13,26","56,51",0,"3,36",10
"TM1",01/01/2017 17:29,"12,72","58,78",0,"2,4",10
"TM1",01/01/2017 17:39,"12,23","60,51",0,"1,44",12
"TM1",01/01/2017 17:49,"11,88","62,5",0,"0,48",14
"TM1",01/01/2017 17:59,"11,74","62,78",0,"2,4",11
