"ANY","KILOS","MES","residuo","Gestor"
2016,53160,"GENER","PAPER I CARTÓ","ECOEMBES"
2016,46760,"FEBRER","PAPER I CARTÓ","ECOEMBES"
2016,49660,"MARÇ","PAPER I CARTÓ","ECOEMBES"
2016,49280,"ABRIL","PAPER I CARTÓ","ECOEMBES"
2016,53740,"MAIG","PAPER I CARTÓ","ECOEMBES"
2016,57760,"JUNY","PAPER I CARTÓ","ECOEMBES"
2016,49980,"JULIOL","PAPER I CARTÓ","ECOEMBES"
2016,48980,"AGOST","PAPER I CARTÓ","ECOEMBES"
2016,58980,"SETEMBRE","PAPER I CARTÓ","ECOEMBES"
2016,56100,"OCTUBRE","PAPER I CARTÓ","ECOEMBES"
2016,56860,"NOVEMBRE","PAPER I CARTÓ","ECOEMBES"
2016,63240,"DESEMBRE","PAPER I CARTÓ","ECOEMBES"
2016,51230,"GENER","PAPER RECUPERAT","SAICA NATUR, SL"
2016,50110,"FEBRER","PAPER RECUPERAT","SAICA NATUR, SL"
2016,53900,"MARÇ","PAPER RECUPERAT","SAICA NATUR, SL"
2016,52660,"ABRIL","PAPER RECUPERAT","SAICA NATUR, SL"
2016,56260,"MAIG","PAPER RECUPERAT","SAICA NATUR, SL"
2016,52040,"JUNY","PAPER RECUPERAT","SAICA NATUR, SL"
2016,52360,"JULIOL","PAPER RECUPERAT","SAICA NATUR, SL"
2016,52320,"AGOST","PAPER RECUPERAT","SAICA NATUR, SL"
2016,60390,"SETEMBRE","PAPER RECUPERAT","SAICA NATUR, SL"
2016,55724,"OCTUBRE","PAPER RECUPERAT","SAICA NATUR, SL"
2016,57378,"NOVEMBRE","PAPER RECUPERAT","SAICA NATUR, SL"
2016,32220,"DESEMBRE","PAPER RECUPERAT","SAICA NATUR, SL"
2016,3280,"GENER","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,2380,"FEBRER","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,6820,"MARÇ","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,4860,"ABRIL","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,5840,"MAIG","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,6880,"JUNY","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,6220,"JULIOL","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,4780,"AGOST","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,6820,"SETEMBRE","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,7440,"OCTUBRE","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,6680,"NOVEMBRE","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2016,8380,"DESEMBRE","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
