"Data sol·licitud","Registre","Organització","Tràmit","Administracion","Año"
"12/31/15","2015042091","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'INFRAESTRUCTURES, TERRITORI I MEDI AMBIENT. Direcció Territori","2015"
"12/31/15","2015042055","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'HISENDA I ADMINISTRACIÓ PÚBLICA. Direcció Territorial de Valèn","2015"
"12/31/15","2015042048","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'HISENDA I ADMINISTRACIÓ PÚBLICA. Direcció Territorial de Valèn","2015"
"12/31/15","2015042047","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","UNIVERSITAT JAUME I","2015"
"12/31/15","2015042045","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'INFRAESTRUCTURES, TERRITORI I MEDI AMBIENT. Direcció Territori","2015"
"12/31/15","2015042044","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'HISENDA I ADMINISTRACIÓ PÚBLICA. Direcció Territorial de Valèn","2015"
"12/30/15","2015042012","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'INFRAESTRUCTURES, TERRITORI I MEDI AMBIENT. Direcció Territori","2015"
"12/30/15","2015042009","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'INFRAESTRUCTURES, TERRITORI I MEDI AMBIENT. Direcció Territori","2015"
"12/30/15","2015042002","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'HISENDA I ADMINISTRACIÓ PÚBLICA. Direcció Territorial de Valèn","2015"
"12/30/15","2015041999","Servicio TDIC","TDIC-002 OTRAS ADMINISTRACIONES PÚBLICAS","GENERALITAT VALENCIANA. CONSELLERIA D'INFRAESTRUCTURES, TERRITORI I MEDI AMBIENT. Direcció Territori","2015"
