"Año","Cod_Municipio","Nom_Municipio","Desc_Concepto","Orden","Fecha_Alta_OT","Desc_OT","Direccion_OT","Provincia","Descripcion_Tarifa_Sub_1","Unidad_Medida_Sub_1","Descripcion_Tarifa_Sub_2","Ref_Catastral_Fin"
2017,46244,"TORRENT","VADOS","1029",16/06/1989,"CL MUSICO ANDREU NAVARRO 8 00","CL MUSICO ANDREU NAVARRO 8  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","103",14/04/1989,"CL BENEMERITA GUARDIA CIVIL 19 00 DC","CL BENEMERITA GUARDIA CIVIL 19  00 DC","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1030",05/06/1989,"CL NICOLAS ANDREU 13 00","CL NICOLAS ANDREU 13  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1032",22/06/1989,"CL FRANCISCO TARREGA 3 00","CL FRANCISCO TARREGA 3  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1033",22/06/1989,"CL MUSICO MARIANO PUIG YAGO 25 00","CL MUSICO MARIANO PUIG YAGO 25  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1034",21/04/1989,"CL PINTOR RIBERA 6 00 DC","CL PINTOR RIBERA 6  00 DC","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1035",18/04/1989,"CL LEON XIII 3 02 IZ","CL LEON XIII 3  02 IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1036",29/07/1989,"CL SANTO DOMINGO 12 00","CL SANTO DOMINGO 12  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1038",26/04/1989,"CL ZARAGOZA 6 00","CL ZARAGOZA 6  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1039",22/06/1989,"CL MAESTRO VICTORIANO ANDRES 9 00","CL MAESTRO VICTORIANO ANDRES 9  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1043",29/07/1989,"CL SILLA 4 00","CL SILLA 4  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1044",29/07/1989,"CL MARIA AUXILIADORA 7 00","CL MARIA AUXILIADORA 7  00","VALENCIA","CATEGORIA E MINUSVALIDO","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1048",14/09/1989,"CL PINTOR RENAU 21 00","CL PINTOR RENAU 21  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1051",27/11/1996,"CL REIAL CAMI 33 00 IZ","CL CAMI REIAL 33  00 IZ","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1052",27/11/1996,"CL REIAL CAMI 33 00 DC","CL CAMI REIAL 33  00 DC","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1053",26/09/1989,"CL TOLEDO 39 00","CL TOLEDO 39  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1054",24/04/1989,"CL SANTA TERESA 19 00","CL SANTA TERESA 19  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1056",13/10/1989,"CL ALMERIA 4 00","CL ALMERIA 4  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1057",13/10/1989,"CL ALMERIA 4 00 DC","CL ALMERIA 4  00 DC","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1060",25/04/1989,"CL VALENTIN PLANELLS 22 00 DC","CL VALENTIN PLANELLS 22  00 DC","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1063",02/11/1989,"CL VIRGEN DEL PUIG 14 00","CL VIRGEN DEL PUIG 14  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1064",10/10/1989,"CL ALCACER 25 00","CL ALCACER 25  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1067",21/04/1989,"AV PAIS VALENCIA 133 00 IZ","AV PAIS VALENCIA 133  00 IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1069",16/01/1991,"CL SAN BLAS 15 00","CL SAN BLAS 15  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1071",24/04/1989,"CL SAN PEDRO ALCANTARA 70 00 AC","CL SAN PEDRO ALCANTARA 70  00 AC","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1074",26/04/1989,"CL VIRGEN DE LA PAZ 29 00 IZ","CL VIRGEN DE LA PAZ 29  00 IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
