"NUM-REG","registro-entrada","CODPOS","MUNICIPIO","SECTOR","CAUSA","FECHA","AÑO","MEDIACION-EMPRESA","ESTADO","INHIBICIÓN A"
1,2016000047,"46900","TORRENT","ROPA-CALZADO","PRESTACIÓN DE SERVICIOS",4 de ene de 16,"/2016",,,
2,2016000089,"46900","TORRENT","OTROS","PRESTACIÓN DE SERVICIOS",4 de ene de 16,"/2016",,,
3,2016000125,"46900","TORRENT","OTROS","CLÁUSULAS ABUSIVAS",5 de ene de 16,"/2016",,,
4,2016000128,"46900","TORRENT","OTROS","CLÁUSULAS ABUSIVAS",5 de ene de 16,"/2016",28 de ene de 16,,
5,2016000173,"46900","TORRENT","BANCA","PRESTACIÓN DE SERVICIOS",5 de ene de 16,"/2016",,,"CATARROJA"
6,2016000219,"46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS",7 de ene de 16,"/2016",27 de ene de 16,,
7,2016000224,"46900","TORRENT","OTROS","PRESTACIÓN DE SERVICIOS",7 de ene de 16,"/2016",28 de ene de 16,,
8,2015000255,"46900","TORRENT","GRANDES SUPERFICIES","PRESTACIÓN DE SERVICIOS",7 de ene de 16,"/2016",27 de ene de 16,,
9,2016000360,"46900","TORRENT","AEROLÍNEAS","PRESTACIÓN DE SERVICIOS",8 de ene de 16,"/2016",28 de ene de 16,,
10,2016000365,"46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS",8 de ene de 16,"/2016",29 de ene de 16,,"MANISES"
11,2015000447,"46900","TORRENT","INFORMATICA","PRESTACIÓN DE SERVICIOS",8 de ene de 16,"/2016",,,
12,2016000613,"46900","TORRENT","INFORMATICA","PRESTACIÓN DE SERVICIOS",12 de ene de 16,"/2016",,,
13,2016000864,"46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS",13 de ene de 16,"/2016",,,
14,2016000911,"46370","CHIVA","TELEFONÍA E INTERNET","PRECIOS",13 de ene de 16,"/2016",28 de ene de 16,,
15,2016001198,"46900","TORRENT","AUTOMOCIÓN","PRESTACIÓN DE SERVICIOS",15 de ene de 16,"/2016",27 de ene de 16,,
16,2016001226,"46900","TORRENT","I.T.V.","PRESTACIÓN DE SERVICIOS",15 de ene de 16,"/2016",27 de ene de 16,,"SERVICIO TERRITORIAL CONSUMO"
17,2016001448,"46900","TORRENT","GASOLINERAS","PRESTACIÓN DE SERVICIOS",18 de ene de 16,"/2016",,,
18,2016001651,"46900","TORRENT","DEPORTES","INCUMPLIMIENTO CONDICIONES VENTA",19 de ene de 16,"/2016",15 de feb de 16,,
19,2016001712,"46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS",19 de ene de 16,"/2016",15 de feb de 16,,
20,2016001819,"46900","TORRENT","BANCA","PRESTACIÓN DE SERVICIOS",20 de ene de 16,"/2016",29 de mar de 16,,
21,2016002049,"46900","TORRENT","TELEFONÍA E INTERNET","PRESTACIÓN DE SERVICIOS",21 de ene de 16,"/2016",15 de feb de 16,,
22,2016002120,"46900","TORRENT","DEPORTES","INCUMPLIMIENTO CONDICIONES VENTA",21 de ene de 16,"/2016",16 de feb de 16,,
