"Nombre","Lat","Long","DESCRIP","URL"
"100B","39,4229","-0,5788","",""
"100I","39,4163","-0,5981","",""
"100J","39,4129","-0,5666","",""
"100K","39,3972","-0,5906","",""
"100L","39,4061","-0,569","",""
"100LL","39,3923","-0,5761","",""
"100M","39,4011","-0,5571","",""
"100N","39,3953","-0,5557","",""
"100R","39,4082","-0,5425","",""
"101B","39,4227","-0,5795","",""
"101I","39,4166","-0,5986","",""
"101J","39,4129","-0,567","",""
"101K","39,3974","-0,5902","",""
"101L","39,4097","-0,5687","",""
"101LL","39,3918","-0,5762","",""
"101M","39,4007","-0,5608","",""
"101N","39,394","-0,5535","",""
"101P","39,4109","-0,5112","",""
"101R","39,4082","-0,5417","",""
"102B","39,4228","-0,5798","",""
"102F","39,4369","-0,5183","",""
"102I","39,4166","-0,5979","",""
"102J","39,4129","-0,567","",""
"102K","39,3974","-0,5895","",""
"102L","39,4097","-0,569","",""
"102LL","39,391","-0,5757","",""
"102M","39,3996","-0,5597","",""
"102P","39,4103","-0,5103","",""
"102R","39,4083","-0,542","",""
"103B","39,4229","-0,5802","",""
"103I","39,4165","-0,5983","",""
"103J","39,4127","-0,5669","",""
"103K","39,394","-0,5865","",""
"103L","39,4096","-0,5694","",""
"103LL","39,3904","-0,5758","",""
"103M","39,3997","-0,5582","",""
"103N","39,3905","-0,5521","",""
"103P","39,4102","-0,5108","",""
"103R","39,4085","-0,542","",""
"104B","39,423","-0,5812","",""
"104I","39,4168","-0,5982","",""
"104J","39,4115","-0,5677","",""
"104K","39,3948","-0,5861","",""
"104L","39,4098","-0,5695","",""
"104LL","39,3906","-0,576","",""
"104M","39,3998","-0,5578","",""
"104N","39,3961","-0,5449","",""
"104P","39,4099","-0,5098","",""
"104R","39,4086","-0,5423","",""
"105B","39,4232","-0,5807","",""
"105I","39,4172","-0,5982","",""
"105J","39,4118","-0,5677","",""
"105K","39,3954","-0,5858","",""
"105L","39,4098","-0,5698","",""
"105LL","39,3907","-0,5762","",""
"105M","39,3996","-0,5579","",""
"105N","39,3986","-0,5389","",""
"105P","39,4107","-0,5122","",""
"106B","39,4232","-0,5805","",""
"106I","39,4173","-0,5984","",""
"106J","39,4113","-0,5681","",""
"106K","39,3955","-0,586","",""
"106L","39,4093","-0,57","",""
"106LL","39,3909","-0,5764","",""
"106M","39,399","-0,5598","",""
"106N","39,4028","-0,5338","",""
"106P","39,4089","-0,5122","",""
"107B","39,4233","-0,5802","",""
"107I","39,4159","-0,6002","",""
"107J","39,4115","-0,5685","",""
"107K","39,3956","-0,5863","",""
"107L","39,4101","-0,5716","",""
"107LL","39,3913","-0,5763","",""
"107M","39,3982","-0,5595","",""
"107N","39,4008","-0,5317","",""
"107P","39,4079","-0,513","",""
"107R","39,4076","-0,5456","",""
"108B","39,4237","-0,58","",""
"108I","39,416","-0,5997","",""
"108J","39,4125","-0,5705","",""
"108K","39,3957","-0,5874","",""
"108L","39,4101","-0,5721","",""
"108LL","39,3911","-0,5774","",""
"108M","39,3981","-0,5591","",""
"108N","39,4011","-0,5344","",""
"108P","39,4081","-0,5124","",""
"108R","39,4073","-0,5454","",""
"109B","39,4249","-0,5809","",""
"109F","39,4364","-0,5172","",""
"109I","39,4159","-0,5994","",""
"109J","39,4128","-0,5719","",""
"109K","39,3957","-0,588","",""
"109L","39,4094","-0,5724","",""
"109LL","39,3919","-0,5769","",""
"109M","39,3982","-0,5599","",""
"109P","39,4064","-0,5127","",""
"109R","39,4074","-0,5461","",""
"10A","39,4411","-0,6121","",""
"10B","39,429","-0,6104","",""
"10C","39,4276","-0,5385","",""
"10D","39,4395","-0,5381","",""
"10F","39,4392","-0,5186","",""
"10G","39,4379","-0,5064","",""
"10I","39,4186","-0,5765","",""
"10J","39,4109","-0,5609","",""
"10K","39,4007","-0,5835","",""
"10L","39,4096","-0,5609","",""
"10LL","39,4002","-0,5689","",""
"10M","39,4047","-0,5425","",""
"10N","39,4091","-0,5327","",""
"10Ñ","39,4068","-0,516","",""
"10O","39,3926","-0,5309","",""
"10P","39,413","-0,4986","",""
"10Q","39,4232","-0,5164","",""
"10R","39,4216","-0,5314","",""
"10RR","39,4269","-0,5054","",""
"10V","39,4473","-0,4582","",""
"10X","39,4206","-0,4523","",""
"10Z","39,4367","-0,4456","",""
"110B","39,4245","-0,5809","",""
"110I","39,4162","-0,6002","",""
"110J","39,4134","-0,5702","",""
"110K","39,3972","-0,5878","",""
"110L","39,4093","-0,5731","",""
"110LL","39,3915","-0,5773","",""
"110M","39,3978","-0,5601","",""
"110P","39,4062","-0,5122","",""
"110R","39,4072","-0,5458","",""
"111B","39,4245","-0,5806","",""
"111I","39,4159","-0,6005","",""
"111J","39,4136","-0,57","",""
"111K","39,3973","-0,5873","",""
"111L","39,4102","-0,5714","",""
"111LL","39,3911","-0,5777","",""
"111M","39,3969","-0,5591","",""
"111N","39,4033","-0,5343","",""
"111P","39,4061","-0,5126","",""
"112B","39,4241","-0,58","",""
"112I","39,4161","-0,6006","",""
"112J","39,414","-0,5701","",""
"112K","39,3989","-0,5918","",""
"112L","39,4105","-0,5717","",""
"112LL","39,3909","-0,5783","",""
"112M","39,397","-0,5593","",""
"112N","39,4029","-0,5334","",""
"112P","39,4046","-0,5133","",""
"112R","39,4085","-0,5471","",""
"113B","39,4243","-0,58","",""
"113I","39,4163","-0,6004","",""
"113J","39,4142","-0,5701","",""
"113K","39,3989","-0,592","",""
"113L","39,4105","-0,5722","",""
"113LL","39,3905","-0,5789","",""
"113M","39,3968","-0,5601","",""
"113N","39,4082","-0,5289","",""
"114B","39,4245","-0,5798","",""
"114I","39,4163","-0,601","",""
"114J","39,4142","-0,5694","",""
"114K","39,3997","-0,5885","",""
"114L","39,41","-0,5725","",""
"114LL","39,3899","-0,5753","",""
"114M","39,3975","-0,5603","",""
"115B","39,4238","-0,5795","",""
"115I","39,4165","-0,6004","",""
"115J","39,4138","-0,5691","",""
"115K","39,3973","-0,5853","",""
"115L","39,4099","-0,5727","",""
"115LL","39,3897","-0,5754","",""
"115M","39,3977","-0,5603","",""
"116B","39,4235","-0,5796","",""
"116I","39,4166","-0,6007","",""
"116J","39,4113","-0,5725","",""
"116K","39,3971","-0,5844","",""
"116L","39,4098","-0,573","",""
"116LL","39,3895","-0,5756","",""
"116M","39,3987","-0,56","",""
"116P","39,4018","-0,5159","",""
"117B","39,4232","-0,5796","",""
"117I","39,4165","-0,6012","",""
"117J","39,4115","-0,5724","",""
"117K","39,3977","-0,5857","",""
"117L","39,4103","-0,5727","",""
"117LL","39,39","-0,5762","",""
"117M","39,4005","-0,5612","",""
"117P","39,4017","-0,5157","",""
"118B","39,4245","-0,5789","",""
"118I","39,4167","-0,6014","",""
"118J","39,4117","-0,5724","",""
"118K","39,3997","-0,5863","",""
"118L","39,4097","-0,5736","",""
"118LL","39,3902","-0,5764","",""
"118M","39,4008","-0,5628","",""
"118P","39,4017","-0,517","",""
"118R","39,4068","-0,5456","",""
"119B","39,4243","-0,5789","",""
"119I","39,418","-0,6023","",""
"119J","39,411","-0,573","",""
"119K","39,4003","-0,5838","",""
"119L","39,4095","-0,5765","",""
"119LL","39,3922","-0,5795","",""
"119M","39,401","-0,5633","",""
"119P","39,4014","-0,5163","",""
"119R","39,4068","-0,5462","",""
