"PARTIDOS","LOCALES.2015","LOCALES.2011","","LOCALES.2007","LOCALES.2003","","LOCALES.1999","LOCALES.1995"
"Censo","58955","58285","55929","54055","52040","46405"
"V.BLANCO","427","621","414","425","484","380"
"V.NULOS","339","373","145","102","209","159"
"PSOE","11301","12576","13901","19355","14544","13886"
"EUPV-VERDS-IR","","1514","1321","1241","1388","3159"
"ERPV","","","96","","",""
"UV-LVE","","","1304","1808","2300","2397"
"CVa","","","305","","",""
"PSD","","","388","527","",""
"PP","12225","18753","15117","10124","11010","11957"
"UxT","","","130","","",""
"CENTRISTAS","","","51","","",""
"BLOC-VERDS","","","1837","1756","1360","0"
"Compromís","6241","2919","","","",""
"E2000","347","1143","","","",""
"UPYD","1032","1014","","","",""
"PCPE","","57","","","",""
"CVA","","120","","","",""
"UxV","359","","","","",""
"UCE","48","","","","",""
"Ganemos","1910","","","","",""
"Vox","193","","","","",""
"Ciudadanos","3133","","","","",""
"Actúa","Torrent","692","","","","",""
"GT-EUPV-EV-ERPV-AS:AC","2199","","","","",""
"Movimiento","Social","Republicano","58","","","","",""
