X,Y,DESCRIP,URL,Nombre,Lat,Long
-0.462516471916744,39.432867596421723,C/ POLICÍA lOCAL S/N,,CEFIRE DE TORRENT,39.432868,-0.462516
-0.495096397957604,39.416195810716019,"C/ FONT DE MANYES, 2",,C.C. EDUCACION ESPECIAL ESQUEMA,39.416196,-0.495096
-0.461562891316151,39.44281068074676,"C/ GÓMEZ FERRER, 112",,C.C. EDUCACION ESPECIAL TORREPINOS,39.442811,-0.461563
-0.457364094595277,39.436223459578727,PROLONGACIÓN C/ ESPARTERO S/N,,C. EDUCACION ESPECIAL ATAM,39.436223,-0.457364
-0.477318375013609,39.426712298018572,"C/ PARE MÉNDEZ, 153",,C.P. EDUCACION ESPECIAL LA ENCARNACION,39.426712,-0.477318
-0.464421291732286,39.434801042727898,"PL. SAN PASCUAL, 20",,C.P. DE FORMACION DE PERSONAS ADULTAS,39.434801,-0.464421
-0.474560765144762,39.434877623994602,"C/ FEDERICO MAICAS, 26-B",,C.P. DE FORMACION DE PERSONAS ADULTAS,39.434878,-0.474561
-0.500510750345093,39.420042078977723,"C/ MENDEZ NÚÑEZ, 21",,C.C. EL DRAC,39.420042,-0.500511
-0.468436666663194,39.411176917488483,"CAMÍ DEL REALÓN, 19",,C.C. EL VEDAT,39.411177,-0.468437
-0.467355488150492,39.436864998061523,"PÇ. CORTS VALENCIANES, 16",,C.C. LA PURISIMA,39.436865,-0.467355
-0.491468942719135,39.416946428402191,"C/ MARE DE DÉU DE GUADALUPE, 5",,C.C. MADRE PETRA,39.416946,-0.491469
-0.484228873428731,39.425132323962167,"AVD. AL VEDAT, 188",,C.C. MADRE SACRAMENTO,39.425132,-0.484229
-0.467011063961787,39.432262920779543,"PL. DOMINICAL, 6",,C.C. MARIA AUXILIADORA,39.432263,-0.467011
-0.46445797432205,39.432828879881832,"AVD. PARE PRUCDENCIO, 10",,C.C. MONTE SION,39.432829,-0.464458
-0.497045641100819,39.421120684183713,"C/ JOQUIM COSTA, 26",,C.C. PLEYADE,39.421121,-0.497046
-0.462482919173064,39.438272239113033,"C/ MESTRE GINER, 20",,C.C. SAN JOSE Y SANTA ANA,39.438272,-0.462483
-0.483109363230963,39.429126104455811,"C/ CONSTITUCIÓ, 76",,C.C. SANTA TERESA,39.429126,-0.483109
-0.480812262119379,39.433878138661711,"CAMÍ REIAL, 120",,C.C. SANTO TOMAS,39.433878,-0.480812
-0.500067503177345,39.416194701313792,"PARTIDA DE L'ALBERCA, 51",,C. PRIVADO JULIO VERNE,39.416195,-0.500068
-0.478187860586041,39.43223565408644,"C/ AZORÍN, 13",,C.P. ANTONIO MACHADO,39.432236,-0.478188
-0.457657613676992,39.439013644870833,"C/ GRANERERS, 6",,C.P. EL MOLI,39.439014,-0.457658
-0.479240805844542,39.432997228205963,"C/ SIMANCAS, 1",,C.P. FEDERICO MAICAS,39.432997,-0.479241
-0.466497901017817,39.440972413746103,"C/ JOAN XXIII, 4",,C.P. JUAN XXIII,39.440972,-0.466498
-0.469688931091423,39.442690559889883,"PARTIDA L'ALTER, 31",,C.P. JUAN XXIII L'ALTER,39.442691,-0.469689
-0.470658302823502,39.435810790272697,"C/ DOCTOR FRANCISCO ROSELLÓ, 25",,C.P. LOPE DE VEGA,39.435811,-0.470658
-0.460444956757899,39.438723225424333,"C/ GABRIELA MISTRAL, 4",,C.P. MARE DE DEU DEL ROSARI,39.438723,-0.460445
-0.478489834880954,39.431593557693738,"C/ CONSTITUCIÓ, 64",,C.P. MIGUEL HERNANDEZ,39.431594,-0.478490
-0.465593761532777,39.430340146038617,"C/ SANT JOAN BAPTISTA, 22",,C.P. SAN JUAN BAUTISTA,39.430340,-0.465594
-0.475016505867558,39.428049707889073,"C/ PARE MÉNDEZ, 149",,C.P. SAN PASCUAL,39.428050,-0.475017
-0.475173973218488,39.435269321444409,"C/ PINTOR RIBERA, 30",,ESCUELA INFANTIL PULGARCITO,39.435269,-0.475174
-0.466638634105832,39.435656341836342,"AVD. AL VEDAT, 21",,ESCUELA OFICIAL DE IDIOMAS/AULARIO TORRENT,39.435656,-0.466639
-0.466647555598835,39.439408116696143,"C/ SANTA LLUCIA, 38",,ESCUELA INFANTIL CASA CARIDAD,39.439408,-0.466648
-0.476087174592207,39.427352239225833,"C/ PARE MÉNDEZ, 151",,IES LA MARXADELLA,39.427352,-0.476087
-0.466014665353793,39.429304281147971,"C/ CORONA D'ARAGÓ, 1",,IES SERRA PERENXISA,39.429304,-0.466015
-0.463801413721175,39.433634372834383,"C/ FRA LLUÍS AMIGÓ, 41",,IES TIRANT LO BLANC,39.433634,-0.463801
-0.476942043090302,39.423298732207002,"C/ CAMÍ DELS CÀNTERS, S/N",,IES VELES E VENTS,39.423299,-0.476942
-0.464158644742499,39.430191732513237,"C/ VIRGEN DE LA SOLEDAD, S/N",,"UNIVERSIDAD CATOLICA""SAN VICENTE MARTIR""",39.430192,-0.464159
-0.479036328773785,39.426425241612499,"C/ MESTRE L. FUERTES JÚLVEZ, 19",,C.P. DE EDUCACION INFATIL Y PRIMARIA Nº 10,39.426425,-0.479036
-0.496853906750491,39.400844061567945,"PARTIDA CASETA DE CAPA, 38",,C. EDUCACION ESPECIAL LA UNION,39.400844,-0.496854
-0.480940100856053,39.429095152036084,"C/ CONSTITUCIÓ, 55",,"C.P. DE EDUCACIÓN INFANTIL Y PRIMARIA ""LES TERRETES""",39.429095,-0.480940
