"ANY","KILOS","MES","residuo","Gestor"
2015,53940,"GENER","ENVASES DE PLÀSTIC","ECOEMBES"
2015,48580,"FEBRER","ENVASES DE PLÀSTIC","ECOEMBES"
2015,56420,"MARÇ","ENVASES DE PLÀSTIC","ECOEMBES"
2015,55000,"ABRIL","ENVASES DE PLÀSTIC","ECOEMBES"
2015,57820,"MAIG","ENVASES DE PLÀSTIC","ECOEMBES"
2015,62040,"JUNY","ENVASES DE PLÀSTIC","ECOEMBES"
2015,55980,"JULIOL","ENVASES DE PLÀSTIC","ECOEMBES"
2015,52840,"AGOST","ENVASES DE PLÀSTIC","ECOEMBES"
2015,65940,"SETEMBRE","ENVASES DE PLÀSTIC","ECOEMBES"
2015,59060,"OCTUBRE","ENVASES DE PLÀSTIC","ECOEMBES"
2015,55140,"NOVEMBRE","ENVASES DE PLÀSTIC","ECOEMBES"
2015,62220,"DESEMBRE","ENVASES DE PLÀSTIC","ECOEMBES"
