Ed.,AÑO,ATLETA,CLUB,MARCA,CATEGORIA
I,2014,IVÁN ROBLES COLLADO,CA PATERNA RUNNING,"33' 54""",HOMBRES
II,2015,IVÁN ROBLES COLLADO,CA ORERO PATERNA,"34' 47""",HOMBRES
III,2016,IVÁN ROBLES COLLADO,C.S. ORERO PATERNA,"34' 35""",HOMBRES
I,2014,VIRGINIA OCAÑA CASTILLO,INDEPENDIENTE,"41' 20""",MUJERES
II,2015,MAR NAVARRO PEDRÓS,MORVEDRE TRIATLÓN,"44' 37""",MUJERES
III,2016,ELIA FUENTES ALBERO,INDEPENDIENTE,"42' 29""",MUJERES
