"Nombre","Lat","Long","DESCRIP","URL"
"92N","39.390721","-0.55624",,
"94N","39.389762","-0.556725",,
"100N","39.395357","-0.555527",,
"1L","39.405007","-0.551224",,
"3L","39.405333","-0.551714",,
"248L","39.405189","-0.551745",,
"12L","39.406011","-0.559892",,
"14L","39.405991","-0.559485",,
"16L","39.405642","-0.559684",,
"17L","39.405915","-0.558819",,
"19L","39.406564","-0.558768",,
"21L","39.404976","-0.558472",,
"23L","39.404106","-0.557645",,
"25L","39.403917","-0.557272",,
"27L","39.405063","-0.5557",,
"28L","39.40368","-0.557805",,
"30L","39.403894","-0.558375",,
"32L","39.403885","-0.558865",,
"34L","39.403182","-0.560464",,
"37L","39.402454","-0.560435",,
"38L","39.401655","-0.560808",,
"250L","39.406118","-0.558291",,
"118R","39.406874","-0.545218",,
"120R","39.406267","-0.544669",,
"122R","39.406257","-0.544231",,
"124R","39.405836","-0.546441",,
"126R","39.40548","-0.547733",,
"130R","39.405676","-0.551049",,
"132R","39.405564","-0.551983",,
"123R","39.40601","-0.545864",,
"113R","39.406825","-0.546696",,
"220R","39.405357","-0.548284",,
"222R","39.405066","-0.550154",,
"223R","39.405611","-0.552251",,
"44N","39.400871","-0.539392",,
"46N","39.401792","-0.540164",,
"48N","39.402335","-0.540198",,
"50N","39.402492","-0.539485",,
"51N","39.402985","-0.539795",,
"53N","39.402048","-0.541521",,
"58N","39.398263","-0.548593",,
"6M","39.405247","-0.541791",,
"9M","39.405148","-0.542889",,
"11M","39.404137","-0.542975",,
"12M","39.405523","-0.54409",,
"14M","39.405104","-0.54692",,
"16M","39.404972","-0.547901",,
"18M","39.404509","-0.547788",,
"20M","39.404235","-0.547552",,
"22M","39.403566","-0.547033",,
"23M","39.403223","-0.546493",,
"25M","39.402256","-0.545085",,
"27M","39.401605","-0.544216",,
"29M","39.402573","-0.54648",,
"31M","39.402601","-0.547244",,
"33M","39.402174","-0.548128",,
"34M","39.402093","-0.548279",,
"36M","39.401191","-0.548779",,
"38M","39.402148","-0.54983",,
"40M","39.402351","-0.549701",,
"42M","39.402339","-0.549136",,
"43M","39.402153","-0.54892",,
"45M","39.40259","-0.548612",,
"47M","39.402683","-0.547742",,
"91R","39.412832","-0.534806",,
"92R","39.412866","-0.53436",,
"93R","39.412112","-0.534259",,
"94R","39.410681","-0.538013",,
"95R","39.410732","-0.538738",,
"78R","39.41264","-0.537523",,
"205R","39.415041","-0.536843",,
"206R","39.414372","-0.538296",,
"207R","39.412904","-0.538109",,
"208R","39.411924","-0.537987",,
"209R","39.410752","-0.537487",,
"56Q","39.414312","-0.527356",,
"57Q","39.413694","-0.526936",,
"58Q","39.413472","-0.527392",,
"59Q","39.413586","-0.528453",,
"60Q","39.413902","-0.528771",,
"61Q","39.413897","-0.529254",,
"62Q","39.41268","-0.528065",,
"63Q","39.412171","-0.528882",,
"64Q","39.411425","-0.52544",,
"78Q","39.415077","-0.529446",,
"79Q","39.411469","-0.528399",,
"80Q","39.409477","-0.525247",,
"82Q","39.408764","-0.524705",,
"5Y","39.433106","-0.449172",,
"237I","39.415949","-0.60007",,
"237B","39.425822","-0.598175",,
"6O","39.391334","-0.52938",,
"7O","39.391745","-0.530131",,
"5O","39.391152","-0.527397",,
"2O","39.393823","-0.524115",,
"30O","39.389821","-0.535112",,
"238B","39.423842","-0.587114",,
"267J","39.416306","-0.572098",,
"55�","39.398325","-0.530023",,
"15V","39.44741","-0.459993",,
"131K","39.397937","-0.586446",,
"73D","39.429924","-0.530494",,
"79D b","39.429385","-0.531392",,
"194F","39.43679","-0.517457",,
"201F","39.436549","-0.517123",,
"231P","39.407996","-0.5052",,
"18A","39.419873","-0.490628",,
"132K","39.398596","-0.585929",,
"235P","39.403166","-0.502922",,
"268J","39.414068","-0.560044",,
"329L","39.403533","-0.578223",,
"236P","39.406467","-0.507112",,
"241B","39.430845","-0.609195",,
"227I","39.424701","-0.607388",,
"133K","39.397778","-0.584711",,
"330L","39.4054","-0.558042",,
"99C","39.427575","-0.543476",,
"206F","39.436109","-0.52198",,
"228I","39.418745","-0.57694",,
"45G","39.429935","-0.502428",,
"150R","39.409669","-0.546216",,
"26C","39.425932","-0.540617",,
"27C","39.425668","-0.541307",,
"28C","39.425208","-0.541802",,
"29C","39.424862","-0.542126",,
"30C","39.425082","-0.542567",,
"31C","39.425286","-0.542553",,
"32C","39.425647","-0.541862",,
"33C","39.425937","-0.542157",,
"34C","39.425578","-0.542242",,
"35C","39.42571","-0.542511",,
"36C","39.426176","-0.542483",,
"37C","39.426174","-0.542384",,
"38C","39.426039","-0.542659",,
"39C","39.425856","-0.542921",,
"40C","39.426028","-0.543209",,
"41C","39.425735","-0.543023",,
"42C","39.42558","-0.543143",,
"43C","39.42541","-0.543134",,
"44C","39.424942","-0.542966",,
"47C","39.425333","-0.543569",,
"48C","39.426368","-0.543376",,
"49C","39.42677","-0.543278",,
"50C","39.42586","-0.543994",,
"54C","39.424981","-0.543947",,
"59C","39.426006","-0.541022",,
"61C","39.425191","-0.54145",,
"46C","39.42488","-0.543413",,
"69C","39.424842","-0.544623",,
"70C","39.425007","-0.544667",,
"72C","39.425417","-0.545365",,
"74C","39.425817","-0.545774",,
"76C","39.424648","-0.546322",,
"86C","39.425216","-0.547757",,
"88C","39.425029","-0.54821",,
"84C","39.424938","-0.546918",,
"80�","39.407857","-0.517926",,
"320L","39.406455","-0.586076",,
"9B","39.428531","-0.545847",,
4,"39.42173","-0.490063",,
"322L","39.402511","-0.579338",,
"95C","39.427753","-0.542941",,
"94C","39.427407","-0.542634",,
"222I","39.418283","-0.607311",,
"54CH","39.4301","-0.543227",,
"157F","39.436427","-0.525424",,
"223I","39.417019","-0.584017",,
"128K","39.405508","-0.588121",,
"85Q","39.42539","-0.515386",,
"82�","39.408319","-0.517477",,
"81�","39.408116","-0.517616",,
"84�","39.408968","-0.518455",,
"257P","39.408266","-0.505627",,
"85�","39.408988","-0.519878",,
"145LL","39.39635","-0.5791",,
"224I","39.41792","-0.606259",,
"129K","39.393822","-0.586837",,
"176F","39.436149","-0.51499",,
"198F","39.437085","-0.516267",,
"160I","39.417288","-0.602838",,
"239B","39.424096","-0.581881",,
"228P","39.402282","-0.513736",,
"230P","39.408547","-0.505124",,
"141B","39.422576","-0.57344",,
"100J","39.412956","-0.566505",,
"7Q","39.408915","-0.525094",,
"233B","39.427742","-0.599426",,
"32B","39.437173","-0.611211",,
"30B","39.435731","-0.611112",,
"3A","39.441046","-0.611597",,
"99P","39.413586","-0.509051",,
"8I","39.418281","-0.575945",,
"234B","39.425349","-0.538737",,
"87V","39.442602","-0.471943",,
"235B","39.426159","-0.597784",,
"200F","39.439473","-0.516897",,
"87�","39.393371","-0.534241",,
"32�","39.409736","-0.522355",,
"37�","39.399458","-0.530865",,
"265J","39.411131","-0.566664",,
"266J","39.412609","-0.5999",,
"89�","39.399933","-0.530898",,
"98R","39.408736","-0.539118",,
"99R","39.407473","-0.542166",,
"100R","39.408285","-0.542386",,
"101R","39.408286","-0.541518",,
"102R","39.408329","-0.54185",,
"103R","39.408573","-0.541862",,
"104R","39.408696","-0.542179",,
"107R","39.407636","-0.545444",,
"108R","39.407386","-0.545299",,
"109R","39.40744","-0.546012",,
"110R","39.407211","-0.545643",,
"112R","39.408561","-0.546999",,
"128R","39.407383","-0.549519",,
"226R","39.407413","-0.55234",,
"135R","39.408313","-0.551673",,
"136R","39.408666","-0.550249",,
"137R","39.408901","-0.549653",,
"138R","39.409198","-0.549757",,
"139R","39.409424","-0.549741",,
"140R","39.409721","-0.549738",,
"141R","39.410424","-0.549406",,
"142R","39.4108","-0.549355",,
"144R","39.411275","-0.549466",,
"145R","39.41101","-0.549812",,
"146R","39.411432","-0.549658",,
"148R","39.410535","-0.548357",,
"156R","39.413693","-0.545619",,
"154R","39.412105","-0.548189",,
"161R","39.411661","-0.547965",,
"163R","39.411681","-0.548553",,
"166R","39.411266","-0.549951",,
"168R","39.411087","-0.550508",,
"169R","39.4119","-0.553629",,
"171R","39.412035","-0.554222",,
"173R","39.411158","-0.554798",,
"175R","39.411185","-0.556293",,
"177R","39.41096","-0.55684",,
"178R","39.410827","-0.557007",,
"180R","39.410589","-0.557367",,
"182R","39.409454","-0.55571",,
"187R","39.41381","-0.552177",,
"191R","39.41503","-0.557857",,
"192R","39.4146","-0.557507",,
"211R","39.408836","-0.539834",,
"213R","39.407199","-0.542676",,
"215R","39.407643","-0.544652",,
"217R","39.407967","-0.547372",,
"134R","39.407248","-0.552922",,
"227R","39.407347","-0.553512",,
"230R","39.412062","-0.547392",,
"237R","39.413441","-0.552674",,
"238R","39.413994","-0.553669",,
"240R","39.413064","-0.540861",,
"52R","39.416751","-0.539333",,
"54R","39.416027","-0.539054",,
"56R","39.416507","-0.541751",,
"191R","39.418997","-0.538773",,
"193R","39.418728","-0.539015",,
"195R","39.418546","-0.539384",,
"197R","39.418771","-0.539824",,
"199R","39.419176","-0.539303",,
"201R","39.419521","-0.538932",,
"202R","39.419684","-0.538947",,
"149B","39.417312","-0.561174",,
"186B","39.41744","-0.558678",,
"158B","39.419074","-0.547821",,
"160B","39.419707","-0.546306",,
"161B","39.42034","-0.545809",,
"163B","39.420856","-0.545491",,
"165B","39.421291","-0.545729",,
"167B","39.419267","-0.543768",,
"170B","39.420856","-0.540604",,
"172B","39.42231","-0.539259",,
"174B","39.421169","-0.539516",,
"172B","39.420819","-0.544837",,
"227B","39.421462","-0.547589",,
"229B","39.422638","-0.539795",,
"98B","39.424841","-0.549818",,
"65C","39.424502","-0.543234",,
"67C","39.4245","-0.544535",,
"78C","39.424477","-0.546444",,
"80C","39.423916","-0.546921",,
"82C","39.42486","-0.547179",,
"83C","39.424403","-0.547009",,
"85D","39.429038","-0.539824",,
"71D","39.42896","-0.540264",,
"52CH","39.42997","-0.544839",,
"55CH","39.427788","-0.545007",,
"10C","39.427653","-0.538384",,
"12C","39.427248","-0.538448",,
"14C","39.426784","-0.538594",,
"16C","39.426591","-0.539051",,
"18C","39.42714","-0.538905",,
"21C","39.426508","-0.540552",,
"22C","39.426383","-0.540617",,
"24C","39.425939","-0.540266",,
"49M","39.402891","-0.548194",,
"50M","39.40315","-0.548078",,
"51M","39.403278","-0.548194",,
"52M","39.40287","-0.548704",,
"53M","39.402761","-0.548824",,
"54M","39.402491","-0.549107",,
"55M","39.402588","-0.549391",,
"56M","39.40283","-0.549281",,
"57M","39.403175","-0.548977",,
"58M","39.402868","-0.550109",,
"59M","39.40298","-0.549948",,
"60M","39.403107","-0.549855",,
"61M","39.40332","-0.549532",,
"62M","39.403393","-0.548876",,
"63M","39.405111","-0.548233",,
"64M","39.404843","-0.548412",,
"65M","39.404887","-0.54896",,
