"ANY","KILOS","MES","residuo","Gestor"
2016,64599,"GENER","VIDRE","ECOVIDRIO"
2016,69006,"FEBRER","VIDRE","ECOVIDRIO"
2016,31886,"MARÇ","VIDRE","ECOVIDRIO"
2016,19134,"ABRIL","VIDRE","ECOVIDRIO"
2016,49992,"MAIG","VIDRE","ECOVIDRIO"
2016,45233,"JUNY","VIDRE","ECOVIDRIO"
2016,62080,"JULIOL","VIDRE","ECOVIDRIO"
2016,37399,"AGOST","VIDRE","ECOVIDRIO"
2016,53882,"SETEMBRE","VIDRE","ECOVIDRIO"
2016,45980,"OCTUBRE","VIDRE","ECOVIDRIO"
2016,30646,"NOVEMBRE","VIDRE","ECOVIDRIO"
2016,71858,"DESEMBRE","VIDRE","ECOVIDRIO"
