,"Agua entrada EDAR(m3) ","Agua Pre-tratada EDAR(m3)","Agua Reutilizada EDAR Torrent(m3)","Fango deshidratado aplicado en agricultura"
"ene.-14",450.360,450.360,147.866,168.350
"feb.-14",349.081,349.081,132.247,138.510
"mar.-14",428.981,428.981,153.584,168.230
"abr.-14",420.981,420.981,148.667,189.125
"may.-14",420.669,420.669,153.500,167.840
"jun.-14",402.983,402.983,148.509,189.150
"jul.-14",397.462,397.462,153.374,168.040
"ago.-14",374.234,374.234,153.239,188.380
"sep.-14",391.112,391.112,148.711,189.150
"oct.-14",411.088,411.088,151.861,146.840
"nov.-14",399.442,399.442,154.645,251.900
"dic.-14",400.199,400.199,158.869,252.150
