"ANY","KILOS","MES","residuo","Gestor"
2015,58402,"GENER","PAPER I CARTÓ","ECOEMBES"
2015,56134,"FEBRER","PAPER I CARTÓ","ECOEMBES"
2015,69120,"MARÇ","PAPER I CARTÓ","ECOEMBES"
2015,56610,"ABRIL","PAPER I CARTÓ","ECOEMBES"
2015,48927,"MAIG","PAPER I CARTÓ","ECOEMBES"
2015,62066,"JUNY","PAPER I CARTÓ","ECOEMBES"
2015,59213,"JULIOL","PAPER I CARTÓ","ECOEMBES"
2015,44942,"AGOST","PAPER I CARTÓ","ECOEMBES"
2015,67720,"SETEMBRE","PAPER I CARTÓ","ECOEMBES"
2015,55838,"OCTUBRE","PAPER I CARTÓ","ECOEMBES"
2015,52500,"NOVEMBRE","PAPER I CARTÓ","ECOEMBES"
2015,55220,"DESEMBRE","PAPER I CARTÓ","ECOEMBES"
2015,68710,"GENER","PAPER RECUPERAT","SAICA NATUR, SL"
2015,61190,"FEBRER","PAPER RECUPERAT","SAICA NATUR, SL"
2015,71360,"MARÇ","PAPER RECUPERAT","SAICA NATUR, SL"
2015,57630,"ABRIL","PAPER RECUPERAT","SAICA NATUR, SL"
2015,51710,"MAIG","PAPER RECUPERAT","SAICA NATUR, SL"
2015,66130,"JUNY","PAPER RECUPERAT","SAICA NATUR, SL"
2015,55620,"JULIOL","PAPER RECUPERAT","SAICA NATUR, SL"
2015,52200,"AGOST","PAPER RECUPERAT","SAICA NATUR, SL"
2015,71800,"SETEMBRE","PAPER RECUPERAT","SAICA NATUR, SL"
2015,62730,"OCTUBRE","PAPER RECUPERAT","SAICA NATUR, SL"
2015,49330,"NOVEMBRE","PAPER RECUPERAT","SAICA NATUR, SL"
2015,56940,"DESEMBRE","PAPER RECUPERAT","SAICA NATUR, SL"
2015,4500,"GENER","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,4280,"FEBRER","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,4260,"MARÇ","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,4520,"ABRIL","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,3920,"MAIG","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,3448,"JUNY","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,4770,"JULIOL","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,4050,"AGOST","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,5200,"SETEMBRE","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,4764,"OCTUBRE","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,6880,"NOVEMBRE","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
2015,6840,"DESEMBRE","PAPER I CARTÓ - PORTA A PORTA","ECOEMBES"
