"ANY","KILOS","MES","residuo","Gestor"
2014,6855,"GENER","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,4794,"FEBRER","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,4415,"MARÇ","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,8812,"ABRIL","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,11709,"MAIG","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,9997,"JUNY","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,9398,"JULIOL","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,10468,"AGOST","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,11982,"SETEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,12143,"OCTUBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,11124,"NOVEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2014,12128,"DESEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
