"NUM-REG","registro-entrada","CODPOS","MUNICIPIO","SECTOR","CAUSA","FECHA","AÑO","contestacion- CONSUMIDOR","MEDIACION-EMPRESA","ESTADO","INHIBICIÓN A"
"163","2014008822","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","02/04/2014","/2014","23/05/2014","25/04/2014","",""
"164","2014008869","46900","TORRENT","OTROS","OTROS","02/04/2014","/2014","12/05/2014","24/04/2014","",""
"165","2014008872","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","02/04/2014","/2014","20/05/2014","24/04/2014","",""
"166","2014008954","46900","TORRENT","GRANDES SUPERFICIES","OTROS","03/04/2014","/2014","","30/04/2014","INHIBICIÓN",""
"167","2014009041","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","03/04/2014","/2014","26/08/2014","07/08/2014","",""
"168","2014009143","46900","TORRENT","BANCA","PRECIOS","04/04/2014","/2014","17/07/2014","29/04/2014","",""
"169","2014009261","46900","TORRENT","ASISTENCIA MÉDICA","PRECIOS","07/04/2014","/2014","","30/04/2014","INHIBICIÓN",""
"170","2014009339","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","07/04/2014","/2014","05/09/2014","29/04/2014","",""
"171","2014009366","46900","TORRENT","BANCA","PRECIOS","08/04/2014","/2014","22/07/2014","29/04/2014","",""
"172","2014009554","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","09/04/2014","/2014","27/05/2014","28/04/2014","",""
"173","2014009620","46007","VALENCIA","TELEFONÍA E INTERNET","PRECIOS","09/04/2014","/2014","","30/04/2014","",""
"174","2014009643","46900","TORRENT","GAS","PRECIOS","09/04/2014","/2014","27/05/2014","30/04/2014","",""
"175","2014009677","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","09/04/2014","/2014","09/06/2014","30/04/2014","",""
"176","2014009678","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","09/04/2014","/2014","15/07/2014","30/04/2014","",""
"177","2014009767","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","10/04/2014","/2014","10/06/2014","30/04/2014","",""
"131","2014009882","46900","TORRENT","OTROS","OTROS","11/04/2014","/2014","","25/04/2014","",""
"132","2014009957","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","12/04/2014","/2014","25/06/2014","24/04/2014","",""
"133","2014009968","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","14/04/2014","/2014","27/05/2014","25/04/2014","",""
"134","2014010093","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","14/04/2014","/2014","20/05/2014","24/04/2014","",""
"135","2014010094","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","14/04/2014","/2014","","24/04/2014","",""
"138","2014010097","46900","TORRENT","BANCA","PRECIOS","14/04/2014","/2014","","","",""
"178","2014010111","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","14/04/2014","/2014","28/05/2014","06/05/2014","",""
"179","2014010121","46900","TORRENT","ENSEÑANZA","CLÁUSULAS ABUSIVAS","14/04/2014","/2014","23/05/2014","08/05/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"180","2014010151","46900","TORRENT","PEQUEÑO COMERCIO","PRECIOS","15/04/2014","/2014","","08/05/2014","",""
"181","2014010155","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","15/04/2014","/2014","","08/05/2014","",""
"182","2014010177","46900","TORRENT","ELECTRICIDAD","OTROS","15/04/2014","/2014","15/07/2014","09/05/2014","",""
"184","2014010248","46900","TORRENT","OTROS","PRECIOS","15/04/2014","/2014","20/05/2014","08/05/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"185","2014010254","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","15/04/2014","/2014","04/06/2014","14/05/2014","",""
"186","2014010413","46900","TORRENT","SEGUROS","OTROS","16/04/2014","/2014","","09/05/2014","INHIBICIÓN",""
"187","2014010692","46900","TORRENT","BANCA","PRECIOS","22/04/2014","/2014","27/05/2014","09/05/2014","",""
"188","2014010902","46900","TORRENT","SEGUROS","OTROS","23/04/2014","/2014","06/06/2014","08/05/2014","",""
"189","2014011060","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","23/04/2014","/2014","05/06/2014","12/05/2014","",""
"198","2014011192","46900","TORRENT","OTROS","OTROS","24/04/2014","/2014","05/06/2014","13/05/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"190","2014011280","46900","TORRENT","INFORMATICA","OTROS","25/04/2014","/2014","04/06/2014","08/05/2014","",""
"191","2014011386","46900","TORRENT","OTROS","PRECIOS","25/04/2014","/2014","17/06/2014","08/05/2014","ARCHIVO SIN SOLUCION VIA ADMINISTRATIVA",""
"192","2014011430","46900","TORRENT","OTROS","OTROS","26/04/2014","/2014","","08/05/2014","INHIBICIÓN","CONSUMO GENERALITAT"
"193","2014011442","46014","valencia","AUTOMOCIÓN","PRECIOS","29/04/2014","/2014","10/06/2014","12/05/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"194","2014011471","46900","TORRENT","INFORMATICA","PRECIOS","29/04/2014","/2014","","30/04/2014","INHIBICIÓN","VALENCIA"
"195","2014011498","46900","TORRENT","ELECTRICIDAD","PRECIOS","29/04/2014","/2014","07/08/2014","09/05/2014","",""
"206","2014011524","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","06/05/2014","/2014","05/06/2014","12/05/2014","",""
"196","2014011541","46900","TORRENT","BANCA","PRECIOS","29/04/2014","/2014","","08/05/2014","",""
"197","2014011556","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","29/04/2014","/2014","26/05/2014","09/05/2014","",""
"199","2014011561","46210","PICAÑA","OTROS","OTROS","29/04/2014","/2014","","13/05/2014","ARCHIVO NO CONSUMO",""
"200","2014011640","46900","TORRENT","OTROS","PRECIOS","30/04/2014","/2014","","09/05/2014","INHIBICIÓN","ALDAIA"
"201","2014011686","46900","TORRENT","SEGUROS","OTROS","30/04/2014","/2014","","09/05/2014","INHIBICIÓN","CONSELLERIA JUSTICIA Y BIENESTAR"
"202","2014011792","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","30/04/2014","/2014","04/06/2014","12/05/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"203","2014011840","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","02/05/2014","/2014","28/05/2014","09/05/2014","",""
"204","2014011931","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","02/05/2014","/2014","15/06/2014","06/05/2014","",""
"205","2014012010","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","05/05/2014","/2014","11/06/2014","09/05/2014","",""
"215","2014012021","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","05/05/2014","/2014","03/07/2014","14/05/2014","",""
"214","2014012063","46900","TORRENT","PEQUEÑO COMERCIO","PRECIOS","05/05/2014","/2014","","","INHIBICIÓN","VALENCIA"
"207","2014012085","46900","TORRENT","TRANSPORTE Y CORREOS","PRESTACIÓN DE SERVICIOS","05/05/2014","/2014","24/06/2014","16/05/2014","",""
"208","2014012117","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","05/05/2014","/2014","14/03/2014","23/05/2014","",""
"209","2014012178","46900","TORRENT","BANCA","PRECIOS","06/05/2014","/2014","12/06/2014","23/05/2014","",""
"210","2014012449","46900","TORRENT","OTROS","PRECIOS","07/05/2014","/2014","","22/05/2014","",""
"211","2014012493","46900","TORRENT","TELEFONÍA E INTERNET","PRESTACIÓN DE SERVICIOS","07/05/2014","/2014","","22/05/2014","",""
"212","2014012504","46900","TORRENT","BANCA","PRECIOS","07/05/2014","/2014","","16/05/2014","INHIBICIÓN","VALENCIA"
"213","2014012508","46900","TORRENT","OTROS","PRECIOS","07/05/2014","/2014","20/06/2014","22/05/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"216","2014012644","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","08/05/2014","/2014","04/05/2014","23/05/2014","",""
"217","2014012747","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","08/05/2014","/2014","11/06/2014","20/05/2014","",""
"218","2014012753","46900","TORRENT","OTROS","PRECIOS","08/05/2014","/2014","09/06/2014","26/05/2014","",""
"219","2014012845","46900","TORRENT","BANCA","PRECIOS","09/05/2014","/2014","13/06/2014","23/05/2014","",""
"220","2014012974","46900","TORRENT","TELEFONÍA E INTERNET","INCUMPLIMIENTO CONDICIONES VENTA","12/05/2014","/2014","16/06/2014","21/05/2014","",""
"221","2014013020","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","12/05/2014","/2014","06/06/2014","21/05/2014","",""
"222","2014013062","46900","TORRENT","OTROS","OTROS","15/05/2014","/2014","","23/05/2014","INHIBICIÓN","QUART DE POBLET"
"223","2014013070","46900","TORRENT","GRANDES SUPERFICIES","OTROS","12/05/2014","/2014","","23/05/2014","INHIBICIÓN","XIRIVELLA"
"224","2014013106","46900","TORRENT","TELEFONÍA E INTERNET","PRESTACIÓN DE SERVICIOS","12/05/2014","/2014","04/06/2014","21/05/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"225","2014013119","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","12/05/2014","/2014","06/06/2014","21/05/2014","",""
"226","2014013156","46900","TORRENT","TELEFONÍA E INTERNET","PRESTACIÓN DE SERVICIOS","13/05/2014","/2014","20/06/2014","20/05/2014","",""
"227","2014013159","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","13/05/2014","/2014","25/06/2014","20/05/2014","",""
"228","2014013173","46900","TORRENT","OTROS","PRECIOS","13/05/2014","/2014","","28/05/2014","SUBSANACIÓN",""
"229","2014013188","46900","TORRENT","ELECTRICIDAD","INCUMPLIMIENTO CONDICIONES VENTA","13/05/2014","/2014","26/06/2014","30/05/2014","",""
"230","2014013251","46900","TORRENT","AGENCIA DE VIAJES","PRESTACIÓN DE SERVICIOS","13/05/2014","/2014","","27/05/2014","INHIBICIÓN","VALENCIA"
"231","2014013363","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","14/05/2014","/2014","05/11/2014","23/05/2014","",""
"232","2014013372","46370","CHIVA","BANCA","PRESTACIÓN DE SERVICIOS","14/05/2014","/2014","17/06/2014","23/05/2014","",""
"233","2014013461","46900","TORRENT","BANCA","PRECIOS","14/05/2014","/2014","","23/05/2014","",""
"234","2014013468","46900","TORRENT","AGENCIA DE VIAJES","OTROS","14/05/2014","/2014","20/06/2014","23/05/2014","",""
"235","2014013499","46900","TORRENT","ELECTRICIDAD","INCUMPLIMIENTO CONDICIONES VENTA","15/05/2014","/2014","","23/05/2014","",""
"236","2014013574","46900","TORRENT","TINTORERÍA","PRESTACIÓN DE SERVICIOS","15/05/2014","/2014","","06/06/2014","ARCHIVO SIN SOLUCION VIA ADMINISTRATIVA",""
"237","2014013583","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","15/05/2014","/2014","17/07/2014","23/05/2014","","JAC"
"238","2014013590","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","15/05/2014","/2014","","23/05/2014","",""
"239","2014013593","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","15/05/2014","/2014","","23/05/2014","",""
"240","2014013599","46900","TORRENT","ELECTRICIDAD","OTROS","15/05/2014","/2014","28/06/2014","26/05/2014","ARCHIVO EMPRESA NO ENCONTRADA",""
"241","2014013643","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","16/05/2014","/2014","","23/05/2014","",""
"242","2014013668","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","16/05/2014","/2014","06/06/2014","29/05/2014","",""
"243","2014013682","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","16/05/2014","/2014","06/06/2014","23/05/2014","ARCHIVO SIN SOLUCION VIA ADMINISTRATIVA",""
