,"Agua entrada EDAR(m3) ","Agua Pre-tratada EDAR(m3)","Agua Reutilizada EDAR Torrent(m3)","Fango deshidratado aplicado en agricultura"
"ene.-17",428.915,428.915,154.393,213.350
"feb.-17",389.554,389.554,139.049,168.250
"mar.-17",446.554,446.554,157.320,168.420
"abr.-17",429.387,429.387,154.595,192.450
"may.-17",471.198,471.198,163.477,195.250
