"ANY","KILOS","MES","residuo","Gestor"
2015,2544500,"GENER","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2284020,"FEBRER","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2544540,"MARÇ","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2609120,"ABRIL","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2837060,"MAIG","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2843400,"JUNY","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,3029320,"JULIOL","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2862980,"AGOST","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2675760,"SETEMBRE","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2667840,"OCTUBRE","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2614440,"NOVEMBRE","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2015,2687720,"DESEMBRE","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
