"Año","NºExpediente","Asunto","Carácter Sesión","NºExpediente(Hijo)","Situación","NºExpediente(Sup)","Asunto"
2016,"52/2016/JGL","JGL 27-12-2016","Ordinària","4482/2016/ACU","Resuelto","14183/2016/GEN","BASES CONCURS ESPECÍFIC PROVISIÓ DEFINITIVA LLOC CAP SERVICI DE FISCALITZACIÓ"
2016,"52/2016/JGL","JGL 27-12-2016","Ordinària","4486/2016/ACU","Resuelto","13979/2016/GEN","BASES ESPECÍFIQUES PROCESSOS SELECTIUS PROVISIÓ PLACES ADMINISTRATIU I AUXILIAR OFERTA OCUPACIÓ PÚBLICA 2015"
2016,"52/2016/JGL","JGL 27-12-2016","Ordinària","4345/2016/ACU","Resuelto","3570/2015/GEN","Recurs Contenciós Administratiu: Donar compte Interlocutòria núm. 187, del Jutjat Contenciós Administratiu núm. Dos de València, en Procediment Ordinari núm. 136/2015."
2016,"52/2016/JGL","JGL 27-12-2016","Ordinària","4492/2016/ACU","Resuelto","13984/2016/GEN","BASES REGULADORES DEL PROCÉS SELECTIU PER A LA CONSTITUCIÓ D'UNA BORSA DE TREBALL DE PERSONAL SUBALTERN I DE CONSERGE D'INSTAL·LACIONS PÚBLIQUES I MUNICIPALS"
2016,"51/2016/JGL","JGL 23-12-2016 extraordinària i urgent","Extraordinaria i urgent","4460/2016/ACU","Resuelto","15402/2016/GEN","Declaración caducidad OEP"
2016,"51/2016/JGL","JGL 23-12-2016 extraordinària i urgent","Extraordinaria i urgent","4428/2016/ACU","Resuelto","15559/2016/GEN","AMPLIACIÓ TERMINI ESTABLIT PER ACORD JGL DE DATA 28/12/2016 PER A EFECTUAR LA CONVOCATÒRIA DE LES PLACES CONTINGUDES EN L´OFERTA D´OCUPACIÓ PÚBLICA D´ESTE AJUNTAMENT CORRESPONENT A L´EXERCICI 2015."
2016,"51/2016/JGL","JGL 23-12-2016 extraordinària i urgent","Extraordinaria i urgent","4463/2016/ACU","Resuelto","15387/2016/GEN","Aprobación OEP 2016"
2016,"51/2016/JGL","JGL 23-12-2016 extraordinària i urgent","Extraordinaria i urgent","4458/2016/ACU","Resuelto","15556/2016/GEN","PRESUPUESTO GENERAL 2017"
2016,"51/2016/JGL","JGL 23-12-2016 extraordinària i urgent","Extraordinaria i urgent","4459/2016/ACU","Resuelto","15420/2016/GEN","PROJECTE D´ACORD APROVACIÓ INICIAL PLANTILLA PERSONAL 2017"
2016,"50/2016/JGL","JGL 19-12-2016","Ordinària","4297/2016/ACU","Resuelto","2092/2014/GEN","Expedient reclamació responsabilitat patrimonial núm. RC-2092-2014, promogut per MARIA C.V. en rep. PELAYO MUTUA DE SEGUROS del SR. JUAN ANTONIO P.M.: Desestimat."
2016,"50/2016/JGL","JGL 19-12-2016","Ordinària","4308/2016/ACU","Resuelto","15225/2016/GEN","Proposición Bases Venta Ambulante"
2016,"50/2016/JGL","JGL 19-12-2016","Ordinària","4141/2016/ACU","Resuelto","14751/2016/GEN","BASES REGULADORAS PARA LA CONCESIÓN DE AYUDAS PARA EL FOMENTO DEL AUTOEMPLEO Y EL EMPRENDIMIENTO 2016."
2016,"50/2016/JGL","JGL 19-12-2016","Ordinària","4293/2016/ACU","Resuelto","54/2015/GEN","Expedient reclamació responsabilitat patrimonial núm. RC-54/2015, promogut per Mª VICTORIA O.P.: Desestimat."
2016,"50/2016/JGL","JGL 19-12-2016","Ordinària","4325/2016/ACU","Resuelto","13263/2015/GEN","Procediment obert mitjançant tramitació harmonitzada convocat per a la contractació del servici de Gabinet Psicopedagògic Municipal. ADJUDICACIÓ CONTRACTE (181-2015)."
2016,"50/2016/JGL","JGL 19-12-2016","Ordinària","4346/2016/ACU","Resuelto","15230/2016/GEN","PROPOSICIÓN BASES MERCADOS TEMÁTICOS 2017"
2016,"50/2016/JGL","JGL 19-12-2016","Ordinària","4342/2016/ACU","Resuelto","795/2016/GEN","Recurs Contenciós Administratiu: Ejecució Sentencia núm. 333/2016, del Jutjat Contenciós Administratiu núm. Quatre de València, en el procediment abreujat núm. 457/2016."
2016,"50/2016/JGL","JGL 19-12-2016","Ordinària","4343/2016/ACU","Resuelto","15337/2016/GEN","Proposta activitat Orientació per a la Formació Professional 2017"
2016,"49/2016/JGL","JGL 12-12-2016","Ordinària","4249/2016/ACU","Resuelto","15057/2016/GEN","PERSONACIÓ I DESIGNACIÓ DE LLETRAT EN EL PROCEDIMENT ABREUJAT NÚM. 409/2016 PROMOGUT PER ÁNGEL JULIO L.R."
2016,"49/2016/JGL","JGL 12-12-2016","Ordinària","4261/2016/ACU","Resuelto","5511/2016/GEN","Per a la contractació, per procediment obert i tràmit harmonitzat del subministrament d'aliments destinats a persones en situació de precarietat econòmica. Adjudicació del contracte (33-2016)."
2016,"49/2016/JGL","JGL 12-12-2016","Ordinària","4250/2016/ACU","Resuelto","14935/2016/GEN","PERSONACIÓ I DESIGNACIÓ DE LLETRAT EN EL PROCEDIMENT ABREUJAT NÚM. 383/2016 PROMOGUT PER YUSELA G.G."
2016,"48/2016/JGL","JGL 05-12-2016","Ordinària","4079/2016/ACU","Resuelto","14038/2016/GEN","Procediment negociat sense publicitat convocat per a la contractació del servici de consultoria i assistència tècnica per a la redacció de l'adaptació del Catàleg de Béns i Espais Protegits a la Llei 5/2014 de 25 de juliol d'Ordenació del Territori, Urbanisme i Paisatge, de la Comunitat Valenciana del Municipi de Torrent. Aprovació expedient (85-2016)."
2016,"48/2016/JGL","JGL 05-12-2016","Ordinària","3974/2016/ACU","Resuelto","12580/2016/GEN","Procediment negociat sense publicitat convocat per a la contractació del servei d'adaptació i millores de la Llei 39/2015 de la Plataforma electrònica de gestió d'expedients i la seu. Aprovació expedient (83-2016)."
2016,"48/2016/JGL","JGL 05-12-2016","Ordinària","4107/2016/ACU","Resuelto","13926/2015/GEN","Expedient reclamació responsabilitat patrimonial núm. RC-13926-2015, promogut per Josefina C.A.: Inadmissió."
2016,"48/2016/JGL","JGL 05-12-2016","Ordinària","4205/2016/ACU","Resuelto","14891/2016/GEN","Contractació del subministrament de 59 ordinadors per contractació centralitzada (97-2016)."
2016,"48/2016/JGL","JGL 05-12-2016","Ordinària","4160/2016/ACU","Resuelto","8667/2016/GEN","Procediment obert convocat per a la contractació del servici de manteniment d'aplicacions de l'administració electrònica. ADJUDICACIÓ CONTRACTE (65-2016)."
2016,"48/2016/JGL","JGL 05-12-2016","Ordinària","4108/2016/ACU","Resuelto","14487/2016/GEN","RR Consell Persones Majors"
2016,"47/2016/JGL","JGL 28-11-2016","Ordinària","4124/2016/ACU","Resuelto","14457/2016/GEN","Aprovació programació a l'Auditori per al primer semestre de 2017"
2016,"47/2016/JGL","JGL 28-11-2016","Ordinària","4045/2016/ACU","Resuelto","14415/2016/GEN","Acord bases i convocatòria ajudes casals fallers 2017"
2016,"47/2016/JGL","JGL 28-11-2016","Ordinària","4115/2016/ACU","Resuelto","12801/2016/GEN","Procediment obert convocat per a la contractació del servici de suport i assistència tècnica i administrativa a la Inspecció Tributària del Municipi de Torrent. Aprovació expedient (Expt.: 80-16)."
2016,"46/2016/JGL","JGL 21-11-2016","Ordinària","3947/2016/ACU","Resuelto","13518/2015/GEN","PROCEDIMENT OBERT CONVOCAT PER A LA CONTRACTACIÓ DEL SERVICI D' AJUDA A DOMICILI. ADJUDICACIÓ CONTRACTE (184-2016)."
2016,"46/2016/JGL","JGL 21-11-2016","Ordinària","4035/2016/ACU","Resuelto","7405/2013/GEN","Execució Auto de data 25 d’octubre de 2016, dictat pel Jutjat Contenciós Administratiu núm. Nou de Valencia, en peça d'Execució de Títol Judicial en el Procediment Abreujat núm. 291/2013 promogut per ANTONIO CORDERO VALLE, per  falta de pagament per l'Ajuntament de Torrent, dels danys valorats en Sentència en un màxim de 2.310 euros dels quals ha rebut 600 euros."
