"Año","Asistentes exposiciones Centro de Arte","Asistentes talleres de Cultura en Familia","Asistentes conferencias de artes plásticas","Asistentes visitas guiadas ""Arte en la Ciudad"""
2012,16593,863,3777,675
2013,25339,777,3788,639
2014,37302,371,4256,1190
2015,36667,920,3894,625
2016,43159,691,4390,532
