"Año","Usuarios registrados ","Préstamos ","Asistentes a actividades de animación","Usos de la sala de lectura","Horas de uso multimedia"
2012,53577,315402,24461,254146,122043
2013,57851,277315,25512,249417,132328
2014,61498,246892,26400,246892,124504
2015,63991,237366,26900,288624,144225
2016,67432,232648,27815,301053,148993
