route_id, service_id, trip_id, trip_headsign, trip_short_name, direction_id, wheelchair_accessible
5__C4___,5_I13,5_I13-5_I13_08:04:00_1_23_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_10:12:00_2_54_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I13,5_I13-5_I13_10:52:00_2_42_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I12,5_I12-5_I12_06:05:00_2_10_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I12,5_I12-5_I12_17:27:00_1_79_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_05:40:00_2_13_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I12,5_I12-5_I12_23:52:00_1_114_5__C4___,CHAMARTIN,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I12,5_I12-5_I12_21:32:00_2_105_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I11,5_I11-5_I11_06:28:00_1_16_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_14:43:00_2_63_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I11,5_I11-5_I11_21:24:00_1_132_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I13,5_I13-5_I13_07:45:00_1_21_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_09:04:00_1_41_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I12,5_I12-5_I12_08:46:00_1_27_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I13,5_I13-5_I13_18:32:00_2_87_5__C4___,GETAFE SECTOR 3,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I13,5_I13-5_I13_08:25:00_1_25_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I13,5_I13-5_I13_11:32:00_2_46_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I11,5_I11-5_I11_10:52:00_2_105_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I11,5_I11-5_I11_07:06:00_2_26_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I11,5_I11-5_I11_15:52:00_2_126_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I12,5_I12-5_I12_08:04:00_1_23_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_13:25:00_1_118_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_23:52:00_1_144_5__C4___,ATOCHA,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I13,5_I13-5_I13_08:46:00_1_27_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_05:54:00_2_7_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I13,5_I13-5_I13_09:25:00_1_31_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_18:24:00_1_75_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_19:06:00_1_81_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I12,5_I12-5_I12_06:45:00_1_15_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_23:13:00_1_284_5__C4___,CHAMARTIN,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I12,5_I12-5_I12_09:46:00_1_33_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I13,5_I13-5_I13_06:24:00_1_13_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_05:45:00_1_6_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_09:57:00_2_53_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I13,5_I13-5_I13_12:32:00_2_52_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
5__C4___,5_I11,5_I11-5_I11_14:06:00_1_55_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,0
5__C4___,5_I11,5_I11-5_I11_14:25:00_2_61_5__C4___,PARLA,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,0
