"Distrito","Siglas","Partido","Número de votos"
"Centro","P.P.","PARTIDO POPULAR",3800
"Centro","PSOE","PARTIDO SOCIALISTA OBRERO ESPAÑOL",3453
"Centro","UpyD.","UNION PROGRESO Y DEMOCRACIA",1440
"Centro","PODEM","PODEMOS",1356
"Centro","IU.LV","IZQUIERDA UNIDA-LOS VERDES: LA IZQ.PLURA",1267
"Centro","C's","CIUDADANOS-PARTIDO DE LA CIUDADANIA",439
"Centro","VOX","VOX",232
"Centro","PRIMAV","PRIMAVERA  EUROPEA",196
"Centro","PACMA","PARTIDO ANIMALISTA CONTRA EL MALTRATO",158
"Centro","MOV.R","MOVIMIENTO DE RENOVACION DEMOCRAT.CI",89
"Centro","EB","ESCAÑOS EN BLANCO",80
"Centro","PART- X","PARTIDO X, PARTIDO DEL FUTURO",70
"Centro","Impulso","IMPULSO SOCIAL",27
"Centro","PIRATA","CONFEDERACION  PIRATA EUROPEAN PIRATE",24
"Centro","FEJON","FALANGE ESPAÑOLA DE LAS J.O,N.S.",37
"Centro","l.Fem","INICIATIVA FEMINISTA",24
"Centro","D.E.R.","AGRUPACION DE ELECTORES D.E.R.",32
"Centro","PH","PARTIDO HUMANISTA",38
"Centro","P.C.P.E.","PARTIDO COMUNISTA DE LOS PUEBLOS DE E",27
"Centro","LEM","LA ESPAÑA EN MARCHA",29
"Centro","RECOR","AGRUPACION DE ELECTORES RECORTES CE",19
"Centro","CILUS","CIUDADANOS  LIBRES UNIDOS",21
"Centro","D.N.","DEMOCRACIA NACIONAL",26
"Centro","CEU","COALICION POR EUROPA",14
"Centro","EXTR.U","EXTREMADURA UNIDA",15
"Centro","F.A.C.","FORO DE CIUDADANOS",13
"Centro","P-LIB","PARTIDO DE LA LIBERTAD INDIVIDUAL",8
"Centro","LPD","LOS PUEBLOS DECIDEN",15
"Centro","M.S.R.","MOVIMIENTO SOCIAL REPUBLICANO",12
"Centro","EPDD","L' ESQUERRA PEL DRET A DECID!",9
"Centro","PART.A","PARTIDO  ANDALUCISTA",7
"Centro","PREPAL","SALAMANCA-ZAMORA-LEON PREPAL",8
"Centro","IPEX-PR","EXTREMEÑOS  POR EUROPA COALIC.ELECT.IP",6
"Centro","PT","PARTIDO DA TERRA",6
"Centro","ACNV-B","PROYECTO  EUROPA",6
"Centro","ALTER","ALTERNATIVA REPUBLICANA",4
"Centro","RRUE","POR LA REPUBLICA POR LA RUPTURA UE",6
"Centro","M.C.R","MOVIMIENTO CORRIENTE ROJA",4
"Centro","SAln","SOLIDARIDAD Y AUTOGESTIÓN  INTERNACION",4
"Norte","P.P.","PARTIDO POPULAR",3512
"Norte","PSOE","PARTIDO SOCIALISTA OBRERO ESPAÑOL",3227
"Norte","UpyD.","UNION PROGRESO Y DEMOCRACIA",2377
"Norte","PODEM","PODEMOS",1954
"Norte","IU.LV","IZQUIERDA UNIDA-LOS VERDES: LA IZQ.PLURA",1848
"Norte","C's","CIUDADANOS-PARTIDO DE LA CIUDADANIA",929
"Norte","VOX","VOX",457
"Norte","PRIMAV","PRIMAVERA  EUROPEA",422
"Norte","PACMA","PARTIDO ANIMALISTA CONTRA EL MALTRATO",218
"Norte","MOV.R","MOVIMIENTO DE RENOVACION DEMOCRAT.CI",167
"Norte","EB","ESCAÑOS EN BLANCO",163
"Norte","PART- X","PARTIDO X, PARTIDO DEL FUTURO",131
"Norte","Impulso","IMPULSO SOCIAL",49
"Norte","PIRATA","CONFEDERACION  PIRATA EUROPEAN PIRATE",49
"Norte","FEJON","FALANGE ESPAÑOLA DE LAS J.O,N.S.",33
"Norte","l.Fem","INICIATIVA FEMINISTA",35
"Norte","D.E.R.","AGRUPACION DE ELECTORES D.E.R.",28
"Norte","PH","PARTIDO HUMANISTA",25
"Norte","P.C.P.E.","PARTIDO COMUNISTA DE LOS PUEBLOS DE E",29
"Norte","LEM","LA ESPAÑA EN MARCHA",22
"Norte","RECOR","AGRUPACION DE ELECTORES RECORTES CE",25
"Norte","CILUS","CIUDADANOS  LIBRES UNIDOS",19
"Norte","D.N.","DEMOCRACIA NACIONAL",15
"Norte","CEU","COALICION POR EUROPA",10
"Norte","EXTR.U","EXTREMADURA UNIDA",18
"Norte","F.A.C.","FORO DE CIUDADANOS",17
"Norte","P-LIB","PARTIDO DE LA LIBERTAD INDIVIDUAL",15
"Norte","LPD","LOS PUEBLOS DECIDEN",12
"Norte","M.S.R.","MOVIMIENTO SOCIAL REPUBLICANO",14
"Norte","EPDD","L' ESQUERRA PEL DRET A DECID!",8
"Norte","PART.A","PARTIDO  ANDALUCISTA",11
"Norte","PREPAL","SALAMANCA-ZAMORA-LEON PREPAL",8
"Norte","IPEX-PR","EXTREMEÑOS  POR EUROPA COALIC.ELECT.IP",10
"Norte","PT","PARTIDO DA TERRA",3
"Norte","ACNV-B","PROYECTO  EUROPA",6
"Norte","ALTER","ALTERNATIVA REPUBLICANA",5
"Norte","RRUE","POR LA REPUBLICA POR LA RUPTURA UE",2
"Norte","M.C.R","MOVIMIENTO CORRIENTE ROJA",2
"Norte","SAln","SOLIDARIDAD Y AUTOGESTIÓN  INTERNACION",1
"Urbanizaciones","P.P.","PARTIDO POPULAR",4192
"Urbanizaciones","PSOE","PARTIDO SOCIALISTA OBRERO ESPAÑOL",440
"Urbanizaciones","UpyD.","UNION PROGRESO Y DEMOCRACIA",545
"Urbanizaciones","PODEM","PODEMOS",171
"Urbanizaciones","IU.LV","IZQUIERDA UNIDA-LOS VERDES: LA IZQ.PLURA",138
"Urbanizaciones","C's","CIUDADANOS-PARTIDO DE LA CIUDADANIA",631
"Urbanizaciones","VOX","VOX",875
"Urbanizaciones","PRIMAV","PRIMAVERA  EUROPEA",90
"Urbanizaciones","PACMA","PARTIDO ANIMALISTA CONTRA EL MALTRATO",51
"Urbanizaciones","MOV.R","MOVIMIENTO DE RENOVACION DEMOCRAT.CI",30
"Urbanizaciones","EB","ESCAÑOS EN BLANCO",33
"Urbanizaciones","PART- X","PARTIDO X, PARTIDO DEL FUTURO",33
"Urbanizaciones","Impulso","IMPULSO SOCIAL",27
"Urbanizaciones","PIRATA","CONFEDERACION  PIRATA EUROPEAN PIRATE",12
"Urbanizaciones","FEJON","FALANGE ESPAÑOLA DE LAS J.O,N.S.",10
"Urbanizaciones","l.Fem","INICIATIVA FEMINISTA",9
"Urbanizaciones","D.E.R.","AGRUPACION DE ELECTORES D.E.R.",6
"Urbanizaciones","PH","PARTIDO HUMANISTA",2
"Urbanizaciones","P.C.P.E.","PARTIDO COMUNISTA DE LOS PUEBLOS DE E",5
"Urbanizaciones","LEM","LA ESPAÑA EN MARCHA",6
"Urbanizaciones","RECOR","AGRUPACION DE ELECTORES RECORTES CE",4
