"TIPO","UNIDADES/SUPERFICIE","SITUACIÓN"
"Viviendas",13,"C/ Ruperto Chapí, 95"
"Viviendas",16,"Avda. de España, 19 y 21 "
"Viviendas",36,"C/ Luis Rdguez. Ontiveros, 141, 143, 145 y 147 "
"Viviendas",15,"C/ Bachiller Alonso López, 13 y 15 "
"Viviendas",6,"C/ Olivar, 7"
"Viviendas",56,"C/ Calderón de la Barca, 4, 9, 11, 13 y 15"
"Viviendas",41,"C/ Manuel de Falla, 16, 18, 20, 22, 24 y 44"
"Viviendas",11,"Avda. Pablo Iglesias, 22 y 24"
"Viviendas",1,"C/ Quevedo, 1"
"Viviendas",1,"C/ Córdoba, 2, 3º A"
"Viviendas",1,"C/ Fco. Baena Valdemoro, 7, 3º C"
"Viviendas",1,"c/ Ramón Fdez. Guisasola, 7, 3ºC"
"Viviendas",1,"c/ Manuel Gómez Oria, 4, 5ºB"
"Viviendas",1,"c/ Islas Bikini, 9, 3ºL "
"Viviendas",1,"c/ Jose Mendez Baena, 6, 3ºA"
"Viviendas",1,"c/ Constitución, 43, 1º1"
"Viviendas",1,"c/ Fuego, 45, 1ºC"
"Viviendas",1,"c/ Sandalio Aguado, 1, 4ºD"
"Viviendas",1,"c/ Dos de Mayo,14, 2ºA"
"Viviendas",1,"c/ Real Vieja, 21, 1C"
"Viviendas",1," c/ Real Vieja, 26, B2"
"Viviendas",1,"c/ Islas Biquini, 2, 4ºB"
"Oficinas","13274 m2","Parque Empresarial La Moraleja / Avda. Europa, 18"
"Oficinas","7194 m2","Parque Empresarial La Moraleja / Avda. Europa, 21"
"Oficinas","549 m2","PAE Casablanca I / C/ José Echegaray, 18"
"Oficinas","3949 m2","Alcobendas 2000 / C/ Joaquín Rodrigo, 3"
"Oficinas","1670 m2","Parque Río Norte II / Crtera. Fuencarral"
"Oficinas","1515 m2","PAE Casablanca II / C/ Severo Ochoa"
"Oficinas","23843 m2","Arroyo de la Vega Tn9 / C/ Anabel Segura, 7"
"Oficinas","12.361 m2","Arroyo de la Vega Tn1 / Avda. de la Vega, 2"
"Oficinas","8359 m2","Arroyo de la Vega TS19 / Avda. de Bruselas, 16"
"Locales comerciales",13,"Parque Río Norte II / Crtera. Fuencarral nº 1"
"Trasteros",202,"PAE Casablanca I / C/ José Echegaray, 12 y 14"
"Naves",40,"PAE Casablanca I / C/ José Echegaray, 16"
"Plazas de aparcamiento",160,"Edificio Ayuntamiento / C/ Blas de Otero"
"Plazas de aparcamiento",238,"Parque Extremadura / C/ Manuel de Falla, s/n"
"Plazas de aparcamiento",136,"Edificio Escuela Música / C/ Ruperto Chapí, 22 "
"Plazas de aparcamiento",48,"Centro Cultural Pablo Iglesias / Paseo de la Chopera, 59"
"Plazas de aparcamiento",191,"Centro de Mayores / C/ Orense, 7"
"Plazas de aparcamiento",45,"Paseo de la Chopera, 100"
"Plazas de aparcamiento",26,"C/ Casimiro Morcillo, 6"
"Plazas de aparcamiento",69,"Constitución/Valdepalitos / C/ Constitución, 127"
"Plazas de aparcamiento",159,"Bulevar Salvador Allende, 25 "
"Plazas de aparcamiento",193,"Plaza Pablo Picasso"
"Plazas de aparcamiento",90,"Julián Baena de Castro"
"Plazas de aparcamiento",10,"Avda. España c/v Jarama / Avda. España, 52"
"Plazas de aparcamiento",194,"Centro de Arte Alcobendas / C/ Mariano Sebastián Izuel, 9"
"Locales municipales",1,"C/ Marqués de la Valdavia, 71"
"Locales municipales",1,"C/ Bachiller Alonso López, 13-15"
"Locales municipales",1,"C/ Libertad, 35"
"Locales municipales",1,"C/ Isabel Rosillo, 2"
"Locales municipales",1,"C/ Soria, 42"
"Locales municipales",1,"C/ Cáceres, 18"
"Locales municipales",1,"C/ Pintor Ribera, 1 Locales letras A,B,C,D,E,F,G y H"
"Locales municipales",1,"C/ Marqués de la Valdavia, 47"
"Locales municipales",1,"Avda. de España, 5"
"Locales municipales",1,"C/ Isabel Rosillo, 4"
"Locales municipales",1,"C/ Constitución, 102"
"Locales municipales",1,"Avda. de Valdelaparra, 98 local 1, 2 y 3 "
"Locales municipales",1,"Pº de la Chopera, 309"
"Locales municipales",1,"C/ Granada, 7"
"Locales municipales",1,"C/ Fuego, 73"
"Locales municipales",1,"Pº Chopera, 92-94"
"Locales municipales",1,"C/ Velarde, 14"
