"Mes","Periodo Medio de Pago Global a Proveedores Mensual "
septiembre-17,"21.27"
agosto-17,"20.69"
julio-17,"13.4"
junio-17,"17.29"
mayo-17,"12.84"
abril-17,"5.49"
marzo-17,"9.86"
febrero-17,"48.21"
enero-17,"48.19"
diciembre-16,"30.14"
noviembre-16,"15.72"
octubre-16,"17.67"
septiembre-16,"20.63"
agosto-16,"13.91"
julio-16,"7.56"
junio-16,"1.62"
mayo-16,"6.97"
abril-16,"8.57"
marzo-16,"15.82"
febrero-16,"41.44"
enero-16,"35.4"
diciembre-15,"21.13"
noviembre-15,"22.84"
octubre-15,"29.7"
septiembre-15,"29.7"
agosto-15,"25.98"
julio-15,"19.76"
junio-15,"10.05"
mayo-15,"19.21"
abril-15,"31.51"
marzo-15,"14.84"
febrero-15,"10.93"
enero-15,"-8.66"
