Fecha,Temperatura interior,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión < PM10,Óxidos de nitrógeno,Ozono,Tolueno,Benceno,Xileno,Hidrocarburos totales,Hidrocarburos no-metano,Velocidad del viento,Dirección del viento,Temperatura,Humedad relativa,Presión,Radiación solar,Precipitaciones
20171027 08:00,18.8,490.0,148.0,117.0,899.0,3.0,19.4,2.2,11.0,,,0.2,279,12.4,57,952,38,0.0
20171027 07:00,,,,,,,,,,,,,,,,,,,
20171027 06:00,19.6,73.0,67.0,23.0,,4.0,2.7,0.4,0.8,8.7,1.0,0.2,286,13.0,53,951,2,0.0
20171027 05:00,19.7,4.0,23.0,16.0,,44.0,1.4,0.4,0.5,8.0,0.5,0.7,34,14.2,49,951,1,0.0
20171027 04:00,19.7,3.0,15.0,12.0,,55.0,2.1,0.4,0.7,7.9,0.4,0.9,34,13.9,51,951,1,0.0
20171027 03:00,19.7,4.0,29.0,18.0,,40.0,6.1,0.5,1.7,8.3,0.7,0.6,42,13.7,52,951,1,0.0
20171027 02:00,19.7,11.0,34.0,27.0,,36.0,10.7,0.6,3.8,8.4,0.7,0.6,57,14.0,52,952,1,0.0
20171027 01:00,19.6,79.0,72.0,49.0,,8.0,17.2,1.1,8.0,9.4,1.3,0.4,51,13.8,56,952,1,0.0
20171027 00:00,19.6,160.0,101.0,63.0,346.0,2.0,30.3,1.6,11.3,10.5,2.1,0.2,194,13.7,57,952,1,0.0
20171026 23:00,19.6,204.0,121.0,71.0,434.0,3.0,27.5,1.9,11.5,11.5,3.2,0.2,125,15.0,54,952,1,0.0
20171026 22:00,19.7,191.0,125.0,69.0,418.0,3.0,26.2,2.3,11.9,11.7,3.2,0.3,95,17.0,48,952,1,0.0
20171026 21:00,19.7,221.0,143.0,74.0,482.0,2.0,29.3,2.1,11.2,10.9,3.1,0.2,143,17.5,47,951,1,0.0
20171026 20:00,19.7,183.0,146.0,65.0,427.0,2.0,37.2,1.6,10.6,10.2,2.7,0.2,322,19.8,39,951,1,0.0
20171026 19:00,19.7,142.0,142.0,48.0,360.0,2.0,36.2,1.2,7.3,9.6,2.4,0.3,292,21.6,36,950,1,0.0
20171026 18:00,19.9,51.0,122.0,28.0,200.0,6.0,5.6,0.6,1.9,8.4,1.4,0.4,158,23.5,32,950,12,0.0
20171026 17:00,19.9,10.0,86.0,22.0,101.0,36.0,2.8,0.6,1.2,7.7,0.7,1.1,156,25.0,29,949,80,0.0
20171026 16:00,19.7,9.0,61.0,21.0,75.0,55.0,1.9,0.5,0.7,7.5,0.7,1.5,174,25.4,28,949,299,0.0
20171026 15:00,19.6,6.0,36.0,13.0,45.0,74.0,1.4,0.4,0.6,7.4,0.4,1.0,180,25.4,28,949,478,0.0
20171026 14:00,19.5,9.0,38.0,19.0,52.0,65.0,3.3,0.5,1.3,7.4,0.4,1.0,177,24.4,30,950,587,0.0
20171026 13:00,19.7,13.0,41.0,20.0,61.0,53.0,2.6,0.5,1.5,7.6,0.7,0.6,124,23.3,32,950,626,0.0
20171026 12:00,19.8,13.0,36.0,10.0,56.0,48.0,2.2,0.5,1.2,7.4,0.6,0.5,158,21.3,36,951,614,0.0
20171026 11:00,19.7,15.0,34.0,24.0,57.0,44.0,3.0,0.6,2.0,7.7,0.7,0.6,108,18.9,41,951,532,0.0
20171026 10:00,19.7,33.0,48.0,47.0,99.0,27.0,12.9,1.3,6.8,8.2,0.9,1.1,95,16.3,46,951,381,0.0
20171026 09:00,19.7,144.0,77.0,82.0,298.0,9.0,13.5,2.2,10.9,9.7,1.9,0.3,158,14.3,54,951,144,0.0
20171026 08:00,19.7,222.0,86.0,66.0,426.0,5.0,14.5,2.6,9.5,10.1,1.9,0.2,168,10.6,66,950,41,0.0
20171026 07:00,,,,,,,,,,,,,,,,,,,
20171026 06:00,19.6,116.0,59.0,27.0,,5.0,15.7,1.5,,10.1,1.7,0.2,180,10.1,66,950,5,0.0
20171026 05:00,19.6,61.0,50.0,30.0,,3.0,18.8,1.2,,10.2,1.6,0.2,247,10.5,65,949,5,0.0
20171026 04:00,19.6,65.0,51.0,33.0,,3.0,13.6,2.1,,10.7,1.8,0.2,252,11.0,63,949,4,0.0
20171026 03:00,19.6,82.0,57.0,39.0,,4.0,12.1,0.9,,10.8,1.7,0.2,192,11.1,63,949,4,0.0
20171026 02:00,19.6,62.0,65.0,36.0,,2.0,12.1,0.7,,10.6,1.5,0.2,157,12.1,59,949,2,0.0
20171026 01:00,19.7,34.0,62.0,39.0,,7.0,15.3,0.9,,10.2,1.4,0.5,101,14.0,52,949,1,0.0
20171026 00:00,19.7,109.0,79.0,50.0,246.0,3.0,14.8,1.3,,11.6,2.0,0.2,87,13.8,55,949,1,0.0
20171025 23:00,19.6,134.0,98.0,55.0,303.0,2.0,9.6,1.4,,13.6,1.7,0.2,133,14.2,54,949,1,0.0
20171025 22:00,19.7,121.0,105.0,42.0,291.0,2.0,9.8,1.3,,10.0,1.5,0.4,162,15.4,48,949,1,0.0
20171025 21:00,19.7,109.0,114.0,40.0,281.0,2.0,11.2,1.4,,9.9,2.0,0.2,81,18.3,39,948,1,0.0
20171025 20:00,19.7,120.0,127.0,33.0,311.0,2.0,7.7,1.1,,9.4,1.7,0.5,309,20.1,34,948,1,0.0
20171025 19:00,19.7,78.0,117.0,37.0,237.0,2.0,9.0,1.3,,8.8,1.4,0.5,303,21.3,31,947,1,0.0
20171025 18:00,19.8,55.0,107.0,35.0,191.0,4.0,3.3,0.6,,8.2,1.2,0.6,233,23.1,30,947,18,0.0
20171025 17:00,19.8,8.0,66.0,25.0,78.0,36.0,2.0,0.5,,7.6,0.6,1.0,167,24.3,29,947,86,0.0
20171025 16:00,19.8,9.0,52.0,16.0,66.0,51.0,1.5,0.5,,7.5,0.6,0.9,170,24.9,28,947,301,0.0
20171025 15:00,19.7,7.0,37.0,11.0,48.0,66.0,0.7,0.4,,7.4,0.4,0.8,163,24.2,30,947,473,0.0
20171025 14:00,19.5,7.0,30.0,14.0,41.0,73.0,0.8,0.4,,7.4,0.4,1.0,151,23.3,31,947,590,0.0
20171025 13:00,19.7,6.0,25.0,13.0,34.0,71.0,1.7,0.5,,7.4,0.4,0.9,130,22.3,33,948,632,0.0
20171025 12:00,19.8,10.0,33.0,7.0,48.0,56.0,1.8,0.5,,7.4,0.4,0.7,146,21.1,34,948,623,0.0
20171025 11:00,19.7,17.0,38.0,13.0,64.0,38.0,2.5,0.5,,7.5,0.6,0.7,132,19.0,41,948,541,0.0
20171025 10:00,19.7,18.0,33.0,20.0,61.0,32.0,2.1,0.5,,7.8,0.7,1.1,93,15.6,49,948,387,0.0
20171025 09:00,19.7,70.0,49.0,78.0,156.0,18.0,9.5,3.4,,8.9,1.1,1.4,92,12.8,58,948,149,0.0
20171025 08:00,19.7,277.0,90.0,105.0,515.0,5.0,19.8,4.3,,10.6,2.4,0.2,163,10.4,66,948,42,0.0
20171025 07:00,,,,,,,,,,,,,,,,,,,
20171025 06:00,19.5,125.0,57.0,53.0,,8.0,10.9,2.7,,10.3,2.2,0.2,166,9.5,69,947,6,0.0
20171025 05:00,19.5,56.0,48.0,43.0,,6.0,12.4,4.7,,9.7,1.5,0.2,176,9.8,68,947,5,0.0
20171025 04:00,19.6,55.0,49.0,25.0,,6.0,22.0,0.8,,9.9,1.6,0.2,167,10.3,66,947,5,0.0
20171025 03:00,19.7,40.0,51.0,30.0,,2.0,16.7,0.7,,10.1,1.7,0.2,184,11.2,62,947,3,0.0
20171025 02:00,19.6,44.0,55.0,49.0,,3.0,12.3,0.8,,9.4,1.2,0.2,101,11.6,62,947,3,0.0
20171025 01:00,19.7,98.0,67.0,47.0,,2.0,21.2,1.1,,10.1,1.7,0.2,171,11.8,60,947,3,0.0
20171025 00:00,19.6,124.0,78.0,46.0,268.0,2.0,23.8,1.4,,10.4,2.1,0.1,248,13.0,56,947,2,0.0
20171024 23:00,19.7,143.0,89.0,50.0,308.0,3.0,11.3,1.5,,10.6,2.3,0.1,240,14.2,52,947,1,0.0
20171024 22:00,19.7,97.0,89.0,40.0,238.0,3.0,13.8,1.0,,9.8,1.7,0.3,112,15.3,47,947,0,0.0
20171024 21:00,19.9,117.0,102.0,51.0,281.0,3.0,9.7,1.6,,9.6,1.7,0.3,337,17.8,39,947,0,0.0
20171024 20:00,19.9,201.0,134.0,49.0,442.0,3.0,14.9,1.8,,9.9,2.2,0.6,313,18.6,38,947,0,0.0
20171024 19:00,19.9,121.0,120.0,31.0,306.0,2.0,8.6,1.3,,8.7,1.7,0.3,291,20.1,33,947,0,0.0
20171024 18:00,19.8,42.0,97.0,17.0,161.0,7.0,3.1,0.5,,7.8,1.0,0.5,180,22.0,29,946,14,0.0
20171024 17:00,19.7,5.0,46.0,7.0,54.0,48.0,0.9,0.4,,7.3,0.5,0.9,170,23.6,25,946,89,0.0
20171024 16:00,19.8,6.0,35.0,2.0,44.0,60.0,1.4,0.4,,7.3,0.4,1.2,137,23.7,25,946,315,0.0
20171024 15:00,20.1,7.0,31.0,8.0,42.0,65.0,1.1,0.4,,7.3,0.4,0.8,109,23.7,24,946,483,0.0
20171024 14:00,21.0,5.0,23.0,15.0,31.0,,0.9,0.4,,7.1,0.4,0.8,91,23.2,23,947,594,0.2
20171024 13:00,20.9,6.0,23.0,6.0,32.0,,0.7,0.4,,,,1.1,160,21.8,24,948,636,0.0
20171024 12:00,20.3,7.0,24.0,69.0,35.0,,1.4,0.4,,6.9,0.1,1.2,123,20.6,28,948,635,0.0
20171024 11:00,,,,,,,,,,,,,,,,,,,
20171024 10:00,19.7,7.0,22.0,9.0,33.0,50.0,0.8,0.5,,8.0,0.4,1.3,61,16.5,41,949,419,0.0
20171024 09:00,19.8,10.0,30.0,18.0,45.0,38.0,1.3,0.6,,7.9,0.4,1.0,59,14.2,45,949,201,0.0
20171024 08:00,19.7,33.0,57.0,20.0,108.0,13.0,2.3,0.8,,8.3,0.5,0.4,61,12.0,51,949,39,0.0
