trip_id, arrival_time, departure_time, stop_id, stop_sequence
5_I13-5_I13_12:52:00_2_54_5__C4___,12:59:00,12:59:00,par_5_15,3
5_I11-5_I11_05:29:00_2_3_5__C4___,05:45:00,05:45:00,par_5_34,4
5_I12-5_I12_20:52:00_2_101_5__C4___,21:05:00,21:05:00,par_5_31,4
5_I13-5_I13_05:40:00_2_8_5__C4___,05:50:00,05:50:00,par_5_122,2
5_I12-5_I12_10:32:00_2_40_5__C4___,10:34:00,10:34:00,par_5_85,1
5_I13-5_I13_22:57:00_1_110_5__C4___,23:49:00,23:49:00,par_5_84,12
5_I12-5_I12_08:04:00_1_23_5__C4___,08:56:00,08:56:00,par_5_84,12
5_I11-5_I11_14:37:00_1_58_5__C4___,15:32:00,15:32:00,par_5_85,13
5_I13-5_I13_21:05:00_1_100_5__C4___,21:19:00,21:19:00,par_5_92,4
5_I12-5_I12_10:52:00_2_42_5__C4___,11:05:00,11:05:00,par_5_31,4
5_I12-5_I12_20:25:00_1_96_5__C4___,21:05:00,21:05:00,par_5_18,9
5_I13-5_I13_17:12:00_2_80_5__C4___,17:36:00,17:36:00,par_5_51,6
5_I13-5_I13_09:46:00_1_33_5__C4___,10:41:00,10:41:00,par_5_85,13
5_I12-5_I12_07:04:00_1_17_5__C4___,07:49:00,07:49:00,par_5_31,10
5_I12-5_I12_10:06:00_1_35_5__C4___,10:56:00,10:56:00,par_5_15,11
5_I13-5_I13_05:10:00_1_4_5__C4___,05:55:00,05:55:00,par_5_31,10
5_I12-5_I12_05:18:00_1_124_5__C4___,05:42:00,05:42:00,par_5_15,5
5_I13-5_I13_08:12:00_2_26_5__C4___,08:25:00,08:25:00,par_5_31,4
5_I12-5_I12_09:12:00_2_32_5__C4___,09:17:00,09:17:00,par_5_84,2
5_I12-5_I12_11:52:00_2_48_5__C4___,12:36:00,12:36:00,par_5_92,10
5_I13-5_I13_07:04:00_1_17_5__C4___,07:10:00,07:10:00,par_5_36,1
5_I11-5_I11_21:32:00_2_134_5__C4___,21:39:00,21:39:00,par_5_15,3
5_I11-5_I11_23:52:00_1_144_5__C4___,23:52:00,23:52:00,par_5_53,0
5_I11-5_I11_11:52:00_2_111_5__C4___,11:52:00,11:52:00,par_5_4,0
5_I11-5_I11_15:12:00_2_65_5__C4___,15:14:00,15:14:00,par_5_85,1
5_I12-5_I12_11:25:00_1_43_5__C4___,11:51:00,11:51:00,par_5_11,6
5_I11-5_I11_22:32:00_2_140_5__C4___,23:16:00,23:16:00,par_5_92,10
5_I11-5_I11_10:12:00_2_54_5__C4___,10:14:00,10:14:00,par_5_85,1
5_I13-5_I13_05:45:00_1_9_5__C4___,05:59:00,05:59:00,par_5_92,4
5_I13-5_I13_20:12:00_2_97_5__C4___,20:31:00,20:31:00,par_5_18,5
5_I13-5_I13_16:45:00_1_75_5__C4___,17:11:00,17:11:00,par_5_11,6
5_I11-5_I11_22:57:00_1_139_5__C4___,23:06:00,23:06:00,par_5_34,2
5_I13-5_I13_21:32:00_2_105_5__C4___,21:34:00,21:34:00,par_5_85,1
5_I13-5_I13_16:05:00_1_71_5__C4___,17:00:00,17:00:00,par_5_85,13
5_I11-5_I11_09:46:00_1_47_5__C4___,10:44:00,10:44:00,par_5_4,14
5_I11-5_I11_11:32:00_2_109_5__C4___,11:32:00,11:32:00,par_5_4,0
5_I13-5_I13_17:05:00_1_77_5__C4___,17:16:00,17:16:00,par_5_43,3
5_I11-5_I11_08:52:00_1_39_5__C4___,09:42:00,09:42:00,par_5_15,11
5_I13-5_I13_11:05:00_1_41_5__C4___,11:11:00,11:11:00,par_5_36,1
5_I11-5_I11_16:25:00_1_127_5__C4___,16:51:00,16:51:00,par_5_11,6
5_I11-5_I11_20:43:00_2_98_5__C4___,21:32:00,21:32:00,par_5_34,11
5_I12-5_I12_06:05:00_1_11_5__C4___,06:16:00,06:16:00,par_5_43,2
5_I11-5_I11_17:17:00_2_68_5__C4___,17:42:00,17:42:00,par_5_92,5
5_I11-5_I11_18:56:00_2_84_5__C4___,19:09:00,19:09:00,par_5_31,4
5_I12-5_I12_14:05:00_1_59_5__C4___,14:05:00,14:05:00,par_5_53,0
5_I11-5_I11_08:06:00_2_36_5__C4___,08:08:00,08:08:00,par_5_85,1
5_I13-5_I13_13:45:00_1_57_5__C4___,14:43:00,14:43:00,par_5_4,14
5_I11-5_I11_17:57:00_2_76_5__C4___,18:38:00,18:38:00,par_5_93,9
5_I12-5_I12_05:43:00_2_6_5__C4___,05:43:00,05:43:00,par_5_11,0
5_I13-5_I13_04:57:00_1_2_5__C4___,05:11:00,05:11:00,par_5_18,3
5_I11-5_I11_07:18:00_2_28_5__C4___,07:59:00,07:59:00,par_5_93,9
5_I12-5_I12_16:12:00_2_74_5__C4___,16:12:00,16:12:00,par_5_4,0
5_I13-5_I13_16:32:00_2_76_5__C4___,17:19:00,17:19:00,par_5_43,11
5_I11-5_I11_13:45:00_1_120_5__C4___,14:30:00,14:30:00,par_5_31,10
5_I12-5_I12_21:12:00_2_103_5__C4___,22:01:00,22:01:00,par_5_34,12
5_I11-5_I11_18:12:00_2_78_5__C4___,18:53:00,18:53:00,par_5_93,8
5_I11-5_I11_07:51:00_1_29_5__C4___,08:46:00,08:46:00,par_5_85,13
5_I11-5_I11_13:45:00_1_120_5__C4___,13:45:00,13:45:00,par_5_53,0
