"Año","Asistentes espectáculos de abono","Asistentes espectáculos Campaña Escolar","Asistentes espectáculos Cultura en Familia","Asistentes cesiones del Teatro a asociaciones","Total"
2012,26965,14250,14148,18449,73812
2013,30141,11984,15969,18026,76120
2014,26623,14036,14866,17069,72594
2015,25399,12365,12000,18653,68417
2016,29792,18155,14223,19134,81304
