DATA_REFERENCIA,NACIONALITAT,SEXE,POBLACIO
2011,SÍRIA                         ,Dona,1
2011,SÍRIA                         ,Home,1
2011,SUÈCIA                        ,Home,1
2011,SUÏSSA                        ,Dona,2
2011,TAILÀNDIA                     ,Dona,1
2011,TUNÍSIA                       ,Dona,2
2011,TUNÍSIA                       ,Home,3
2011,TURQUIA                       ,Dona,2
2011,TURQUIA                       ,Home,3
2011,UCRAÏNA                       ,Dona,19
2011,UCRAÏNA                       ,Home,11
2011,"URUGUAI, L                    ",Dona,30
2011,"URUGUAI, L                    ",Home,17
2011,VENEÇUELA                     ,Dona,42
2011,VENEÇUELA                     ,Home,36
2011,XILE                          ,Dona,29
2011,XILE                          ,Home,27
2011,"XINA, LA                      ",Dona,88
2011,"XINA, LA                      ",Home,116
2012,ALBÀNIA                       ,Dona,2
2012,ALBÀNIA                       ,Home,1
2012,ALEMANYA                      ,Dona,6
2012,ALEMANYA                      ,Home,9
2012,ALGÈRIA                       ,Dona,9
2012,ALGÈRIA                       ,Home,8
2012,ALTRES PAÏSOS D EUROPA        ,Home,1
2012,ALTRES PAÏSOS D OCEANIA       ,Home,1
2012,ANDORRA                       ,Home,2
2012,"ARGENTINA, L                  ",Dona,32
2012,"ARGENTINA, L                  ",Home,32
2012,ARMÈNIA                       ,Dona,8
2012,ARMÈNIA                       ,Home,8
2012,BANGLA DESH                   ,Home,3
2012,BÈLGICA                       ,Dona,2
2012,BÈLGICA                       ,Home,1
2012,BIELORÚSSIA                   ,Dona,1
2012,BIELORÚSSIA                   ,Home,1
2012,BOLÍVIA                       ,Dona,66
2012,BOLÍVIA                       ,Home,36
2012,"BRASIL, EL                    ",Dona,53
2012,"BRASIL, EL                    ",Home,37
2012,BULGÀRIA                      ,Dona,9
2012,BULGÀRIA                      ,Home,11
2012,"CAMERUN, EL                   ",Dona,2
2012,"CANADÀ, EL                    ",Dona,4
2012,"CANADÀ, EL                    ",Home,3
2012,CAP VERD                      ,Dona,1
2012,COLÒMBIA                      ,Dona,99
2012,COLÒMBIA                      ,Home,93
2012,"CONGO, EL                     ",Dona,1
2012,COREA DEL SUD                 ,Dona,2
2012,COREA DEL SUD                 ,Home,1
2012,COSTA RICA                    ,Dona,1
2012,COSTA RICA                    ,Home,1
2012,CROÀCIA                       ,Home,1
2012,CUBA                          ,Dona,20
2012,CUBA                          ,Home,24
2012,DINAMARCA                     ,Home,2
2012,DOMINICA                      ,Dona,1
2012,EGIPTE                        ,Dona,1
2012,EGIPTE                        ,Home,1
2012,EL SALVADOR                   ,Dona,8
2012,EL SALVADOR                   ,Home,5
2012,"EQUADOR, L                    ",Dona,80
2012,"EQUADOR, L                    ",Home,74
2012,ESLOVÀQUIA                    ,Dona,1
2012,ESLOVÈNIA                     ,Home,1
2012,ESPANYA                       ,Dona,2516
2012,ESPANYA                       ,Home,2677
2012,"ESTATS UNITS D AMÈRICA, ELS   ",Dona,9
2012,"ESTATS UNITS D AMÈRICA, ELS   ",Home,9
2012,"FILIPINES, LES                ",Dona,1
2012,FRANÇA                        ,Dona,15
2012,FRANÇA                        ,Home,22
2012,GÀMBIA                        ,Home,8
2012,GEÒRGIA                       ,Dona,3
2012,GEÒRGIA                       ,Home,1
2012,GHANA                         ,Dona,2
2012,GHANA                         ,Home,5
2012,GRÈCIA                        ,Home,1
2012,GUATEMALA                     ,Dona,5
2012,GUATEMALA                     ,Home,2
2012,"GUINEA BISSAU, LA             ",Dona,1
2012,"GUINEA BISSAU, LA             ",Home,1
2012,"GUINEA EQUATORIAL, LA         ",Dona,6
2012,"GUINEA EQUATORIAL, LA         ",Home,6
2012,"GUINEA, LA                    ",Dona,3
2012,"GUINEA, LA                    ",Home,4
2012,HONDURES                      ,Dona,53
2012,HONDURES                      ,Home,20
2012,HONGRIA                       ,Home,1
2012,"ÍNDIA, L                      ",Dona,3
2012,"ÍNDIA, L                      ",Home,17
2012,"IRAN, L                       ",Dona,4
2012,"IRAN, L                       ",Home,3
2012,"IRAQ, L                       ",Home,1
2012,IRLANDA                       ,Home,3
2012,ISLÀNDIA                      ,Dona,1
2012,ISLÀNDIA                      ,Home,2
2012,ITÀLIA                        ,Dona,33
2012,ITÀLIA                        ,Home,51
2012,"JAPÓ, EL                      ",Home,1
2012,JORDÀNIA                      ,Dona,2
2012,JORDÀNIA                      ,Home,1
2012,"KAZAKHSTAN, EL                ",Dona,3
2012,LÍBIA                         ,Home,1
2012,LITUÀNIA                      ,Home,1
2012,MALÀISIA                      ,Dona,1
2012,MALÀISIA                      ,Home,2
2012,MALI                          ,Dona,1
2012,MALI                          ,Home,3
2012,"MARROC, EL                    ",Dona,299
2012,"MARROC, EL                    ",Home,421
2012,MÈXIC                         ,Dona,21
2012,MÈXIC                         ,Home,14
2012,MOLDÀVIA                      ,Dona,4
2012,MOLDÀVIA                      ,Home,1
2012,"NEPAL,EL                      ",Home,1
2012,NICARAGUA                     ,Dona,8
2012,NICARAGUA                     ,Home,2
2012,NIGÈRIA                       ,Dona,15
2012,NIGÈRIA                       ,Home,15
2012,NORUEGA                       ,Dona,1
2012,NOVA ZELANDA                  ,Dona,1
2012,"PAÏSOS BAIXOS, ELS            ",Dona,6
2012,"PAÏSOS BAIXOS, ELS            ",Home,8
2012,"PAKISTAN, EL                  ",Dona,12
2012,"PAKISTAN, EL                  ",Home,90
2012,"PARAGUAI, EL                  ",Dona,68
2012,"PARAGUAI, EL                  ",Home,18
2012,"PERÚ, EL                      ",Dona,46
2012,"PERÚ, EL                      ",Home,50
2012,POLÒNIA                       ,Dona,18
2012,POLÒNIA                       ,Home,16
